id,year,value
AU,1960,0.37
AT,1960,0
BE,1960,0.88
CA,1960,0.16
CZ,1960,0
DK,1960,0.09
FI,1960,0
FR,1960,1.35
DE,1960,0.31
GR,1960,0
IS,1960,0
IE,1960,0
IT,1960,0.22
JP,1960,0.24
KR,1960,0
LU,1960,0
NL,1960,0.31
NZ,1960,0
NO,1960,0.12
PL,1960,0
PT,1960,0
SK,1960,0
SI,1960,0
ES,1960,0
SE,1960,0.05
CH,1960,0.04
GB,1960,0.56
US,1960,0.54
AU,1961,0.44
AT,1961,0.04
BE,1961,0.76
CA,1961,0.16
CZ,1961,0
DK,1961,0.12
FI,1961,0.04
FR,1961,1.36
DE,1961,0.45
GR,1961,0
IS,1961,0
IE,1961,0
IT,1961,0.15
JP,1961,0.2
KR,1961,0
LU,1961,0
NL,1961,0.45
NZ,1961,0.23
NO,1961,0.14
PL,1961,0
PT,1961,0
SK,1961,0
SI,1961,0
ES,1961,0
SE,1961,0.06
CH,1961,0.08
GB,1961,0.59
US,1961,0.57
AU,1962,0.43
AT,1962,0.03
BE,1962,0.54
CA,1962,0.1
CZ,1962,0
DK,1962,0.1
FI,1962,0.04
FR,1962,1.27
DE,1962,0.45
GR,1962,0
IS,1962,0
IE,1962,0
IT,1962,0.18
JP,1962,0.14
KR,1962,0
LU,1962,0
NL,1962,0.49
NZ,1962,0.18
NO,1962,0.14
PL,1962,0
PT,1962,0
SK,1962,0
SI,1962,0
ES,1962,0
SE,1962,0.12
CH,1962,0.05
GB,1962,0.52
US,1962,0.58
AU,1963,0.51
AT,1963,0.05
BE,1963,0.57
CA,1963,0.15
CZ,1963,0
DK,1963,0.11
FI,1963,0.04
FR,1963,0.98
DE,1963,0.41
GR,1963,0
IS,1963,0
IE,1963,0
IT,1963,0.14
JP,1963,0.2
KR,1963,0
LU,1963,0
NL,1963,0.26
NZ,1963,0.18
NO,1963,0.17
PL,1963,0
PT,1963,0
SK,1963,0
SI,1963,0
ES,1963,0
SE,1963,0.14
CH,1963,0.05
GB,1963,0.48
US,1963,0.6
AU,1964,0.48
AT,1964,0.08
