id,region,aid-type,year,value
AT,europe,bilateral,2013,120770000.00
AT,europe,multilateral,2013,99415456.51
AT,far-east-asia,bilateral,2013,32991636.70
AT,far-east-asia,multilateral,2013,41506803.58
AT,middle-east,bilateral,2013,22114503.22
AT,middle-east,multilateral,2013,33791538.18
AT,north-central-america,bilateral,2013,20622342.34
AT,north-central-america,multilateral,2013,32195604.34
AT,north-of-sahara,bilateral,2013,6957134.75
AT,north-of-sahara,multilateral,2013,27164930.15
AT,oceania,bilateral,2013,570000.00
AT,oceania,multilateral,2013,4928598.53
AT,south-america,bilateral,2013,5097657.66
AT,south-america,multilateral,2013,18838420.12
AT,south-central-asia,bilateral,2013,97373860.09
AT,south-central-asia,multilateral,2013,99826343.48
AT,south-of-sahara,bilateral,2013,90762865.25
AT,south-of-sahara,multilateral,2013,235137376.52
AT,unspecified,bilateral,2013,150900000.00
AT,unspecified,multilateral,2013,35414928.61
AU,europe,bilateral,2013,360000.00
AU,europe,multilateral,2013,12392023.06
AU,far-east-asia,bilateral,2013,1166511214.66
AU,far-east-asia,multilateral,2013,62307531.20
AU,middle-east,bilateral,2013,110785578.15
AU,middle-east,multilateral,2013,38572385.15
AU,north-central-america,bilateral,2013,14960000.00
AU,north-central-america,multilateral,2013,36039954.33
AU,north-of-sahara,bilateral,2013,6062716.68
AU,north-of-sahara,multilateral,2013,14790229.06
AU,oceania,bilateral,2013,1041100000.00
AU,oceania,multilateral,2013,6361910.48
AU,south-america,bilateral,2013,15320000.00
AU,south-america,multilateral,2013,18798714.75
AU,south-central-asia,bilateral,2013,450523207.19
AU,south-central-asia,multilateral,2013,140506589.00
AU,south-of-sahara,bilateral,2013,311857283.32
AU,south-of-sahara,multilateral,2013,315050545.43
AU,unspecified,bilateral,2013,1110510000.00
AU,unspecified,multilateral,2013,51440117.54
BE,europe,bilateral,2013,1550000.00
BE,europe,multilateral,2013,166123298.61
BE,far-east-asia,bilateral,2013,49919764.64
BE,far-east-asia,multilateral,2013,59626519.19
BE,middle-east,bilateral,2013,47202275.40
BE,middle-east,multilateral,2013,64730101.88
BE,north-central-america,bilateral,2013,27781382.30
BE,north-central-america,multilateral,2013,45631245.86
BE,north-of-sahara,bilateral,2013,26389213.61
BE,north-of-sahara,multilateral,2013,48049064.64
BE,oceania,bilateral,2013,0.00
BE,oceania,multilateral,2013,7585767.65
BE,south-america,bilateral,2013,61838617.70
BE,south-america,multilateral,2013,29194854.47
BE,south-central-asia,bilateral,2013,19647959.95
BE,south-central-asia,multilateral,2013,135098589.69
BE,south-of-sahara,bilateral,2013,570300786.39
BE,south-of-sahara,multilateral,2013,356294387.17
BE,unspecified,bilateral,2013,559930000.00
BE,unspecified,multilateral,2013,79966170.85
CA,europe,bilateral,2013,43110000.00
CA,europe,multilateral,2013,23720053.35
CA,far-east-asia,bilateral,2013,229823887.78
CA,far-east-asia,multilateral,2013,134975437.71
CA,middle-east,bilateral,2013,392746177.61
CA,middle-east,multilateral,2013,71898579.68
CA,north-central-america,bilateral,2013,280986278.98
CA,north-central-america,multilateral,2013,77750372.73
CA,north-of-sahara,bilateral,2013,29029158.56
CA,north-of-sahara,multilateral,2013,23964599.43
CA,oceania,bilateral,2013,3190000.00
CA,oceania,multilateral,2013,13391260.66
CA,south-america,bilateral,2013,149763721.02
CA,south-america,multilateral,2013,40487206.39
CA,south-central-asia,bilateral,2013,467469934.60
CA,south-central-asia,multilateral,2013,302610324.49
CA,south-of-sahara,bilateral,2013,1497750841.44
CA,south-of-sahara,multilateral,2013,652022657.39
CA,unspecified,bilateral,2013,460490000.00
CA,unspecified,multilateral,2013,94879508.17
CH,europe,bilateral,2013,206920000.00
CH,europe,multilateral,2013,11351214.80
CH,far-east-asia,bilateral,2013,168129085.32
CH,far-east-asia,multilateral,2013,65120653.41
CH,middle-east,bilateral,2013,110558166.25
CH,middle-east,multilateral,2013,42191682.71
CH,north-central-america,bilateral,2013,104132895.68
CH,north-central-america,multilateral,2013,31605291.54
CH,north-of-sahara,bilateral,2013,70268461.20
