id,year,budget-type,l1,l2,l3,l4,l5,l6,value,value-ncu
UG,2014,budget,defence,,,,,,353076451.2,1030000000000
UG,2014,budget,defence,ministry-of-defence,,,,,349469649.6,1020000000000
UG,2014,budget,defence,external-security,,,,,3608122.537,10543860000
UG,2014,budget,defence,ministry-of-defence,national-defence-updf,,,,339057833,991000000000
UG,2014,budget,defence,ministry-of-defence,policy-planning-and-support-services,,,,10410891.95,30423298000
UG,2014,budget,defence,external-security,external-security,,,,3608122.537,10543860000
UG,2014,budget,defence,ministry-of-defence,national-defence-updf,updf-land-forces,,,214525649.1,627000000000
UG,2014,budget,defence,ministry-of-defence,national-defence-updf,updf-airforce,,,5498431.535,16067828000
UG,2014,budget,defence,ministry-of-defence,national-defence-updf,defence-equipment-project,,,35381902.81,103000000000
UG,2014,budget,defence,ministry-of-defence,national-defence-updf,updf-peace-keeping-mission-in-somalia,,,83651790.75,244000000000
UG,2014,budget,defence,ministry-of-defence,policy-planning-and-support-services,headquarters,,,5178622.183,15133263000
UG,2014,budget,defence,ministry-of-defence,policy-planning-and-support-services,internal-audit-department,,,5232269.764,15290035000
UG,2014,budget,defence,external-security,external-security,headquarters,,,3473979.63,10151860000
UG,2014,budget,defence,external-security,external-security,strengthening-external-security-organisation,,,134142.9073,392000000
UG,2014,budget,defence,ministry-of-defence,national-defence-updf,updf-peace-keeping-mission-in-somalia,african-union,,83651790.75,244000000000
UG,2015,budget,defence,,,,,,335513967.8,1130000000000
UG,2015,budget,defence,ministry-of-defence,,,,,331410472.4,1120000000000
UG,2015,budget,defence,external-security,,,,,4104795.08,13884396000
UG,2015,budget,defence,ministry-of-defence,national-defence-updf,,,,322284038.3,1090000000000
UG,2015,budget,defence,ministry-of-defence,policy-planning-and-support-services,,,,9127072.317,30872159000
UG,2015,budget,defence,external-security,external-security,,,,4104795.08,13884396000
UG,2015,budget,defence,ministry-of-defence,national-defence-updf,updf-land-forces,,,213531061.7,722000000000
UG,2015,budget,defence,ministry-of-defence,national-defence-updf,updf-airforce,,,3314970.36,11212828000
UG,2015,budget,defence,ministry-of-defence,national-defence-updf,defence-equipment-project,,,30567789,103000000000
UG,2015,budget,defence,ministry-of-defence,policy-planning-and-support-services,headquarters,,,74869279.53,253000000000
UG,2015,budget,defence,ministry-of-defence,policy-planning-and-support-services,internal-audit-department,,,4540362.2,15357694000
UG,2015,budget,defence,external-security,external-security,headquarters,,,4586710.117,15514465000
UG,2015,budget,defence,external-security,external-security,strengthening-external-security-organisation,,,3988903.854,13492396000
UG,2015,budget,defence,ministry-of-defence,national-defence-updf,updf-peace-keeping-mission-in-somalia,african-union,,74869279.53,253000000000
UG,2014,budget,health,,,,,,387111792,1130000000000
UG,2014,budget,health,ministry-of-health,,,,,158230798.6,462000000000
UG,2014,budget,health,local-governments,,,,,102646700.2,300000000000
UG,2014,budget,health,other,,,,,126234635.4,369000000000
UG,2014,budget,health,ministry-of-health,sector-monitoring-and-quality-assurance,,,,275472.0418,805000000
UG,2014,budget,health,ministry-of-health,health-systems-development,,,,65109613.63,190000000000
UG,2014,budget,health,ministry-of-health,health-research,,,,825731.7227,2410000000
UG,2014,budget,health,ministry-of-health,clinical-and-public-health,,,,12050919.37,35215879000
UG,2014,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,,,,71974171.59,210000000000
UG,2014,budget,health,ministry-of-health,policy-planning-and-support-services,,,,7994901.533,23363154000
UG,2014,budget,health,other,uganda-aids-commission,,,,1899217.182,5550000000
UG,2014,budget,health,other,uganda-cancer-institute,,,,2251684.515,6580000000
UG,2014,budget,health,other,uganda-heart-institute,,,,1748648.613,5110000000
UG,2014,budget,health,other,national-medical-stores,,,,75068697.89,219000000000
UG,2014,budget,health,other,kampala-capital-city-authority-community-health-management,,,,1837620.949,5370000000
UG,2014,budget,health,other,health-service-commission,,,,1327741.021,3880000000
UG,2014,budget,health,other,uganda-blood-transfusion-service,,,,1399603.293,4090000000
UG,2014,budget,health,other,mulago-hospital-complex,,,,13068667.42,38200000000
UG,2014,budget,health,other,butabika-hospital,,,,3144829.893,9190000000
UG,2014,budget,health,other,arua-referral-hospital,,,,1690474.393,4940000000
UG,2014,budget,health,other,fort-portal-referral-hospital,,,,1823932.898,5330000000
UG,2014,budget,health,other,gulu-referral-hospital,,,,1704162.445,4980000000
UG,2014,budget,health,other,hoima-referral-hospital,,,,1635722.186,4780000000
UG,2014,budget,health,other,jinja-referral-hospital,,,,1960813.415,5730000000
UG,2014,budget,health,other,kabale-referral-hospital,,,,1505685.694,4400000000
UG,2014,budget,health,other,masaka-referral-hospital,,,,1437245.435,4200000000
UG,2014,budget,health,other,mbale-referral-hospital,,,,2022409.648,5910000000
UG,2014,budget,health,other,soroti-referral-hospital,,,,1776024.716,5190000000
UG,2014,budget,health,other,lira-referral-hospital,,,,1392759.267,4070000000
UG,2014,budget,health,other,mbarara-referral-hospital,,,,1817088.872,5310000000
UG,2014,budget,health,other,mubende-referral-hospital,,,,1272988.814,3720000000
UG,2014,budget,health,other,moroto-referral-hosptial,,,,1180594.465,3450000000
UG,2014,budget,health,other,naguru-referral-hospital,,,,3268022.359,9550000000
UG,2014,budget,health,ministry-of-health,sector-monitoring-and-quality-assurance,quality-assurance,,,275472.0418,805000000
UG,2014,budget,health,ministry-of-health,health-systems-development,district-infrastructure-support-programme,,,478397.4092,1400000000
UG,2014,budget,health,ministry-of-health,health-systems-development,rehabilitation-of-health-facilities-in-eastern-region,,,903411.4165,2640000000
UG,2014,budget,health,ministry-of-health,health-systems-development,insitutional-support-to-moh,,,359118.3573,1049436000
UG,2014,budget,health,ministry-of-health,health-systems-development,energy-for-rural-transformation-programme,,,68440.25882,200000000
UG,2014,budget,health,ministry-of-health,health-systems-development,health-systems-strengthening,,,36896143.53,108000000000
UG,2014,budget,health,ministry-of-health,health-systems-development,italian-support-to-health-sector-strategic-plan-and-peace-recovery-development-plan,,,1663098.289,4860000000
UG,2014,budget,health,ministry-of-health,health-systems-development,support-to-mulago-hospital-rehabilitation,,,20432839.27,59700000000
UG,2014,budget,health,ministry-of-health,health-systems-development,rehabilitation-and-construction-of-general-hospitals,,,4308314.293,12600000000
UG,2014,budget,health,ministry-of-health,health-systems-development,rehabilitation-and-equiping-of-health-facilities-in-west-region,,,0,0
UG,2014,budget,health,ministry-of-health,health-systems-development,construction-of-specialised-neonatal-and-maternal-unit-in-mulago-hospital,,,0,0
UG,2014,budget,health,ministry-of-health,health-research,research-institutions,,,742919.0095,2170000000
UG,2014,budget,health,ministry-of-health,health-research,joint-clinical-research-centre,,,82812.71318,242000000
UG,2014,budget,health,ministry-of-health,clinical-and-public-health,community-health,,,1064930.427,3110000000
UG,2014,budget,health,ministry-of-health,clinical-and-public-health,clinical-services,,,2903800.069,8485649000
UG,2014,budget,health,ministry-of-health,clinical-and-public-health,national-disease-control,,,3191362.083,9325979000
UG,2014,budget,health,ministry-of-health,clinical-and-public-health,nursing-services,,,62366.52805,182251000
UG,2014,budget,health,ministry-of-health,clinical-and-public-health,public-health-laboratory-strengthening-project,,,4629983.509,13500000000
UG,2014,budget,health,ministry-of-health,clinical-and-public-health,uganda-sanitation-fund-project,,,198476.7506,580000000
UG,2014,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,global-fund-for-aids-tb-and-malaria,,,50104086.88,146000000000
UG,2014,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,gavi-vaccines-and-health-sector-support-program,,,21870084.71,63900000000
UG,2014,budget,health,ministry-of-health,policy-planning-and-support-services,headquarters,,,1699601.244,4966671000
UG,2014,budget,health,ministry-of-health,policy-planning-and-support-services,planning,,,1153725.846,3371483000
UG,2014,budget,health,ministry-of-health,policy-planning-and-support-services,internal-audit-department,,,142355.7384,416000000
UG,2014,budget,health,ministry-of-health,policy-planning-and-support-services,development-of-social-health-initiative,,,241594.1136,706000000
UG,2014,budget,health,ministry-of-health,policy-planning-and-support-services,institutional-capacity-building,,,4757624.592,13900000000
UG,2015,budget,health,,,,,,377784701.1,1280000000000
UG,2015,budget,health,ministry-of-health,,,,,170693584.8,577000000000
UG,2015,budget,health,local-governments,,,,,96127632.79,325000000000
UG,2015,budget,health,other,,,,,110962892.3,375000000000
UG,2015,budget,health,ministry-of-health,sector-monitoring-and-quality-assurance,,,,237990.91,805000000
UG,2015,budget,health,ministry-of-health,health-systems-development,,,,62235657.72,211000000000
UG,2015,budget,health,ministry-of-health,health-research,,,,712494.5257,2410000000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,,,,8777873.429,29700000000
UG,2015,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,,,,92329830.02,312000000000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,,,,6399559.902,21646397000
UG,2015,budget,health,other,uganda-aids-commission,,,,1611242.807,5450000000
UG,2015,budget,health,other,uganda-cancer-institute,,,,3030319.041,10300000000
UG,2015,budget,health,other,uganda-heart-institute,,,,2687375.618,9090000000
UG,2015,budget,health,other,national-medical-stores,,,,64559099.41,218000000000
UG,2015,budget,health,other,kampala-capital-city-authority-community-health-management,,,,1628981.26,5510000000
UG,2015,budget,health,other,health-service-commission,,,,1179607.119,3990000000
UG,2015,budget,health,other,uganda-blood-transfusion-service,,,,1877319.601,6350000000
UG,2015,budget,health,other,mulago-hospital-complex,,,,11317132.96,38300000000
UG,2015,budget,health,other,butabika-hospital,,,,2693288.435,9110000000
UG,2015,budget,health,other,arua-referral-hospital,,,,1581678.719,5350000000
UG,2015,budget,health,other,fort-portal-referral-hospital,,,,1608286.398,5440000000
UG,2015,budget,health,other,gulu-referral-hospital,,,,1454553.14,4920000000
UG,2015,budget,health,other,hoima-referral-hospital,,,,1365860.875,4620000000
UG,2015,budget,health,other,jinja-referral-hospital,,,,1649676.122,5580000000
UG,2015,budget,health,other,kabale-referral-hospital,,,,1294907.063,4380000000
UG,2015,budget,health,other,masaka-referral-hospital,,,,1401337.781,4740000000
UG,2015,budget,health,other,mbale-referral-hospital,,,,1924622.142,6510000000
UG,2015,budget,health,other,soroti-referral-hospital,,,,1348122.422,4560000000
UG,2015,budget,health,other,lira-referral-hospital,,,,1377686.51,4660000000
UG,2015,budget,health,other,mbarara-referral-hospital,,,,1605329.989,5430000000
UG,2015,budget,health,other,mubende-referral-hospital,,,,1161868.666,3930000000
UG,2015,budget,health,other,moroto-referral-hosptial,,,,1049525.131,3550000000
UG,2015,budget,health,other,naguru-referral-hospital,,,,1555071.04,5260000000
UG,2015,budget,health,ministry-of-health,sector-monitoring-and-quality-assurance,quality-assurance,,,237990.91,805000000
UG,2015,budget,health,ministry-of-health,health-systems-development,district-infrastructure-support-programme,,,413177.0537,1397564000
UG,2015,budget,health,ministry-of-health,health-systems-development,rehabilitation-of-health-facilities-in-eastern-region,,,0,0
UG,2015,budget,health,ministry-of-health,health-systems-development,insitutional-support-to-moh,,,299676.6757,1013651000
UG,2015,budget,health,ministry-of-health,health-systems-development,energy-for-rural-transformation-programme,,,0,0
UG,2015,budget,health,ministry-of-health,health-systems-development,health-systems-strengthening,,,23949867.85,81000000000
UG,2015,budget,health,ministry-of-health,health-systems-development,italian-support-to-health-sector-strategic-plan-and-peace-recovery-development-plan,,,0,0
UG,2015,budget,health,ministry-of-health,health-systems-development,support-to-mulago-hospital-rehabilitation,,,16756925.19,56700000000
UG,2015,budget,health,ministry-of-health,health-systems-development,rehabilitation-and-construction-of-general-hospitals,,,3722118.705,12600000000
UG,2015,budget,health,ministry-of-health,health-systems-development,rehabilitation-and-equiping-of-health-facilities-in-west-region,,,12884029.64,43600000000
UG,2015,budget,health,ministry-of-health,health-systems-development,construction-of-specialised-neonatal-and-maternal-unit-in-mulago-hospital,,,4209926.16,14200000000
UG,2015,budget,health,ministry-of-health,health-research,research-institutions,,,641836.3549,2170000000
UG,2015,budget,health,ministry-of-health,health-research,joint-clinical-research-centre,,,71545.09345,242000000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,community-health,,,920034.4249,3110000000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,clinical-services,,,2626961.108,8885649000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,national-disease-control,,,2622659.829,8871100000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,nursing-services,,,53880.84639,182251000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,public-health-laboratory-strengthening-project,,,1584635.128,5360000000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,uganda-sanitation-fund-project,,,969702.0931,3280000000
UG,2015,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,global-fund-for-aids-tb-and-malaria,,,77107281.01,261000000000
UG,2015,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,gavi-vaccines-and-health-sector-support-program,,,15222549.02,51500000000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,headquarters,,,2139693.788,7237476000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,planning,,,1294027.236,4377024000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,internal-audit-department,,,122986.6069,416000000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,development-of-social-health-initiative,,,0,0
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,institutional-capacity-building,,,2842852.271,9615897000
