country,year,from_illicitfinance
AE,2001,0.00
AE,2002,0.00
AE,2003,1751.39
AE,2004,2017.72
AE,2005,9523.54
AE,2006,18261.66
AE,2007,0.00
AE,2008,59941.39
AE,2009,32113.18
AE,2010,9360.75
AE,2011,12342.80
AF,2001,
AF,2002,
AF,2003,
AF,2004,
AF,2005,
AF,2006,
AF,2007,
AF,2008,0.00
AF,2009,0.00
AF,2010,0.00
AF,2011,
AG,2001,20.29
AG,2002,50.80
AG,2003,6.37
AG,2004,23.68
AG,2005,13.16
AG,2006,12.59
AG,2007,8.55
AG,2008,4.27
AG,2009,7.49
AG,2010,0.00
AG,2011,11.81
AL,2001,0.00
AL,2002,0.00
AL,2003,0.00
AL,2004,0.00
AL,2005,0.00
AL,2006,0.00
AL,2007,0.00
AL,2008,0.00
AL,2009,0.00
AL,2010,0.00
AL,2011,0.00
AM,2001,0.00
AM,2002,9.43
AM,2003,3.24
AM,2004,9.94
AM,2005,0.00
AM,2006,20.51
AM,2007,1.91
AM,2008,0.00
AM,2009,0.00
AM,2010,0.00
AM,2011,0.00
AO,2001,1396.45
AO,2002,274.85
AO,2003,2817.83
AO,2004,0.00
AO,2005,1202.69
AO,2006,0.00
AO,2007,2376.26
AO,2008,1462.77
AO,2009,0.00
AO,2010,0.00
AO,2011,18.40
AR,2001,2798.81
AR,2002,4631.74
AR,2003,2911.32
AR,2004,0.00
AR,2005,0.00
AR,2006,0.00
AR,2007,0.00
AR,2008,0.00
AR,2009,0.00
AR,2010,706.44
AR,2011,3778.97
AW,2001,
AW,2002,
AW,2003,
AW,2004,
AW,2005,
AW,2006,
AW,2007,
AW,2008,
AW,2009,
AW,2010,
AW,2011,
AZ,2001,
AZ,2002,
AZ,2003,
AZ,2004,
AZ,2005,
AZ,2006,
AZ,2007,
AZ,2008,
AZ,2009,
AZ,2010,
AZ,2011,
BA,2001,0.00
BA,2002,0.00
BA,2003,0.00
BA,2004,0.00
BA,2005,0.00
BA,2006,0.00
BA,2007,72.32
BA,2008,68.17
BA,2009,0.00
BA,2010,0.00
BA,2011,0.00
BB,2001,0.00
BB,2002,0.00
BB,2003,0.00
BB,2004,0.00
BB,2005,0.00
BB,2006,0.00
BB,2007,0.00
BB,2008,6.37
BB,2009,0.00
BB,2010,61.12
BB,2011,
BD,2001,144.48
BD,2002,475.54
BD,2003,0.00
BD,2004,32.06
BD,2005,848.02
BD,2006,819.97
BD,2007,1114.83
BD,2008,204.66
BD,2009,1114.89
BD,2010,55.09
BD,2011,1186.59
BF,2001,0.00
BF,2002,8.13
BF,2003,6.21
BF,2004,0.00
BF,2005,7.23
BF,2006,12.18
BF,2007,0.00
BF,2008,0.00
BF,2009,0.00
BF,2010,0.00
BF,2011,
BG,2001,0.00
BG,2002,1635.53
BG,2003,1658.47
BG,2004,0.00
BG,2005,1845.84
BG,2006,1384.91
BG,2007,3598.61
BG,2008,4282.02
BG,2009,0.00
BG,2010,0.00
BG,2011,0.00
BH,2001,
BH,2002,
BH,2003,
BH,2004,
BH,2005,
BH,2006,
BH,2007,
BH,2008,
BH,2009,
BH,2010,
BH,2011,
BI,2001,57.84
BI,2002,0.00
BI,2003,30.44
BI,2004,37.88
BI,2005,140.09
BI,2006,0.00
BI,2007,55.64
BI,2008,0.00
BI,2009,134.86
BI,2010,0.00
BI,2011,0.00
BJ,2001,0.00
BJ,2002,0.00
BJ,2003,0.00
BJ,2004,14.05
BJ,2005,0.00
BJ,2006,0.00
BJ,2007,0.00
BJ,2008,0.00
BJ,2009,5.91
BJ,2010,0.00
BJ,2011,
BN,2001,5735.52
BN,2002,6031.10
BN,2003,4365.01
BN,2004,2366.67
BN,2005,6603.14
BN,2006,8273.64
BN,2007,7859.55
BN,2008,9198.60
BN,2009,7991.57
BN,2010,
BN,2011,
BO,2001,426.60
BO,2002,1422.06
BO,2003,387.67
BO,2004,1340.69
BO,2005,769.27
BO,2006,187.90
BO,2007,182.18
BO,2008,0.00
BO,2009,613.99
BO,2010,998.23
BO,2011,0.00
BR,2001,1383.17
BR,2002,480.15
BR,2003,2696.98
BR,2004,5457.00
BR,2005,443.79
BR,2006,0.00
BR,2007,4430.52
BR,2008,0.00
BR,2009,430.29
BR,2010,3575.64
BR,2011,1143.49
BS,2001,
BS,2002,
BS,2003,
BS,2004,
BS,2005,
BS,2006,
BS,2007,
BS,2008,
BS,2009,
BS,2010,
BS,2011,
BT,2001,
BT,2002,
BT,2003,
BT,2004,
BT,2005,
BT,2006,0.00
BT,2007,181.63
BT,2008,0.00
BT,2009,0.00
BT,2010,0.00
BT,2011,12.36
BW,2001,1211.33
BW,2002,0.00
BW,2003,212.37
BW,2004,334.11
BW,2005,0.00
BW,2006,0.00
BW,2007,0.00
BW,2008,0.00
BW,2009,2131.48
BW,2010,333.79
BW,2011,0.00
BY,2001,2.48
BY,2002,631.83
BY,2003,25.21
BY,2004,0.00
BY,2005,0.00
BY,2006,355.07
BY,2007,0.00
BY,2008,175.53
BY,2009,0.00
BY,2010,0.00
BY,2011,0.00
BZ,2001,0.00
BZ,2002,10.15
BZ,2003,42.75
BZ,2004,4.47
BZ,2005,8.83
BZ,2006,9.01
BZ,2007,41.50
BZ,2008,12.30
BZ,2009,5.85
BZ,2010,0.00
BZ,2011,6.78
CD,2001,0.00
CD,2002,414.73
CD,2003,0.00
CD,2004,0.00
CD,2005,0.00
CD,2006,23.55
CD,2007,212.20
CD,2008,0.00
CD,2009,0.00
CD,2010,0.00
CD,2011,0.00
CF,2001,
CF,2002,
CF,2003,
CF,2004,
CF,2005,
CF,2006,
CF,2007,
CF,2008,
CF,2009,
CF,2010,
CF,2011,
CG,2001,35.42
CG,2002,639.21
CG,2003,293.28
CG,2004,182.79
CG,2005,0.00
CG,2006,0.00
CG,2007,244.26
CG,2008,
CG,2009,
CG,2010,
CG,2011,
CI,2001,0.00
CI,2002,47.64
CI,2003,1322.40
CI,2004,0.00
CI,2005,74.39
CI,2006,46.23
CI,2007,0.00
CI,2008,41.47
CI,2009,37.88
CI,2010,25.61
CI,2011,
CL,2001,1998.78
CL,2002,2297.47
CL,2003,1663.61
CL,2004,508.40
CL,2005,2143.84
CL,2006,2072.26
CL,2007,574.41
CL,2008,0.00
CL,2009,0.00
CL,2010,546.79
CL,2011,353.93
CM,2001,294.20
CM,2002,296.45
CM,2003,0.00
CM,2004,0.00
CM,2005,35.56
CM,2006,0.00
CM,2007,0.00
CM,2008,0.00
CM,2009,0.00
CM,2010,0.00
CM,2011,
CN,2001,9986.38
CN,2002,0.00
CN,2003,0.00
CN,2004,0.00
CN,2005,0.00
CN,2006,0.00
CN,2007,0.00
CN,2008,0.00
CN,2009,52509.85
CN,2010,62429.29
CN,2011,14371.83
CO,2001,349.90
CO,2002,0.00
CO,2003,0.00
CO,2004,0.00
CO,2005,0.00
CO,2006,0.00
CO,2007,0.00
CO,2008,159.05
CO,2009,0.00
CO,2010,0.00
CO,2011,0.00
CR,2001,0.00
CR,2002,85.03
CR,2003,0.00
CR,2004,0.00
CR,2005,0.00
CR,2006,0.00
CR,2007,0.00
CR,2008,63.53
CR,2009,0.00
CR,2010,163.89
CR,2011,231.13
CV,2001,41.46
CV,2002,12.70
CV,2003,16.94
CV,2004,0.00
CV,2005,0.00
CV,2006,10.95
CV,2007,0.00
CV,2008,102.13
CV,2009,35.57
CV,2010,87.12
CV,2011,28.96
DJ,2001,0.00
DJ,2002,0.00
DJ,2003,0.00
DJ,2004,22.29
DJ,2005,62.55
DJ,2006,71.53
DJ,2007,0.00
DJ,2008,63.74
DJ,2009,0.00
DJ,2010,127.68
DJ,2011,65.88
DM,2001,0.00
DM,2002,0.00
DM,2003,0.00
DM,2004,0.00
DM,2005,0.00
DM,2006,0.00
DM,2007,0.00
DM,2008,0.00
DM,2009,0.00
DM,2010,6.57
DM,2011,13.85
DO,2001,599.58
DO,2002,183.94
DO,2003,2583.62
DO,2004,1585.03
DO,2005,520.15
DO,2006,195.12
DO,2007,0.00
DO,2008,34.34
DO,2009,232.92
DO,2010,1200.52
DO,2011,0.00
DZ,2001,
DZ,2002,
DZ,2003,
DZ,2004,
DZ,2005,311.12
DZ,2006,2893.66
DZ,2007,660.92
DZ,2008,3586.36
DZ,2009,3620.01
DZ,2010,1509.16
DZ,2011,2167.18
EC,2001,1120.39
EC,2002,620.77
EC,2003,0.00
EC,2004,0.00
EC,2005,0.00
EC,2006,0.00
EC,2007,0.00
EC,2008,1.05
EC,2009,155.88
EC,2010,0.00
EC,2011,0.00
EG,2001,1901.06
EG,2002,0.00
EG,2003,0.00
EG,2004,102.75
EG,2005,5065.49
EG,2006,0.00
EG,2007,0.00
EG,2008,4083.34
EG,2009,0.00
EG,2010,2472.36
EG,2011,3111.23
ER,2001,
ER,2002,
ER,2003,
ER,2004,
ER,2005,
ER,2006,
ER,2007,
ER,2008,
ER,2009,
ER,2010,
ER,2011,
ET,2001,471.82
ET,2002,2007.27
ET,2003,762.64
ET,2004,657.56
ET,2005,0.00
ET,2006,0.00
ET,2007,211.78
ET,2008,0.00
ET,2009,500.14
ET,2010,3678.77
ET,2011,2249.23
FJ,2001,0.00
FJ,2002,240.77
FJ,2003,67.76
FJ,2004,0.00
FJ,2005,0.00
FJ,2006,184.32
FJ,2007,0.00
FJ,2008,0.00
FJ,2009,89.77
FJ,2010,0.00
FJ,2011,
GA,2001,283.54
GA,2002,321.18
GA,2003,553.82
GA,2004,646.37
GA,2005,615.09
GA,2006,
GA,2007,
GA,2008,
GA,2009,
GA,2010,
GA,2011,
GD,2001,0.00
GD,2002,
GD,2003,
GD,2004,
GD,2005,
GD,2006,
GD,2007,
GD,2008,
GD,2009,
GD,2010,
GD,2011,
GE,2001,0.00
GE,2002,0.00
GE,2003,13.83
GE,2004,0.00
GE,2005,0.00
GE,2006,94.71
GE,2007,43.75
GE,2008,47.21
GE,2009,0.00
GE,2010,27.67
GE,2011,0.00
GH,2001,133.27
GH,2002,0.00
GH,2003,0.00
GH,2004,0.00
GH,2005,0.00
GH,2006,0.00
GH,2007,40.24
GH,2008,380.01
GH,2009,1568.73
GH,2010,729.43
GH,2011,668.37
GM,2001,
GM,2002,
GM,2003,0.00
GM,2004,4.13
GM,2005,39.18
GM,2006,7.70
GM,2007,39.22
GM,2008,25.56
GM,2009,0.00
GM,2010,81.10
GM,2011,93.81
GN,2001,3.06
GN,2002,0.00
GN,2003,203.03
GN,2004,0.00
GN,2005,0.00
GN,2006,2.70
GN,2007,0.00
GN,2008,0.00
GN,2009,0.00
GN,2010,0.00
GN,2011,29.61
GQ,2001,
GQ,2002,
GQ,2003,
GQ,2004,
GQ,2005,
GQ,2006,
GQ,2007,
GQ,2008,
GQ,2009,
GQ,2010,
GQ,2011,
GT,2001,0.00
GT,2002,111.50
GT,2003,101.82
GT,2004,0.00
GT,2005,0.00
GT,2006,0.00
GT,2007,0.00
GT,2008,0.00
GT,2009,0.00
GT,2010,406.59
GT,2011,230.15
GW,2001,0.00
GW,2002,4.52
GW,2003,0.00
GW,2004,5.22
GW,2005,5.44
GW,2006,1.20
GW,2007,0.00
GW,2008,4.28
GW,2009,8.56
GW,2010,4.05
GW,2011,
GY,2001,82.94
GY,2002,2.28
GY,2003,35.00
GY,2004,73.85
GY,2005,108.37
GY,2006,79.06
GY,2007,110.07
GY,2008,118.45
GY,2009,159.86
GY,2010,196.78
GY,2011,38.28
HN,2001,66.39
HN,2002,0.00
HN,2003,0.00
HN,2004,0.00
HN,2005,282.87
HN,2006,457.32
HN,2007,459.99
HN,2008,0.00
HN,2009,126.77
HN,2010,23.68
HN,2011,0.00
HR,2001,961.54
HR,2002,1178.83
HR,2003,2045.41
HR,2004,1709.75
HR,2005,1611.70
HR,2006,2031.48
HR,2007,1726.47
HR,2008,2054.16
HR,2009,1584.62
HR,2010,898.06
HR,2011,1426.84
HT,2001,0.00
HT,2002,0.00
HT,2003,0.00
HT,2004,0.00
HT,2005,0.00
HT,2006,0.00
HT,2007,0.00
HT,2008,0.00
HT,2009,53.79
HT,2010,0.00
HT,2011,65.62
HU,2001,0.00
HU,2002,0.00
HU,2003,0.00
HU,2004,2499.75
HU,2005,2950.12
HU,2006,3196.75
HU,2007,336.11
HU,2008,2895.95
HU,2009,751.80
HU,2010,2146.74
HU,2011,2566.25
ID,2001,0.00
ID,2002,4544.67
ID,2003,7900.79
ID,2004,6683.32
ID,2005,279.49
ID,2006,0.00
ID,2007,2083.71
ID,2008,325.85
ID,2009,4033.46
ID,2010,3828.28
ID,2011,3317.10
IN,2001,1217.51
IN,2002,317.85
IN,2003,0.00
IN,2004,0.00
IN,2005,597.23
IN,2006,0.00
IN,2007,0.00
IN,2008,0.00
IN,2009,308.90
IN,2010,1571.49
IN,2011,1616.02
IQ,2001,
IQ,2002,
IQ,2003,
IQ,2004,
IQ,2005,0.00
IQ,2006,0.00
IQ,2007,6150.28
IQ,2008,11179.35
IQ,2009,9224.13
IQ,2010,10201.49
IQ,2011,3447.34
IR,2001,
IR,2002,
IR,2003,
IR,2004,
IR,2005,
IR,2006,
IR,2007,
IR,2008,
IR,2009,
IR,2010,
IR,2011,
JM,2001,21.84
JM,2002,87.88
JM,2003,0.00
JM,2004,31.42
JM,2005,0.00
JM,2006,0.00
JM,2007,0.00
JM,2008,391.15
JM,2009,0.00
JM,2010,0.00
JM,2011,0.00
JO,2001,288.10
JO,2002,241.43
JO,2003,0.00
JO,2004,0.00
JO,2005,0.00
JO,2006,321.86
JO,2007,0.00
JO,2008,0.00
JO,2009,0.00
JO,2010,0.00
JO,2011,0.00
KE,2001,0.00
KE,2002,0.00
KE,2003,495.07
KE,2004,116.37
KE,2005,389.03
KE,2006,0.00
KE,2007,320.01
KE,2008,0.00
KE,2009,0.00
KE,2010,0.00
KE,2011,0.00
KG,2001,0.00
KG,2002,61.98
KG,2003,0.00
KG,2004,44.64
KG,2005,0.00
KG,2006,0.00
KG,2007,534.47
KG,2008,0.00
KG,2009,110.87
KG,2010,60.05
KG,2011,326.57
KH,2001,0.00
KH,2002,0.00
KH,2003,61.06
KH,2004,67.38
KH,2005,16.87
KH,2006,96.88
KH,2007,56.93
KH,2008,50.27
KH,2009,9.35
KH,2010,32.09
KH,2011,26.94
KI,2001,
KI,2002,
KI,2003,
KI,2004,
KI,2005,
KI,2006,
KI,2007,
KI,2008,
KI,2009,
KI,2010,
KI,2011,
KM,2001,
KM,2002,
KM,2003,
KM,2004,
KM,2005,
KM,2006,
KM,2007,
KM,2008,
KM,2009,
KM,2010,
KM,2011,
KN,2001,9.07
KN,2002,0.00
KN,2003,0.00
KN,2004,10.92
KN,2005,0.00
KN,2006,0.80
KN,2007,11.96
KN,2008,3.47
KN,2009,21.59
KN,2010,34.69
KN,2011,0.00
KW,2001,8608.44
KW,2002,5284.97
KW,2003,1518.53
KW,2004,0.00
KW,2005,0.00
KW,2006,0.00
KW,2007,7254.54
KW,2008,12284.74
KW,2009,0.00
KW,2010,0.00
KW,2011,1836.96
KZ,2001,2729.99
KZ,2002,0.00
KZ,2003,3351.60
KZ,2004,2861.53
KZ,2005,4201.32
KZ,2006,5699.21
KZ,2007,4547.59
KZ,2008,7150.45
KZ,2009,1140.44
KZ,2010,0.00
KZ,2011,5791.45
LA,2001,126.16
LA,2002,326.43
LA,2003,189.27
LA,2004,0.00
LA,2005,0.00
LA,2006,657.62
LA,2007,1092.27
LA,2008,523.04
LA,2009,679.63
LA,2010,461.64
LA,2011,334.90
LB,2001,
LB,2002,0.00
LB,2003,0.00
LB,2004,969.10
LB,2005,812.15
LB,2006,3733.97
LB,2007,7710.47
LB,2008,2087.52
LB,2009,3291.60
LB,2010,0.00
LB,2011,2130.20
LC,2001,0.00
LC,2002,2.53
LC,2003,0.00
LC,2004,0.00
LC,2005,18.83
LC,2006,0.00
LC,2007,1.52
LC,2008,11.05
LC,2009,5.46
LC,2010,0.00
LC,2011,0.00
LK,2001,0.00
LK,2002,0.00
LK,2003,203.89
LK,2004,326.53
LK,2005,112.52
LK,2006,152.89
LK,2007,222.26
LK,2008,0.00
LK,2009,0.00
LK,2010,917.26
LK,2011,667.56
LR,2001,
LR,2002,
LR,2003,
LR,2004,78.67
LR,2005,53.05
LR,2006,145.91
LR,2007,102.14
LR,2008,52.29
LR,2009,355.23
LR,2010,122.03
LR,2011,27.91
LS,2001,0.00
LS,2002,428.22
LS,2003,117.20
LS,2004,0.00
LS,2005,0.00
LS,2006,0.00
LS,2007,0.00
LS,2008,149.66
LS,2009,302.98
LS,2010,0.00
LS,2011,0.00
LT,2001,0.00
LT,2002,0.00
LT,2003,0.00
LT,2004,0.00
LT,2005,69.12
LT,2006,376.68
LT,2007,59.35
LT,2008,0.00
LT,2009,0.00
LT,2010,0.00
LT,2011,0.00
LV,2001,0.60
LV,2002,158.21
LV,2003,25.81
LV,2004,0.00
LV,2005,492.91
LV,2006,0.00
LV,2007,240.20
LV,2008,543.60
LV,2009,0.00
LV,2010,0.00
LV,2011,97.17
LY,2001,2355.85
LY,2002,0.00
LY,2003,0.00
LY,2004,0.00
LY,2005,2757.71
LY,2006,0.00
LY,2007,0.00
LY,2008,2036.87
LY,2009,0.00
LY,2010,3017.53
LY,2011,0.00
MA,2001,0.00
MA,2002,275.23
MA,2003,387.65
MA,2004,337.38
MA,2005,479.85
MA,2006,599.61
MA,2007,0.00
MA,2008,380.26
MA,2009,492.32
MA,2010,156.44
MA,2011,229.34
MD,2001,0.00
MD,2002,68.99
MD,2003,0.00
MD,2004,0.00
MD,2005,0.00
MD,2006,0.00
MD,2007,0.00
