country,Year,gni-usd-current
AW,2005,
AD,2005,2539759286
AF,2005,6286220881
AO,2005,24202810563
AL,2005,8540849440
AE,2005,1.83503E+11
AR,2005,1.76985E+11
AM,2005,5032955714
AS,2005,
AG,2005,959930706.6
AU,2005,6.66752E+11
AT,2005,3.02023E+11
AZ,2005,11598940381
BI,2005,1099554387
BE,2005,3.79823E+11
BJ,2005,4340195011
BF,2005,5442137191
BD,2005,63355284553
BG,2005,28978585803
BH,2005,15555842445
BS,2005,7576221927
BA,2005,11416036116
BY,2005,30220091837
BZ,2005,1242188134
BM,2005,
BO,2005,9172840035
BR,2005,8.56883E+11
BB,2005,3716500000
BN,2005,9531402830
BT,2005,807300289.2
BW,2005,9095643758
CF,2005,1340079424
CA,2005,1.11251E+12
CH,2005,4.20234E+11
CL,2005,1.13944E+11
CN,2005,2.24079E+12
CI,2005,15642523320
CM,2005,16099188629
CG,2005,4032288390
CO,2005,1.41059E+11
KM,2005,385946132.5
CV,2005,1056788768
CR,2005,19756371751
CU,2005,42011100000
CW,2005,
KY,2005,
CY,2005,16292550260
CZ,2005,1.24571E+11
DE,2005,2.79758E+12
DJ,2005,775822778.4
DM,2005,332636406.7
DK,2005,2.61269E+11
DO,2005,32069434139
DZ,2005,98611507229
EC,2005,39692188017
EG,2005,89431924889
ER,2005,1089003673
ES,2005,1.11474E+12
EE,2005,13373495188
ET,2005,12138149387
FI,2005,1.9668E+11
FJ,2005,3050072147
FR,2005,2.16998E+12
FO,2005,1772349047
FM,2005,258595284.5
GA,2005,7708145137
GB,2005,2.36302E+12
GE,2005,6473294323
GH,2005,10600896501
GN,2005,2657936931
GM,2005,601737728.1
GW,2005,561421824.8
GQ,2005,4173013356
GR,2005,2.36582E+11
GD,2005,672149651.8
GL,2005,1662189361
GT,2005,26726430374
GU,2005,
GY,2005,804427767.4
HK,2005,1.8253E+11
HN,2005,9219099703
HR,2005,43632002352
HT,2005,4227910414
HU,2005,1.04367E+11
ID,2005,2.71958E+11
IN,2005,8.28316E+11
IE,2005,1.74654E+11
IR,2005,1.88503E+11
IQ,2005,50694700136
IS,2005,15699575189
IL,2005,1.32288E+11
IT,2005,1.78679E+12
JM,2005,10407364715
JO,2005,12919638895
JP,2005,4.67848E+12
KZ,2005,51568113740
KE,2005,18731701165
KG,2005,2371676126
KH,2005,6005719073
KI,2005,161130202.4
KN,2005,501272333.7
KR,2005,8.44068E+11
XK,2005,
KW,2005,87979452055
LA,2005,2669812773
LB,2005,21674296517
LR,2005,394400000
LY,2005,43719000000
LC,2005,836048378.4
LI,2005,3125901813
LK,2005,24106796020
LS,2005,1869558856
LT,2005,25688654037
LU,2005,32326394071
LV,2005,15839002545
MO,2005,11040842210
MF,2005,
MA,2005,58760406091
MC,2005,4280072626
MD,2005,3347002424
MG,2005,4960257116
MV,2005,961573987.3
MX,2005,8.54522E+11
MH,2005,178268945.1
MK,2005,5876657438
ML,2005,5098670787
MT,2005,5710261961
MM,2005,
ME,2005,2278939493
MN,2005,2471571798
MP,2005,
MZ,2005,6218672320
MR,2005,2249035910
MU,2005,6275693426
MW,2005,2713280299
MY,2005,1.37211E+11
NA,2005,7148868185
NC,2005,
NE,2005,3395616103
NG,2005,98881148053
NI,2005,6172582497
NL,2005,6.41552E+11
NO,2005,3.0744E+11
NP,2005,8152825710
NZ,2005,1.06288E+11
