id,year,value,budget-type
AE,2000,,actual
AE,2001,,actual
AE,2002,,actual
AE,2003,,actual
AE,2004,,actual
AE,2005,,actual
AE,2006,,actual
AE,2007,,actual
AE,2008,,actual
AE,2009,,actual
AE,2010,,actual
AE,2011,,actual
AE,2012,24504.1748929367,actual
AE,2013,25620.0425204965,actual
AE,2014,27619.8608239594,actual
AE,2015,22737.7495864606,proj
AE,2016,21247.656077622,proj
AE,2017,22101.9504575744,proj
AE,2018,22499.1605713732,proj
AE,2019,22812.1820312743,proj
AE,2020,23282.4321141601,proj
AF,2000,,actual
AF,2001,,actual
AF,2002,,actual
AF,2003,14.8516982681,actual
AF,2004,32.3694983484,actual
AF,2005,43.3390482369,actual
AF,2006,61.0941570759,actual
AF,2007,91.8880749989,actual
AF,2008,131.9731230053,actual
AF,2009,151.4675834261,actual
AF,2010,187.9149775301,actual
AF,2011,272.3160228375,actual
AF,2012,406.9815596801,actual
AF,2013,445.3277062431,actual
AF,2014,483.8647310675,actual
AF,2015,542.0997454937,proj
AF,2016,,proj
AF,2017,,proj
AF,2018,,proj
AF,2019,,proj
AF,2020,,proj
AG,2000,3123.7722913604,actual
AG,2001,3946.2064962123,actual
AG,2002,4197.3915733384,actual
AG,2003,3904.6583721895,actual
AG,2004,4032.5112127083,actual
AG,2005,4477.7363330887,actual
AG,2006,6151.016106182,actual
AG,2007,6733.7246248304,actual
AG,2008,6982.6865538595,actual
AG,2009,8523.8478257108,actual
AG,2010,5050.8947231295,actual
AG,2011,5170.2764135453,actual
AG,2012,7802.3850461379,actual
AG,2013,5342.2279401347,proj
AG,2014,4938.802749396,proj
AG,2015,7409.6193108429,proj
AG,2016,4986.8976457629,proj
AG,2017,5219.0203692525,proj
AG,2018,5536.4301642057,proj
AG,2019,5839.5497561705,proj
AG,2020,6187.4449375773,proj
AL,2000,860.8687938192,actual
AL,2001,994.1630980559,actual
AL,2002,1037.9350218581,actual
AL,2003,1107.5853579713,actual
AL,2004,1296.2632630837,actual
AL,2005,1408.8041672108,actual
AL,2006,1583.2576509235,actual
AL,2007,1825.9846272212,actual
AL,2008,2391.750682733,actual
AL,2009,2651.0681250632,actual
AL,2010,2658.4565391251,actual
AL,2011,2860.5592562035,actual
AL,2012,2895.362302566,actual
AL,2013,3045.039922761,actual
AL,2014,3519.4547810196,actual
AL,2015,3495.9713536328,actual
AL,2016,3577.8024242766,proj
AL,2017,3891.7010748495,proj
AL,2018,4315.5834190726,proj
AL,2019,4782.3862693486,proj
AL,2020,5312.5987189457,proj
AL,2021,5891.6306251677,proj
AM,2000,,actual
AM,2001,233.3539665354,actual
AM,2002,252.4555009715,actual
AM,2003,309.7363115052,actual
AM,2004,351.8893294126,actual
AM,2005,457.5870080308,actual
AM,2006,622.7324597336,actual
AM,2007,865.5276673581,actual
AM,2008,1033.9181253194,actual
AM,2009,1202.8321038781,actual
AM,2010,1314.4343916812,actual
AM,2011,1425.8980599971,actual
AM,2012,1518.9486935642,actual
AM,2013,1773.9477663091,proj
AM,2014,1898.5070164037,proj
AM,2015,2143.3726416635,proj
AM,2016,2295.7077969613,proj
AM,2017,,proj
AM,2018,,proj
AM,2019,,proj
AM,2020,,proj
AO,2000,,actual
AO,2001,,actual
AO,2002,,actual
AO,2003,,actual
AO,2004,,actual
AO,2005,,actual
AO,2006,428.8356220559,actual
AO,2007,653.1099134415,actual
AO,2008,1260.93412773,actual
AO,2009,1071.888509515,actual
AO,2010,1539.6467656886,actual
AO,2011,2402.8986580183,actual
AO,2012,2892.7576166961,actual
AO,2013,3094.0512711187,actual
AO,2014,3164.6043888911,proj
