"id","year","value"
"AD",2008,2849168375.34556
"AE",2013,234968754262.437
"AF",2013,12679050960.2589
"AG",2013,1033152427.88021
"AL",2013,11346504697.0545
"AM",2013,6874999791.28563
"AO",2013,58786650195.1453
"AR",2013,331254866750.356
"AS",2014,
"AT",2013,349514580783.963
"AU",2013,867152305474.364
"AW",2009,2019511954.7664
"AZ",2013,30630571631.2158
"BA",2013,13033181036.9316
"BB",2012,4064094671.97205
"BD",2013,97261984291.415
"BE",2013,420483063597.473
"BF",2013,8640399195.87169
"BG",2013,34928402389.38
"BH",2013,23315912910.1133
"BI",2013,1577685813.25468
"BJ",2013,6017115759.78291
"BM",2012,4574802067.32758
"BN",2013,10103968879.1448
"BO",2013,14119326924.3949
"BR",2013,1166716261847.79
"BS",2013,7829325741.24903
"BT",2013,1490216420.22473
"BW",2013,14203084753.3875
"BY",2013,46511359845.2447
"BZ",2013,1362082437.79632
"CA",2013,1319291280915.69
"CD",2013,19454635074.4829
"CF",2013,1304465871.49672
"CG",2013,8719932509.57574
"CH",2013,477255265464.337
"CI",2013,21928892762.5909
"CL",2013,171412998442.465
"CM",2013,22015198848.7462
"CN",2013,4864002775019.47
"CO",2013,212327472456.295
"CR",2013,28449804624.6379
"CU",2011,56939415466.4957
"CV",2013,1366640588.70804
"CW",2014,
"CY",2013,17804771625.9656
"CZ",2013,154008029823.75
"DE",2013,3161935501293.34
"DJ",2013,1032256019.99037
"DK",2013,265136033390.53
"DM",2013,431857638.888889
"DO",2013,50812660855.9495
"DZ",2013,127190992899.326
"EC",2013,58238429057.6041
"EE",2013,15891516315.9727
"EG",2013,128544664196.539
"ER",2013,1245303753.65022
"ES",2013,1172452960005.97
"ET",2013,27738622152.7551
"FI",2013,212607211983.286
"FJ",2013,3370450916.61739
"FM",2013,242459440.017782
"FO",2005,1730894295.38595
"FR",2013,2351943471621.15
"GA",2013,11597850949.9878
"GB",2013,2578691168033.84
"GD",2013,677873577.307404
"GE",2013,9692322210.4304
"GH",2013,19927956038.6235
"GL",2009,1781261018.80898
"GM",2013,832443850.134406
"GN",2013,3610420691.57847
"GQ",2013,9296149993.1598
"GR",2013,201025631249.067
"GT",2013,36207607449.0199
"GU",2014,
"GW",2013,737822758.175657
"GY",2013,1068555956.22801
"HK",2013,241027622404.944
"HN",2013,12771306579.4869
"HR",2013,44921727280.0593
"HT",2013,4883232341.51001
"HU",2013,113124111582.929
"ID",2013,452334824348.268
"IE",2013,217268082873.203
"IL",2013,196167295212.457
"IM",2007,3375736583.21666
"IN",2013,1458737956778.22
"IQ",2013,84132155318.8362
"IR",2013,242548934819.424
"IS",2013,19121850273.8892
"IT",2013,1759566336243.35
"JM",2005,11075778481.0127
"JO",2013,18445245250.7897
"JP",2013,4784541090820.28
"KE",2013,28047924874.8088
"KG",2013,3575739740.23057
"KH",2013,10728239024.4133
