"id","year","value"
"d101",2014,80
"d102",2014,326
"d103",2014,49
"d104",2014,87
"d105",2014,71
"d106",2014,66
"d107",2014,49
"d108",2014,80
"d109",2014,73
"d110",2014,60
"d111",2014,70
"d112",2014,78
"d113",2014,69
"d114",2014,59
"d115",2014,56
"d116",2014,68
"d117",2014,71
"d118",2014,70
"d119",2014,56
"d120",2014,63
"d121",2014,58
"d122",2014,76
"d123",2014,63
"d124",2014,55
"d201",2014,51
"d202",2014,71
"d203",2014,87
"d204",2014,84
"d205",2014,64
"d206",2014,77
"d207",2014,55
"d208",2014,61
"d209",2014,76
"d210",2014,66
"d211",2014,70
"d212",2014,55
"d213",2014,84
"d214",2014,58
"d215",2014,46
"d216",2014,70
"d217",2014,82
"d218",2014,60
"d219",2014,80
"d220",2014,55
"d221",2014,53
"d222",2014,89
"d223",2014,75
"d224",2014,61
"d225",2014,64
"d226",2014,81
"d227",2014,66
"d228",2014,64
"d229",2014,49
"d230",2014,41
"d231",2014,63
"d232",2014,57
"d301",2014,107
"d302",2014,120
"d303",2014,54
"d304",2014,85
"d305",2014,71
"d306",2014,76
"d307",2014,80
"d308",2014,57
"d309",2014,60
"d310",2014,54
"d311",2014,61
"d312",2014,80
"d313",2014,76
"d314",2014,73
"d315",2014,90
"d316",2014,75
"d317",2014,83
"d318",2014,43
"d319",2014,77
"d320",2014,48
"d321",2014,76
"d322",2014,75
"d323",2014,75
"d324",2014,46
"d325",2014,110
"d326",2014,59
"d327",2014,89
"d328",2014,51
"d329",2014,71
"d330",2014,82
"d401",2014,95
"d402",2014,78
"d403",2014,60
"d404",2014,61
"d405",2014,71
"d406",2014,60
"d407",2014,51
"d408",2014,68
"d409",2014,73
"d410",2014,47
"d411",2014,71
"d412",2014,83
"d413",2014,76
"d414",2014,60
"d415",2014,91
"d416",2014,73
"d417",2014,46
"d418",2014,51
"d419",2014,49
"d420",2014,36
"d421",2014,56
"d422",2014,81
"d423",2014,67
"d424",2014,66
"d425",2014,46
"d426",2014,64
