id,year,value
AD,1960,
AD,1961,
AD,1962,
AD,1963,
AD,1964,
AD,1965,
AD,1966,
AD,1967,
AD,1968,
AD,1969,
AD,1970,
AD,1971,
AD,1972,
AD,1973,
AD,1974,
AD,1975,
AD,1976,
AD,1977,
AD,1978,
AD,1979,
AD,1980,
AD,1981,
AD,1982,
AD,1983,
AD,1984,
AD,1985,
AD,1986,
AD,1987,
AD,1988,
AD,1989,
AD,1990,
AD,1991,
AD,1992,
AD,1993,
AD,1994,
AD,1995,
AD,1996,
AD,1997,
AD,1998,
AD,1999,
AD,2000,
AD,2001,
AD,2002,
AD,2003,
AD,2004,
AD,2005,
AD,2006,
AD,2007,
AD,2008,
AD,2009,
AD,2010,
AD,2011,
AD,2012,
AD,2013,
AD,2014,
AD,2015,
AE,1960,52.24
AE,1961,53.29
AE,1962,54.33
AE,1963,55.36
AE,1964,56.39
AE,1965,57.41
AE,1966,58.39
AE,1967,59.34
AE,1968,60.24
AE,1969,61.10
AE,1970,61.90
AE,1971,62.65
AE,1972,63.37
AE,1973,64.04
AE,1974,64.69
AE,1975,65.31
AE,1976,65.89
AE,1977,66.45
AE,1978,66.99
AE,1979,67.50
AE,1980,67.98
AE,1981,68.45
AE,1982,68.88
AE,1983,69.30
AE,1984,69.70
AE,1985,70.08
AE,1986,70.44
AE,1987,70.78
AE,1988,71.10
AE,1989,71.42
AE,1990,71.72
AE,1991,72.01
AE,1992,72.30
AE,1993,72.57
AE,1994,72.85
AE,1995,73.12
AE,1996,73.38
AE,1997,73.65
AE,1998,73.92
AE,1999,74.19
AE,2000,74.45
AE,2001,74.71
AE,2002,74.97
AE,2003,75.22
AE,2004,75.46
AE,2005,75.69
AE,2006,75.90
AE,2007,76.11
AE,2008,76.31
AE,2009,76.49
AE,2010,76.68
AE,2011,76.85
AE,2012,77.02
AE,2013,77.20
AE,2014,77.37
AE,2015,
AF,1960,32.33
AF,1961,32.78
AF,1962,33.22
AF,1963,33.66
AF,1964,34.09
AF,1965,34.53
AF,1966,34.96
AF,1967,35.39
AF,1968,35.82
AF,1969,36.26
AF,1970,36.70
AF,1971,37.15
AF,1972,37.61
AF,1973,38.08
AF,1974,38.56
AF,1975,39.06
AF,1976,39.58
AF,1977,40.11
AF,1978,40.67
AF,1979,41.25
AF,1980,41.87
AF,1981,42.53
AF,1982,43.23
AF,1983,43.98
AF,1984,44.76
AF,1985,45.58
AF,1986,46.43
AF,1987,47.30
AF,1988,48.17
AF,1989,49.03
AF,1990,49.86
AF,1991,50.64
AF,1992,51.36
AF,1993,52.02
AF,1994,52.61
AF,1995,53.14
AF,1996,53.60
AF,1997,54.02
AF,1998,54.40
AF,1999,54.77
AF,2000,55.13
AF,2001,55.49
AF,2002,55.86
AF,2003,56.24
AF,2004,56.63
AF,2005,57.03
AF,2006,57.43
AF,2007,57.83
AF,2008,58.23
AF,2009,58.60
AF,2010,58.97
AF,2011,59.33
AF,2012,59.68
AF,2013,60.03
AF,2014,60.37
AF,2015,
AG,1960,61.78
AG,1961,62.20
AG,1962,62.60
AG,1963,62.99
AG,1964,63.38
AG,1965,63.76
AG,1966,64.13
AG,1967,64.49
AG,1968,64.84
AG,1969,65.19
AG,1970,65.53
AG,1971,65.86
AG,1972,66.19
AG,1973,66.51
AG,1974,66.82
AG,1975,67.13
AG,1976,67.43
AG,1977,67.73
AG,1978,68.02
AG,1979,68.31
AG,1980,68.59
AG,1981,68.87
AG,1982,69.14
AG,1983,69.41
AG,1984,69.67
AG,1985,69.93
AG,1986,70.18
AG,1987,70.43
AG,1988,70.68
AG,1989,70.92
AG,1990,71.16
AG,1991,71.40
AG,1992,71.63
AG,1993,71.87
AG,1994,72.09
AG,1995,72.32
AG,1996,72.54
AG,1997,72.76
AG,1998,72.97
AG,1999,73.19
AG,2000,73.40
AG,2001,73.61
AG,2002,73.82
AG,2003,74.02
AG,2004,74.23
AG,2005,74.43
