id,year,value
AD,2000,
AD,2001,
AD,2002,
AD,2003,
AD,2004,
AD,2005,
AD,2006,
AD,2007,
AD,2008,
AD,2009,
AD,2010,
AD,2011,
AD,2012,
AD,2013,
AE,2000,
AE,2001,
AE,2002,
AE,2003,
AE,2004,
AE,2005,
AE,2006,
AE,2007,
AE,2008,
AE,2009,
AE,2010,
AE,2011,
AE,2012,
AE,2013,
AF,2000,
AF,2001,
AF,2002,0
AF,2003,0
AF,2004,0
AF,2005,0
AF,2006,0
AF,2007,0
AF,2008,0
AF,2009,0
AF,2010,0
AF,2011,0
AF,2012,2
AF,2013,0
AG,2000,
AG,2001,
AG,2002,
AG,2003,
AG,2004,
AG,2005,
AG,2006,
AG,2007,
AG,2008,
AG,2009,
AG,2010,
AG,2011,
AG,2012,
AG,2013,
AL,2000,0
AL,2001,0
AL,2002,0
AL,2003,1
AL,2004,0
AL,2005,1
AL,2006,1
AL,2007,1
AL,2008,31
AL,2009,45
AL,2010,36
AL,2011,16
AL,2012,20
AL,2013,14
AM,2000,21
AM,2001,5
AM,2002,12
AM,2003,28
AM,2004,59
AM,2005,58
AM,2006,52
AM,2007,49
AM,2008,29
AM,2009,46
AM,2010,68
AM,2011,73
AM,2012,69
AM,2013,88
AO,2000,106
AO,2001,43
AO,2002,66
AO,2003,36
AO,2004,135
AO,2005,
AO,2006,
AO,2007,
AO,2008,785
AO,2009,278
AO,2010,
AO,2011,
AO,2012,
AO,2013,
AR,2000,30
AR,2001,64
AR,2002,40
AR,2003,98
AR,2004,90
AR,2005,104
AR,2006,128
AR,2007,113
AR,2008,81
AR,2009,208
AR,2010,88
AR,2011,101
AR,2012,84
AR,2013,97
AS,2000,
AS,2001,
AS,2002,
AS,2003,
AS,2004,
AS,2005,
AS,2006,
AS,2007,
AS,2008,
AS,2009,
AS,2010,
AS,2011,
AS,2012,
AS,2013,
AT,2000,
AT,2001,
AT,2002,
AT,2003,
AT,2004,
AT,2005,
AT,2006,
AT,2007,
AT,2008,
AT,2009,
AT,2010,
AT,2011,
AT,2012,
AT,2013,
AU,2000,
AU,2001,
AU,2002,
AU,2003,
AU,2004,
AU,2005,
AU,2006,
AU,2007,
AU,2008,
AU,2009,
AU,2010,
AU,2011,
AU,2012,
AU,2013,
AW,2000,
AW,2001,
AW,2002,
AW,2003,
AW,2004,
AW,2005,
AW,2006,
AW,2007,
AW,2008,
AW,2009,
AW,2010,
AW,2011,
AW,2012,
AW,2013,
AZ,2000,244
AZ,2001,145
AZ,2002,26
AZ,2003,13
AZ,2004,16
AZ,2005,94
AZ,2006,
AZ,2007,
AZ,2008,38335
AZ,2009,774
AZ,2010,678
AZ,2011,375
AZ,2012,245
AZ,2013,171
BA,2000,0
BA,2001,2
BA,2002,2
BA,2003,3
BA,2004,12
BA,2005,28
BA,2006,32
BA,2007,19
BA,2008,19
BA,2009,0
BA,2010,19
BA,2011,55
BA,2012,56
BA,2013,16
BB,2000,
BB,2001,
BB,2002,
BB,2003,
BB,2004,
BB,2005,
BB,2006,
BB,2007,
BB,2008,
BB,2009,
BB,2010,
BB,2011,
BB,2012,
BB,2013,
BD,2000,26
BD,2001,49
BD,2002,39
BD,2003,51
BD,2004,54
BD,2005,79
BD,2006,97
BD,2007,121
BD,2008,95
BD,2009,155
BD,2010,138
BD,2011,120
BD,2012,138
BD,2013,122
BE,2000,
BE,2001,
BE,2002,
BE,2003,
BE,2004,
BE,2005,
BE,2006,
BE,2007,
BE,2008,
BE,2009,
BE,2010,
BE,2011,
BE,2012,
BE,2013,
BF,2000,13
BF,2001,75
BF,2002,62
BF,2003,37
BF,2004,61
BF,2005,20
BF,2006,21
BF,2007,3
BF,2008,36
BF,2009,34
BF,2010,76
BF,2011,0
BF,2012,0
BF,2013,0
BG,2000,11
BG,2001,18
BG,2002,25
BG,2003,26
BG,2004,22
BG,2005,23
BG,2006,24
BG,2007,30
BG,2008,28
BG,2009,54
BG,2010,103
BG,2011,136
BG,2012,136
BG,2013,157
BH,2000,
BH,2001,
BH,2002,
BH,2003,
BH,2004,
BH,2005,
BH,2006,
BH,2007,
BH,2008,
BH,2009,
BH,2010,
BH,2011,
BH,2012,
BH,2013,
BI,2000,3
BI,2001,15889
BI,2002,
BI,2003,101392
BI,2004,14805
BI,2005,366
BI,2006,10715
BI,2007,959
BI,2008,0
BI,2009,0
BI,2010,0
BI,2011,0
BI,2012,0
BI,2013,0
BJ,2000,0
BJ,2001,1
BJ,2002,94
BJ,2003,50
BJ,2004,21
BJ,2005,17
BJ,2006,28
BJ,2007,21
BJ,2008,17
BJ,2009,23
BJ,2010,31
BJ,2011,41
BJ,2012,0
BJ,2013,0
BM,2000,
BM,2001,
BM,2002,
BM,2003,
BM,2004,
BM,2005,
BM,2006,
BM,2007,
BM,2008,
BM,2009,
BM,2010,
BM,2011,
BM,2012,
BM,2013,
BN,2000,
BN,2001,
BN,2002,
BN,2003,
BN,2004,
BN,2005,
BN,2006,
BN,2007,
BN,2008,
BN,2009,
BN,2010,
BN,2011,
BN,2012,
BN,2013,
BO,2000,20
BO,2001,24
BO,2002,27
BO,2003,118
BO,2004,342
BO,2005,
BO,2006,139
BO,2007,176
BO,2008,133
BO,2009,182
BO,2010,134
BO,2011,114
BO,2012,156
BO,2013,0
BR,2000,13
BR,2001,22
BR,2002,36
BR,2003,59
BR,2004,38
BR,2005,73
BR,2006,74
BR,2007,57
BR,2008,64
BR,2009,81
BR,2010,55
BR,2011,48
BR,2012,38
BR,2013,43
BS,2000,
BS,2001,
BS,2002,
BS,2003,
BS,2004,
BS,2005,
BS,2006,
BS,2007,
BS,2008,
BS,2009,
BS,2010,
BS,2011,
BS,2012,
BS,2013,
BT,2000,
BT,2001,
BT,2002,0
BT,2003,0
BT,2004,0
BT,2005,0
BT,2006,1
BT,2007,42
BT,2008,16
BT,2009,0
BT,2010,13
BT,2011,18
BT,2012,8
BT,2013,94
BW,2000,1151
BW,2001,1120
BW,2002,222
BW,2003,240
BW,2004,279
BW,2005,383
BW,2006,214
BW,2007,217
BW,2008,201
BW,2009,366
BW,2010,537
BW,2011,26
BW,2012,79
BW,2013,0
BY,2000,4
BY,2001,14
BY,2002,11
BY,2003,22
BY,2004,46
BY,2005,44
BY,2006,66
BY,2007,24
BY,2008,31
BY,2009,46
BY,2010,75
BY,2011,30
BY,2012,86
BY,2013,106
BZ,2000,131
BZ,2001,54
BZ,2002,130
BZ,2003,
BZ,2004,38
BZ,2005,27
BZ,2006,47
BZ,2007,60
BZ,2008,63
BZ,2009,52
BZ,2010,105
BZ,2011,42
BZ,2012,35
BZ,2013,95
CA,2000,
CA,2001,
CA,2002,
CA,2003,
CA,2004,
CA,2005,
CA,2006,
CA,2007,
CA,2008,
CA,2009,
CA,2010,
CA,2011,
CA,2012,
CA,2013,
CD,2000,0
CD,2001,0
CD,2002,0
CD,2003,0
CD,2004,0
CD,2005,0
CD,2006,0
CD,2007,0
CD,2008,0
CD,2009,0
CD,2010,4
CD,2011,0
CD,2012,0
CD,2013,0
CF,2000,0
CF,2001,0
CF,2002,0
CF,2003,0
CF,2004,0
CF,2005,0
CF,2006,0
CF,2007,0
CF,2008,0
CF,2009,0
CF,2010,0
CF,2011,0
CF,2012,0
CF,2013,0
CG,2000,288
CG,2001,517
CG,2002,438
CG,2003,121
CG,2004,126
CG,2005,88
CG,2006,73
CG,2007,73
CG,2008,0
CG,2009,0
CG,2010,0
CG,2011,0
CG,2012,0
CG,2013,0
CH,2000,
CH,2001,
CH,2002,
CH,2003,
CH,2004,
CH,2005,
CH,2006,
CH,2007,
CH,2008,
CH,2009,
CH,2010,
CH,2011,
CH,2012,
CH,2013,
CI,2000,121
CI,2001,99
CI,2002,133
CI,2003,202
CI,2004,129
CI,2005,119
CI,2006,150
CI,2007,124
CI,2008,130
CI,2009,152
CI,2010,166
CI,2011,0
CI,2012,0
CI,2013,0
CL,2000,
CL,2001,
CL,2002,
CL,2003,
CL,2004,
CL,2005,
CL,2006,
CL,2007,
CL,2008,
CL,2009,
CL,2010,
CL,2011,
CL,2012,
CL,2013,
CM,2000,26
CM,2001,74
CM,2002,15
CM,2003,37
CM,2004,216
CM,2005,119
CM,2006,17
CM,2007,203
CM,2008,787
CM,2009,59
CM,2010,31
CM,2011,43
CM,2012,96
CM,2013,0
CN,2000,50
CN,2001,46
CN,2002,34
CN,2003,37
CN,2004,31
CN,2005,66
CN,2006,68
CN,2007,74
CN,2008,67
CN,2009,112
CN,2010,139
CN,2011,165
CN,2012,142
CN,2013,167
CO,2000,27
CO,2001,36
CO,2002,50
CO,2003,88
CO,2004,81
CO,2005,35
CO,2006,69
CO,2007,73
CO,2008,82
CO,2009,107
CO,2010,148
CO,2011,110
CO,2012,96
CO,2013,80
CR,2000,279
CR,2001,123
CR,2002,53
CR,2003,112
CR,2004,42
CR,2005,86
CR,2006,58
CR,2007,60
CR,2008,36
CR,2009,73
CR,2010,41
CR,2011,23
CR,2012,26
CR,2013,31
CU,2000,
CU,2001,
CU,2002,
CU,2003,
CU,2004,
CU,2005,
CU,2006,
CU,2007,
CU,2008,
CU,2009,
CU,2010,
CU,2011,
CU,2012,
CU,2013,
CV,2000,12
CV,2001,11
CV,2002,11
CV,2003,8
CV,2004,6
CV,2005,13
CV,2006,18
CV,2007,15
CV,2008,14
CV,2009,15
CV,2010,35
CV,2011,27
CV,2012,40
CV,2013,70
CW,2000,
CW,2001,
CW,2002,
CW,2003,
CW,2004,
CW,2005,
CW,2006,
