country-id,year,value
AFG,2000,
AFG,2001,
AFG,2002,
AFG,2003,
AFG,2004,
AFG,2005,
AFG,2006,
AFG,2007,
AFG,2008,
AFG,2009,
AFG,2010,
AFG,2011,
AGO,2000,68.95
AGO,2001,66.05
AGO,2002,86.08
AGO,2003,88.15
AGO,2004,187.37
AGO,2005,66.42
AGO,2006,61.13
AGO,2007,52.51
AGO,2008,51.86
AGO,2009,40.16
AGO,2010,
AGO,2011,
AIA,2000,
AIA,2001,
AIA,2002,
AIA,2003,
AIA,2004,
AIA,2005,
AIA,2006,
AIA,2007,
AIA,2008,
AIA,2009,
AIA,2010,
AIA,2011,
ALB,2000,41824.12
ALB,2001,31130.46
ALB,2002,28916.52
ALB,2003,30671.72
ALB,2004,24643.51
ALB,2005,15976.6
ALB,2006,17248.45
ALB,2007,16884.99
ALB,2008,20941.3
ALB,2009,
ALB,2010,
ALB,2011,
ARG,2000,107.94
ARG,2001,121.98
ARG,2002,30.08
ARG,2003,50.06
ARG,2004,62.21
ARG,2005,78.22
ARG,2006,117.33
ARG,2007,168.89
ARG,2008,224.36
ARG,2009,214.79
ARG,2010,449.17
ARG,2011,
ARM,2000,537.99
ARM,2001,537.52
ARM,2002,997.14
ARM,2003,1113
ARM,2004,1523.91
ARM,2005,2038.6
ARM,2006,3283.8
ARM,2007,4143.78
ARM,2008,9302.42
ARM,2009,10554.08
ARM,2010,5363.46
ARM,2011,
ATG,2000,
ATG,2001,
ATG,2002,
ATG,2003,
ATG,2004,
ATG,2005,
ATG,2006,
ATG,2007,
ATG,2008,
ATG,2009,
ATG,2010,
ATG,2011,
AZE,2000,316.42
AZE,2001,660.38
AZE,2002,1154.55
AZE,2003,1125.68
AZE,2004,826.55
AZE,2005,1254.15
AZE,2006,1626.42
AZE,2007,2746.75
AZE,2008,7461.8
AZE,2009,
AZE,2010,
AZE,2011,
BDI,2000,35.54
BDI,2001,50.96
BDI,2002,54.77
BDI,2003,58.89
BDI,2004,90.55
BDI,2005,81.39
BDI,2006,91.82
BDI,2007,
BDI,2008,
BDI,2009,
BDI,2010,
BDI,2011,
BEN,2000,
BEN,2001,
BEN,2002,
BEN,2003,141.7
BEN,2004,
BEN,2005,
BEN,2006,
BEN,2007,
BEN,2008,
BEN,2009,
BEN,2010,
BEN,2011,
BFA,2000,83.02
BFA,2001,102.32
BFA,2002,106.84
BFA,2003,111.64
BFA,2004,120.27
BFA,2005,127.25
BFA,2006,371.31
BFA,2007,148.89
BFA,2008,150.02
BFA,2009,167.54
BFA,2010,
BFA,2011,
BGD,2000,32.97
BGD,2001,31.82
BGD,2002,28.3
BGD,2003,33.13
BGD,2004,35.81
BGD,2005,30.67
BGD,2006,33.6
BGD,2007,34.84
BGD,2008,55.6
BGD,2009,31.35
BGD,2010,35.03
BGD,2011,
BIH,2000,
BIH,2001,224752.05
BIH,2002,204138.8
BIH,2003,183701.68
BIH,2004,230665.81
BIH,2005,225805.11
BIH,2006,288215.95
BIH,2007,443916.36
BIH,2008,
BIH,2009,
BIH,2010,
BIH,2011,
BLR,2000,
BLR,2001,
BLR,2002,
BLR,2003,
BLR,2004,
BLR,2005,4211.37
BLR,2006,9801.12
BLR,2007,7610.23
BLR,2008,11851.39
