id,year,value
AD,2000,0
AD,2001,0
AD,2002,0
AD,2003,0
AD,2004,0
AD,2005,0
AD,2006,0
AD,2007,0
AD,2008,0
AD,2009,0
AD,2010,0
AD,2011,0
AD,2012,0
AD,2013,0
AD,2014,0
AE,2000,0
AE,2001,0
AE,2002,0
AE,2003,0
AE,2004,0
AE,2005,0
AE,2006,0
AE,2007,0
AE,2008,0
AE,2009,0
AE,2010,0
AE,2011,0
AE,2012,0
AE,2013,0
AE,2014,0
AF,2000,173.2
AF,2001,592
AF,2002,1135.4
AF,2003,535.1
AF,2004,473.1
AF,2005,344.7
AF,2006,347.3
AF,2007,346.2
AF,2008,906.2
AF,2009,686.5
AF,2010,610.2
AF,2011,767.6
AF,2012,507.9
AF,2013,533.8
AF,2014,532.4
AG,2000,0
AG,2001,0
AG,2002,0
AG,2003,0
AG,2004,0
AG,2005,0.1
AG,2006,0
AG,2007,0
AG,2008,0
AG,2009,0.1
AG,2010,0
AG,2011,0
AG,2012,0
AG,2013,0.2
AG,2014,0.1
AI,2000,0.2
AI,2001,0
AI,2002,0
AI,2003,0
AI,2004,0
AI,2005,0.1
AI,2006,0
AI,2007,0
AI,2008,0
AI,2009,0.1
AI,2010,0
AI,2011,0
AI,2012,0
AI,2013,0
AI,2014,0
AL,2000,47
AL,2001,29.6
AL,2002,29
AL,2003,9.3
AL,2004,5.3
AL,2005,3.2
AL,2006,3.4
AL,2007,2
AL,2008,6.4
AL,2009,1.3
AL,2010,1.6
AL,2011,2.2
AL,2012,5.5
AL,2013,5.1
AL,2014,4.9
AM,2000,9.7
AM,2001,25.8
AM,2002,31.6
AM,2003,19.3
AM,2004,14.7
AM,2005,13
AM,2006,16
AM,2007,10.7
AM,2008,4.7
AM,2009,3.3
AM,2010,8.2
AM,2011,5.4
AM,2012,7.3
AM,2013,4
AM,2014,10
ANHH,2000,0
ANHH,2001,0
ANHH,2002,0
ANHH,2003,0
ANHH,2004,0
ANHH,2005,0
ANHH,2006,0
ANHH,2007,0
ANHH,2008,0
ANHH,2009,0
ANHH,2010,0
ANHH,2011,0
ANHH,2012,0
ANHH,2013,0
ANHH,2014,0
AO,2000,116.7
AO,2001,131.5
AO,2002,255.1
AO,2003,311.2
AO,2004,223.5
AO,2005,119
AO,2006,63.1
AO,2007,23.6
AO,2008,13.9
AO,2009,6.8
AO,2010,3.8
AO,2011,11.3
AO,2012,15.1
AO,2013,13.7
AO,2014,16
AR,2000,1.5
AR,2001,1.5
AR,2002,14.2
AR,2003,47.8
AR,2004,1.1
AR,2005,1.7
AR,2006,0.8
AR,2007,1.3
AR,2008,1
AR,2009,3.8
AR,2010,1.9
AR,2011,4.6
AR,2012,0.8
AR,2013,2.1
AR,2014,0.7
AU,2000,0
AU,2001,0
AU,2002,0
AU,2003,0
AU,2004,0
AU,2005,0
AU,2006,0
AU,2007,0
AU,2008,0
AU,2009,0
AU,2010,0.9
AU,2011,0
AU,2012,0
AU,2013,0
AU,2014,0
AW,2000,0
AW,2001,0
AW,2002,0
AW,2003,0
AW,2004,0
AW,2005,0
AW,2006,0
AW,2007,0
AW,2008,0
AW,2009,0
AW,2010,0
AW,2011,0
AW,2012,0
AW,2013,0
AW,2014,0
AZ,2000,15.4
AZ,2001,24
AZ,2002,21.2
AZ,2003,18.9
AZ,2004,25.9
AZ,2005,14.7
AZ,2006,6.1
AZ,2007,9.8
AZ,2008,5.7
AZ,2009,3.7
AZ,2010,3.4
AZ,2011,1.6
AZ,2012,2
AZ,2013,2.7
AZ,2014,2.2
BA,2000,125.9
BA,2001,165.5
BA,2002,81.8
BA,2003,46.2
BA,2004,47.8
BA,2005,32.4
BA,2006,24.2
BA,2007,10.3
BA,2008,7.8
BA,2009,7.1
BA,2010,4.6
BA,2011,5.5
BA,2012,2.1
BA,2013,3
BA,2014,85.3
BB,2000,0
BB,2001,0.2
BB,2002,0.2
BB,2003,0.4
BB,2004,0.5
BB,2005,0.6
BB,2006,0.5
BB,2007,0.2
BB,2008,0.1
BB,2009,0.2
BB,2010,2.4
BB,2011,0
BB,2012,0
BB,2013,0
BB,2014,0
BD,2000,23.3
BD,2001,26.6
BD,2002,31.8
BD,2003,9.9
BD,2004,98.7
BD,2005,17.4
BD,2006,12.6
BD,2007,303.7
BD,2008,142.6
BD,2009,103.3
BD,2010,110.6
BD,2011,107.4
BD,2012,119.2
BD,2013,118.1
BD,2014,146.4
BF,2000,1.6
BF,2001,3.4
BF,2002,3
BF,2003,3.3
BF,2004,1.6
BF,2005,2.8
BF,2006,5.8
BF,2007,14.9
BF,2008,26.9
BF,2009,29
BF,2010,53.7
BF,2011,35.5
BF,2012,102.2
BF,2013,72.4
BF,2014,56.5
BG,2000,0
BG,2001,0
BG,2002,0
BG,2003,0
BG,2004,0
BG,2005,0
BG,2006,0.2
BG,2007,0.1
BG,2008,0
BG,2009,0
BG,2010,0
BG,2011,0
BG,2012,0
BG,2013,0
BG,2014,0
BH,2000,0
BH,2001,0
BH,2002,0
BH,2003,0
BH,2004,0
BH,2005,0
BH,2006,0
BH,2007,0
BH,2008,0
BH,2009,0
BH,2010,0
BH,2011,0
BH,2012,0
BH,2013,0
BH,2014,0
BI,2000,58.2
BI,2001,73.2
BI,2002,103.8
BI,2003,152
BI,2004,172
BI,2005,180
BI,2006,157.6
BI,2007,106.3
BI,2008,86.4
BI,2009,90
BI,2010,70.8
BI,2011,52.5
BI,2012,42.8
BI,2013,50.1
BI,2014,40.2
BJ,2000,1.8
BJ,2001,1.5
BJ,2002,4.6
BJ,2003,1.6
BJ,2004,1.6
BJ,2005,4.6
BJ,2006,3.7
BJ,2007,3.4
BJ,2008,2.6
BJ,2009,2.3
BJ,2010,16.4
BJ,2011,10.6
BJ,2012,7.2
BJ,2013,12.7
BJ,2014,10.8
BM,2000,0
BM,2001,0
BM,2002,0
BM,2003,0
BM,2004,0
BM,2005,0
BM,2006,0
BM,2007,0
BM,2008,0
BM,2009,0
BM,2010,0
BM,2011,0
BM,2012,0
BM,2013,0
BM,2014,0
BN,2000,0
BN,2001,0
BN,2002,0
BN,2003,0
BN,2004,0
BN,2005,0
BN,2006,0
BN,2007,0
BN,2008,0
BN,2009,0
BN,2010,0
BN,2011,0
BN,2012,0
BN,2013,0
BN,2014,0
BO,2000,0.2
BO,2001,8.8
BO,2002,14
BO,2003,4
BO,2004,3.7
BO,2005,6.1
BO,2006,6
BO,2007,14.3
BO,2008,24.1
BO,2009,10.1
BO,2010,13.6
BO,2011,17
BO,2012,5.8
BO,2013,12.2
BO,2014,10.1
BR,2000,2.8
BR,2001,7.1
BR,2002,3.9
BR,2003,7
BR,2004,3.3
BR,2005,3.9
BR,2006,5.5
BR,2007,4
BR,2008,7.5
BR,2009,4.2
BR,2010,2.9
BR,2011,6.8
BR,2012,2.2
BR,2013,2.4
BR,2014,3.2
BS,2000,0
BS,2001,0
BS,2002,0
BS,2003,0
BS,2004,0
BS,2005,0
BS,2006,0
BS,2007,0
BS,2008,0
BS,2009,0
BS,2010,0
BS,2011,0
BS,2012,0
BS,2013,0
BS,2014,0
BT,2000,0.2
BT,2001,0
BT,2002,1
BT,2003,1.6
BT,2004,0.5
BT,2005,0.1
BT,2006,0.6
BT,2007,0.3
BT,2008,0.8
BT,2009,1.6
BT,2010,2.3
BT,2011,7.6
BT,2012,6.2
BT,2013,2.3
BT,2014,0.9
BW,2000,1.6
BW,2001,2.6
BW,2002,2.4
BW,2003,2
BW,2004,2.7
BW,2005,0.8
BW,2006,0.7
BW,2007,1.3
BW,2008,1.3
BW,2009,1.6
BW,2010,1.1
BW,2011,3.2
BW,2012,0.3
BW,2013,0.6
BW,2014,0.3
BY,2000,0
BY,2001,0
BY,2002,0
BY,2003,0
BY,2004,0
BY,2005,7.2
BY,2006,4.9
BY,2007,4.6
BY,2008,3
BY,2009,2.3
BY,2010,1.5
BY,2011,0.3
BY,2012,0.4
BY,2013,0.3
BY,2014,0.4
BZ,2000,1.2
BZ,2001,2.1
BZ,2002,1.2
BZ,2003,0
BZ,2004,0
BZ,2005,0.1
BZ,2006,1
BZ,2007,0.8
BZ,2008,0.6
BZ,2009,1.1
BZ,2010,0.9
BZ,2011,0.9
BZ,2012,0.5
BZ,2013,3.6
BZ,2014,1.1
CD,2000,99.7
CD,2001,181.3
CD,2002,263.1
CD,2003,262
CD,2004,303.5
CD,2005,330.3
CD,2006,434.6
CD,2007,398.7
CD,2008,535.5
CD,2009,591.3
CD,2010,502.7
CD,2011,458.9
CD,2012,479.8
CD,2013,507.1
CD,2014,529.2
CF,2000,3.3
CF,2001,5.9
CF,2002,4.3
CF,2003,5.5
CF,2004,7.2
CF,2005,6.5
CF,2006,10.2
CF,2007,55.7
CF,2008,63.6
CF,2009,46.8
CF,2010,59.4
CF,2011,69.5
CF,2012,69.3
CF,2013,129.5
CF,2014,367.2
CG,2000,16.5
CG,2001,28.8
CG,2002,28.8
CG,2003,21.7
CG,2004,17.9
CG,2005,14.1
CG,2006,6.4
CG,2007,7.6
CG,2008,4.5
CG,2009,3.9
CG,2010,29.8
CG,2011,9.5
CG,2012,19.3
CG,2013,8.8
CG,2014,12.9
CI,2000,12.7
CI,2001,14.1
CI,2002,16
CI,2003,47.1
CI,2004,65.1
CI,2005,53.6
CI,2006,68.7
CI,2007,56.5
CI,2008,94.9
CI,2009,32.5
CI,2010,21.3
CI,2011,235.2
CI,2012,111.7
CI,2013,54.2
CI,2014,68.6
CK,2000,0
CK,2001,0
CK,2002,0
CK,2003,0.1
CK,2004,0
CK,2005,1.9
CK,2006,0.2
CK,2007,0.1
