country,year,in_longdebt
AE,1990,
AE,1991,
AE,1992,
AE,1993,
AE,1994,
AE,1995,
AE,1996,
AE,1997,
AE,1998,
AE,1999,
AE,2000,
AE,2001,
AE,2002,
AE,2003,
AE,2004,
AE,2005,
AE,2006,
AE,2007,
AE,2008,
AE,2009,
AE,2010,
AE,2011,
AE,2012,
AF,1990,
AF,1991,
AF,1992,
AF,1993,
AF,1994,
AF,1995,
AF,1996,
AF,1997,
AF,1998,
AF,1999,
AF,2000,
AF,2001,
AF,2002,0
AF,2003,0
AF,2004,0
AF,2005,0
AF,2006,229.76
AF,2007,0
AF,2008,0
AF,2009,0
AF,2010,0
AF,2011,0
AF,2012,0
AG,1990,
AG,1991,
AG,1992,
AG,1993,
AG,1994,
AG,1995,
AG,1996,
AG,1997,
AG,1998,
AG,1999,
AG,2000,
AG,2001,
AG,2002,
AG,2003,
AG,2004,
AG,2005,
AG,2006,
AG,2007,
AG,2008,
AG,2009,
AG,2010,
AG,2011,
AG,2012,
AL,1990,0
AL,1991,168.77
AL,1992,16.04
AL,1993,68.48
AL,1994,0
AL,1995,0
AL,1996,10.67
AL,1997,1.57
AL,1998,0.09
AL,1999,1.86
AL,2000,224.38
AL,2001,177.76
AL,2002,265.87
AL,2003,5.26
AL,2004,37.56
AL,2005,411.37
AL,2006,13.61
AL,2007,121.88
AL,2008,556.34
AL,2009,187.62
AL,2010,634.81
AL,2011,457.83
AL,2012,235.26
AM,1990,
AM,1991,
AM,1992,0
AM,1993,295.8
AM,1994,278.45
AM,1995,0
AM,1996,0
AM,1997,0
AM,1998,9.83
AM,1999,28.91
AM,2000,1.2
AM,2001,0.21
AM,2002,5.74
AM,2003,32.72
AM,2004,79.3
AM,2005,175.84
AM,2006,107.22
AM,2007,558.7
AM,2008,530.48
AM,2009,1251.75
AM,2010,1471.43
AM,2011,1176.56
AM,2012,1356.05
AO,1990,2330.11
AO,1991,1150.81
AO,1992,2367.18
AO,1993,2910.01
AO,1994,2144.28
AO,1995,2475.97
AO,1996,3867.72
AO,1997,5544.91
AO,1998,4477.28
AO,1999,5413.74
AO,2000,4337.32
AO,2001,4739.7
AO,2002,4680.13
AO,2003,6396.72
AO,2004,5483.8
AO,2005,7699.5
AO,2006,2088.91
AO,2007,8177.64
AO,2008,5469.91
AO,2009,4788.53
AO,2010,5054.46
AO,2011,5047.72
AO,2012,4214.82
AR,1990,314.91
AR,1991,979.03
AR,1992,1682.02
AR,1993,6036.61
AR,1994,7138.14
AR,1995,5877.74
AR,1996,15520.32
AR,1997,16549.69
AR,1998,21307.38
AR,1999,25901.88
AR,2000,16576.6
AR,2001,226.66
AR,2002,4119.67
AR,2003,2165.95
AR,2004,6262.9
AR,2005,6367.45
AR,2006,11268.32
AR,2007,13414.24
AR,2008,8439
AR,2009,9685.87
AR,2010,5171.52
AR,2011,11301.41
AR,2012,7666.96
AT,1990,
AT,1991,
AT,1992,
AT,1993,
AT,1994,
AT,1995,
AT,1996,
AT,1997,
AT,1998,
AT,1999,
AT,2000,
AT,2001,
AT,2002,
AT,2003,
AT,2004,
AT,2005,
AT,2006,
AT,2007,
AT,2008,
AT,2009,
AT,2010,
AT,2011,
AT,2012,
AU,1990,
AU,1991,
AU,1992,
AU,1993,
AU,1994,
AU,1995,
AU,1996,
AU,1997,
AU,1998,
AU,1999,
AU,2000,
AU,2001,
AU,2002,
AU,2003,
AU,2004,
AU,2005,
AU,2006,
AU,2007,
AU,2008,
AU,2009,
AU,2010,
AU,2011,
AU,2012,
AZ,1990,
AZ,1991,
AZ,1992,0
AZ,1993,0
AZ,1994,434.87
AZ,1995,534.91
AZ,1996,190.35
AZ,1997,28.75
AZ,1998,243.24
AZ,1999,311.03
AZ,2000,903.52
AZ,2001,25.41
AZ,2002,5.99
AZ,2003,165.96
AZ,2004,669.43
AZ,2005,854.51
AZ,2006,941.2
AZ,2007,410.16
AZ,2008,578.07
AZ,2009,634.04
AZ,2010,2659.27
AZ,2011,2239.71
AZ,2012,2400.88
BA,1990,
BA,1991,
BA,1992,
BA,1993,
BA,1994,
BA,1995,
BA,1996,
BA,1997,
BA,1998,0
BA,1999,249.79
BA,2000,219.09
