country,year,income-share-top-10pc
AW,2005,
AD,2005,
AF,2005,
AO,2005,
AL,2005,26.05
AE,2005,
AR,2005,36.08
AM,2005,30.8
AS,2005,
AG,2005,
AU,2005,
AT,2005,
AZ,2005,
BI,2005,
BE,2005,
BJ,2005,
BF,2005,
BD,2005,28.12
BG,2005,
BH,2005,
BS,2005,
BA,2005,
BY,2005,22.13
BZ,2005,
BM,2005,
BO,2005,44.33
BR,2005,45.47
BB,2005,
BN,2005,
BT,2005,
BW,2005,
CF,2005,
CA,2005,
CH,2005,
CL,2005,
CN,2005,31.97
CI,2005,
CM,2005,
CG,2005,37.05
CO,2005,44.97
KM,2005,
CV,2005,
CR,2005,35.8
CU,2005,
CW,2005,
KY,2005,
CY,2005,
CZ,2005,
DE,2005,
DJ,2005,
DM,2005,
DK,2005,
DO,2005,39.7
DZ,2005,
EC,2005,42.55
EG,2005,27.62
ER,2005,
ES,2005,
EE,2005,
ET,2005,25.63
FI,2005,
FJ,2005,
FR,2005,
FO,2005,
FM,2005,
GA,2005,32.95
GB,2005,
GE,2005,31.03
GH,2005,
GN,2005,
GM,2005,
GW,2005,
GQ,2005,
GR,2005,
GD,2005,
GL,2005,
GT,2005,
GU,2005,
GY,2005,
HK,2005,
HN,2005,46.35
HR,2005,
HT,2005,
HU,2005,
ID,2005,28.51
IN,2005,28.26
IE,2005,
IR,2005,29.63
IQ,2005,
IS,2005,
IL,2005,
IT,2005,
JM,2005,
JO,2005,
JP,2005,
KZ,2005,
KE,2005,37.99
KG,2005,29.61
KH,2005,
KI,2005,
KN,2005,
KR,2005,
XK,2005,
KW,2005,
LA,2005,
LB,2005,
LR,2005,
LY,2005,
LC,2005,
LI,2005,
LK,2005,
LS,2005,
LT,2005,
LU,2005,
LV,2005,
MO,2005,
MF,2005,
MA,2005,
MC,2005,
MD,2005,28.52
MG,2005,41.54
MV,2005,
MX,2005,40.22
MH,2005,
MK,2005,28.93
ML,2005,
MT,2005,
MM,2005,
ME,2005,23.99
MN,2005,
MP,2005,
