id,year,direction,flow-type,flow-name,value
AF,2000,in,official,dfis-in,NA
AF,2000,in,commercial,fdi-in,NA
AF,2000,in,commercial,fdi-in-profits-out,NA
AF,2000,out,commercial,fdi-out,NA
AF,2000,out,illicit,illicit-financing-out,NA
AF,2000,out,commercial,long-debt-capital-payments-out,NA
AF,2000,in,commercial,long-debt-disbursement-in,NA
AF,2000,in,official,long-debt-net-official-in,NA
AF,2000,out,commercial,long-debt-interest-payments-out,NA
AF,2000,in,commercial,net-portfolio-equity-in,NA
AF,2000,out,official,oda-capital-payments-out,0
AF,2000,in,official,oda-in,234980000
AF,2000,out,official,oda-interest-payments-out,0
AF,2000,out,official,oofs-capital-payments-out,0
AF,2000,in,official,oofs-in,0
AF,2000,out,official,oofs-interest-payments-out,0
AF,2000,in,private,pda-in,NA
AF,2000,in,private,remittances-in,NA
AF,2000,out,private,remittances-out,NA
AF,2000,out,commercial,short-debt-interest-out,NA
AF,2000,in,commercial,short-debt-net-flow-in,NA
AF,2000,in,official,ssc-in,NA
AF,2000,out,illicit,trade-mispricing-out,NA
AF,2001,in,official,dfis-in,NA
AF,2001,in,commercial,fdi-in,NA
AF,2001,in,commercial,fdi-in-profits-out,NA
AF,2001,out,commercial,fdi-out,NA
AF,2001,out,illicit,illicit-financing-out,NA
AF,2001,out,commercial,long-debt-capital-payments-out,NA
AF,2001,in,commercial,long-debt-disbursement-in,NA
AF,2001,in,official,long-debt-net-official-in,NA
AF,2001,out,commercial,long-debt-interest-payments-out,NA
AF,2001,in,commercial,net-portfolio-equity-in,NA
AF,2001,out,official,oda-capital-payments-out,0
AF,2001,in,official,oda-in,733340000
AF,2001,out,official,oda-interest-payments-out,0
AF,2001,out,official,oofs-capital-payments-out,0
AF,2001,in,official,oofs-in,0
AF,2001,out,official,oofs-interest-payments-out,0
AF,2001,in,private,pda-in,NA
AF,2001,in,private,remittances-in,NA
AF,2001,out,private,remittances-out,NA
AF,2001,out,commercial,short-debt-interest-out,NA
AF,2001,in,commercial,short-debt-net-flow-in,NA
AF,2001,in,official,ssc-in,NA
AF,2001,out,illicit,trade-mispricing-out,NA
AF,2002,in,official,dfis-in,NA
AF,2002,in,commercial,fdi-in,95186895.26
AF,2002,in,commercial,fdi-in-profits-out,0
AF,2002,out,commercial,fdi-out,NA
AF,2002,out,illicit,illicit-financing-out,NA
AF,2002,out,commercial,long-debt-capital-payments-out,0
AF,2002,in,commercial,long-debt-disbursement-in,0
AF,2002,in,official,long-debt-net-official-in,0
