id,year,direction,flow-type,flow-name,value
AF,2011,in,private,pda-in,na
AF,2013,in,official,ssc-in,na
AF,2013,in,official,oda-in,5400260000
AF,2013,in,commercial,fdi-in-profits-out,0
AF,2013,out,commercial,fdi-out,na
AF,2013,out,official,oda-capital-payments-out,30530000
AF,2013,out,official,oofs-capital-payments-out,28600000
AF,2013,in,commercial,net-portfolio-equity-in,4482.87699
AF,2013,out,official,oofs-interest-payments-out,15870000
AF,2013,in,official,oofs-in,89950000
AF,2013,out,official,oda-interest-payments-out,10790000
AF,2013,in,commercial,fdi-in,77296513.07
AF,2013,in,private,remittances-in,na
AF,2012,out,illicit,trade-mispricing-out,0
AF,2013,out,private,remittances-out,na
AF,2012,in,official,dfis-in,511538053.4
AF,2012,out,illicit,illicit-financing-out,0
AF,2013,in,commercial,long-debt-disbursement-commercial-in,0
AF,2013,in,commercial,short-debt-net-flow-in,-13386609.28
AF,2013,out,commercial,long-debt-capital-payments-out,0
AF,2013,out,commercial,long-debt-interest-payments-out,0
AF,2013,out,commercial,short-debt-interest-out,747419.018
AG,2011,in,private,pda-in,na
AG,2013,in,official,ssc-in,na
AG,2013,in,official,oda-in,2660000
AG,2013,in,commercial,fdi-in-profits-out,na
AG,2013,out,commercial,fdi-out,4201066.803
AG,2013,out,official,oda-capital-payments-out,1050000
AG,2013,out,official,oofs-capital-payments-out,3400000
AG,2013,in,commercial,net-portfolio-equity-in,0
AG,2013,out,official,oofs-interest-payments-out,1560000
AG,2013,in,official,oofs-in,15860000
AG,2013,out,official,oda-interest-payments-out,480000
AG,2013,in,commercial,fdi-in,143799955.2
AG,2013,in,private,remittances-in,21608197.42
AG,2012,out,illicit,trade-mispricing-out,na
AG,2013,out,private,remittances-out,2310325.432
AG,2012,in,official,dfis-in,5205216
AG,2012,out,illicit,illicit-financing-out,0
AG,2013,in,commercial,long-debt-disbursement-commercial-in,na
AG,2013,in,commercial,short-debt-net-flow-in,na
AG,2013,out,commercial,long-debt-capital-payments-out,na
AG,2013,out,commercial,long-debt-interest-payments-out,na
AG,2013,out,commercial,short-debt-interest-out,na
AI,2011,in,private,pda-in,na
AI,2013,in,official,ssc-in,na
AI,2013,in,official,oda-in,7650000
AI,2013,in,commercial,fdi-in-profits-out,na
AI,2013,out,commercial,fdi-out,na
AI,2013,out,official,oda-capital-payments-out,270000
AI,2013,out,official,oofs-capital-payments-out,1570000
AI,2013,in,commercial,net-portfolio-equity-in,na
AI,2013,out,official,oofs-interest-payments-out,2440000
AI,2013,in,official,oofs-in,100000
AI,2013,out,official,oda-interest-payments-out,120000
AI,2013,in,commercial,fdi-in,na
AI,2013,in,private,remittances-in,na
