id,year,value
d18974,2009,85.6 
d18975,2009,91.8 
d18987,2009,85.6 
d18988,2009,90.9 
d18976,2009,89.8 
d18955,2009,90.0 
d18965,2009,62.4 
d18968,2009,96.2 
d18956,2009,93.6 
d18991,2009,91.3 
d18989,2009,87.9 
d18977,2009,94.4 
d18943,2009,92.3 
d18949,2009,90.1 
d18944,2009,94.2 
d18969,2009,89.2 
d18970,2009,94.4 
d18957,2009,90.2 
d18950,2009,91.1 
d18978,2009,89.6 
d18951,2009,90.8 
d18958,2009,92.5 
d18959,2009,89.2 
d18966,2009,55.4 
d18960,2009,74.9 
d18961,2009,92.1 
d18971,2009,93.6 
d18952,2009,91.5 
d18946,2009,90.8 
d18964,2009,94.3 
d18979,2009,92.6 
d18980,2009,88.5 
d18981,2009,90.2 
d18972,2009,91.0 
d18947,2009,92.9 
d18948,2009,94.7 
d18982,2009,84.3 
d18973,2009,92.9 
d18953,2009,92.1 
d18954,2009,85.9 
d18962,2009,90.3 
d18983,2009,85.9 
d18984,2009,75.4 
d18985,2009,95.4 
d18990,2009,89.6 
d18967,2009,59.4 
d18986,2009,79.1 
