id,year,value
d18974,2009,279081.0 
d18975,2009,359727
d18987,2009,671548.0 
d18988,2009,356122.0 
d18976,2009,183738.0 
d18955,2009,254303.0 
d18965,2009,334939.0 
d18968,2009,462454.0 
d18956,2009,73694.0 
d18991,2009,345146.0 
d18989,2009,800989.0 
d18977,2009,381980.0 
d18943,2009,802609.0 
d18949,2009,535526.0 
d18944,2009,260630.0 
d18969,2009,550464.0 
d18970,2009,474760.0 
d18957,2009,481282.0 
d18950,2009,315997.0 
d18978,2009,198625.0 
d18951,2009,53045.0 
d18958,2009,543139.0 
d18959,2009,430710.0 
d18966,2009,559943.0 
d18960,2009,151112.0 
d18961,2009,670656.0 
d18971,2009,444356.0 
d18952,2009,486924.0 
d18946,2009,457864.0 
d18964,2009,1605230.0 
d18979,2009,804582.0 
d18980,2009,376488.0 
d18981,2009,429026.0 
d18972,2009,287048.0 
d18947,2009,292155.0 
d18948,2009,339725.0 
d18982,2009,112007.0 
d18973,2009,398652.0 
d18953,2009,145334.0 
d18954,2009,119853.0 
d18962,2009,178451.0 
d18983,2009,407172.0 
d18984,2009,445069.0 
d18985,2009,448994.0 
d18990,2009,262716.0 
d18967,2009,363766.0 
d18986,2009,254827.0 
