id,year,value
d18974,2009,50.2 
d18975,2009,49.7 
d18987,2009,48.8 
d18988,2009,47.9 
d18976,2009,49.7 
d18955,2009,49.3 
d18965,2009,53.8 
d18968,2009,48.0 
d18956,2009,51.4 
d18991,2009,50.2 
d18989,2009,48.2 
d18977,2009,50.4 
d18943,2009,49.4 
d18949,2009,48.3 
d18944,2009,49.4 
d18969,2009,47.8 
d18970,2009,49.0 
d18957,2009,47.5 
d18950,2009,48.6 
d18978,2009,49.8 
d18951,2009,52.2 
d18958,2009,49.4 
d18959,2009,48.7 
d18966,2009,54.6 
d18960,2009,51.9 
d18961,2009,49.4 
d18971,2009,48.4 
d18952,2009,51.8 
d18946,2009,48.6 
d18964,2009,51.1 
d18979,2009,50.2 
d18980,2009,50.0 
d18981,2009,50.4 
d18972,2009,48.0 
d18947,2009,49.0 
d18948,2009,49.0 
d18982,2009,50.0 
d18973,2009,47.3 
d18953,2009,51.1 
d18954,2009,49.9 
d18962,2009,48.8 
d18983,2009,49.7 
d18984,2009,52.0 
d18985,2009,50.2 
d18990,2009,47.4 
d18967,2009,55.0 
d18986,2009,49.7 
