id,year,value,flow,
AF,2013,8,long-debt-disbursement-net-official-in,
AG,2013,4,fdi-in,
AI,2013,3,oofs-in,
AL,2013,4,fdi-in,
AM,2013,6,long-debt-disbursement-commercial-in,
AO,2013,6,long-debt-disbursement-commercial-in,
AR,2013,4,fdi-in,
AZ,2013,4,fdi-in,
BA,2013,8,long-debt-disbursement-net-official-in,
BB,2013,4,fdi-in,
BD,2013,8,long-debt-disbursement-net-official-in,
BF,2013,8,long-debt-disbursement-net-official-in,
BH,2013,4,fdi-in,
BI,2013,8,long-debt-disbursement-net-official-in,
BJ,2013,8,long-debt-disbursement-net-official-in,
BO,2013,4,fdi-in,
BR,2013,6,long-debt-disbursement-commercial-in,
BT,2013,8,long-debt-disbursement-net-official-in,
BW,2013,4,fdi-in,
BY,2013,6,long-debt-disbursement-commercial-in,
BZ,2013,4,fdi-in,
CD,2013,8,long-debt-disbursement-net-official-in,
CF,2013,8,long-debt-disbursement-net-official-in,
CG,2013,4,fdi-in,
CI,2013,8,long-debt-disbursement-net-official-in,
CK,2013,3,oofs-in,
CL,2013,4,fdi-in,
CM,2013,8,long-debt-disbursement-net-official-in,
CN,2013,4,fdi-in,
CO,2013,6,long-debt-disbursement-commercial-in,
CR,2013,6,long-debt-disbursement-commercial-in,
CU,2013,5,remittances-in,
CV,2013,8,long-debt-disbursement-net-official-in,
DJ,2013,4,fdi-in,
DM,2013,8,long-debt-disbursement-net-official-in,
DO,2013,8,long-debt-disbursement-net-official-in,
DZ,2013,8,long-debt-disbursement-net-official-in,
EC,2013,6,long-debt-disbursement-commercial-in,
EG,2013,8,long-debt-disbursement-net-official-in,
ER,2013,8,long-debt-disbursement-net-official-in,
ET,2013,8,long-debt-disbursement-net-official-in,
FJ,2013,4,fdi-in,
FM,2013,5,remittances-in,
GA,2013,6,long-debt-disbursement-commercial-in,
GD,2013,4,fdi-in,
GE,2013,8,long-debt-disbursement-net-official-in,
GH,2013,4,fdi-in,
GM,2013,8,long-debt-disbursement-net-official-in,
GN,2013,8,long-debt-disbursement-net-official-in,
GQ,2013,4,fdi-in,
GT,2013,8,long-debt-disbursement-net-official-in,
GW,2013,8,long-debt-disbursement-net-official-in,
GY,2013,7,short-debt-net-flow-in,
HN,2013,8,long-debt-disbursement-net-official-in,
HR,2013,4,fdi-in,
HT,2013,8,long-debt-disbursement-net-official-in,
ID,2013,6,long-debt-disbursement-commercial-in,
IN,2013,8,long-debt-disbursement-net-official-in,
IQ,2013,4,fdi-in,
IR,2013,4,fdi-in,
JM,2013,6,long-debt-disbursement-commercial-in,
JO,2013,8,long-debt-disbursement-net-official-in,
KE,2013,8,long-debt-disbursement-net-official-in,
KG,2013,8,long-debt-disbursement-net-official-in,
KH,2013,4,fdi-in,
KI,2013,4,fdi-in,
KM,2013,8,long-debt-disbursement-net-official-in,
KN,2013,4,fdi-in,
KP,2013,5,remittances-in,
KZ,2013,6,long-debt-disbursement-commercial-in,
LA,2013,6,long-debt-disbursement-commercial-in,
LB,2013,8,long-debt-disbursement-net-official-in,
LC,2013,4,fdi-in,
LK,2013,8,long-debt-disbursement-net-official-in,
LR,2013,4,fdi-in,
LS,2013,8,long-debt-disbursement-net-official-in,
LY,2013,4,fdi-in,
MA,2013,6,long-debt-disbursement-commercial-in,
MD,2013,8,long-debt-disbursement-net-official-in,
ME,2013,4,fdi-in,
MG,2013,4,fdi-in,
MH,2013,5,remittances-in,
MK,2013,6,long-debt-disbursement-commercial-in,
ML,2013,8,long-debt-disbursement-net-official-in,
MM,2013,8,long-debt-disbursement-net-official-in,
MN,2013,6,long-debt-disbursement-commercial-in,
MR,2013,4,fdi-in,
MS,2013,3,oofs-in,
MT,2013,4,fdi-in,
MU,2013,6,long-debt-disbursement-commercial-in,
MV,2013,4,fdi-in,
MW,2013,8,long-debt-disbursement-net-official-in,
MX,2013,6,long-debt-disbursement-commercial-in,
MY,2013,6,long-debt-disbursement-commercial-in,
MZ,2013,4,fdi-in,
NA,2013,4,fdi-in,
NE,2013,8,long-debt-disbursement-net-official-in,
NG,2013,8,long-debt-disbursement-net-official-in,
NI,2013,8,long-debt-disbursement-net-official-in,
NP,2013,8,long-debt-disbursement-net-official-in,
NR,2013,3,oofs-in,
NU,2013,1,oda-in,
OM,2013,4,fdi-in,
PA,2013,4,fdi-in,
