country,year,life-expectancy-at-birth
AW,2000,73.72060976
AD,2000,
AF,2000,54.84856098
AO,2000,45.20478049
AL,2000,74.27207317
AE,2000,74.40568293
AR,2000,73.74565854
AM,2000,71.27653659
AS,2000,
AG,2000,73.39729268
AU,2000,79.23414634
AT,2000,78.02682927
AZ,2000,66.7582439
BI,2000,48.20802439
BE,2000,77.72195122
BJ,2000,55.1882439
BF,2000,50.4827561
BD,2000,65.31973171
BG,2000,71.66341463
BH,2000,74.5892439
BS,2000,72.25429268
BA,2000,74.66917073
BY,2000,68.91219512
BZ,2000,70.53904878
BM,2000,77.88536585
BO,2000,62.95460976
BR,2000,70.25739024
BB,2000,73.0194878
BN,2000,76.03095122
BT,2000,60.29080488
BW,2000,50.48963415
CF,2000,43.69231707
CA,2000,79.23658537
CH,2000,79.6804878
CL,2000,76.75856098
CN,2000,72.14073171
CI,2000,46.45390244
CM,2000,51.93587805
CG,2000,52.30192683
CO,2000,70.98721951
KM,2000,57.87943902
CV,2000,69.5912439
CR,2000,77.7344878
CU,2000,76.66895122
CW,2000,
KY,2000,
CY,2000,77.97165854
CZ,2000,74.96829268
DE,2000,77.92682927
DJ,2000,57.01034146
DM,2000,
DK,2000,76.59268293
DO,2000,70.63273171
DZ,2000,68.93019512
EC,2000,73.35685366
EG,2000,68.5912439
ER,2000,56.02653659
ES,2000,78.96585366
EE,2000,70.41707317
ET,2000,52.24114634
FI,2000,77.46585366
FJ,2000,67.60585366
FR,2000,79.05609756
FO,2000,78.83414634
FM,2000,67.2752439
GA,2000,59.68802439
GB,2000,77.74146341
GE,2000,71.63034146
GH,2000,56.98758537
GN,2000,51.24992683
GM,2000,55.17121951
GW,2000,51.44692683
GQ,2000,47.76370732
GR,2000,77.88780488
GD,2000,70.25312195
GL,2000,66.96341463
GT,2000,67.74121951
GU,2000,75.09802439
GY,2000,63.4847561
HK,2000,80.87804878
HN,2000,70.48414634
HR,2000,72.80780488
HT,2000,57.42278049
HU,2000,71.24634146
ID,2000,67.25121951
IN,2000,62.16185366
IE,2000,76.53658537
IR,2000,69.60770732
IQ,2000,70.82992683
IS,2000,79.65365854
IL,2000,78.95365854
IT,2000,79.77804878
JM,2000,70.47129268
JO,2000,71.7797561
JP,2000,81.07609756
KZ,2000,65.51707317
KE,2000,52.84012195
KG,2000,68.55853659
KH,2000,61.88726829
KI,2000,64.60646341
KN,2000,
KR,2000,75.83536585
XK,2000,67.95121951
KW,2000,73.35521951
LA,2000,61.64446341
LB,2000,74.39082927
LR,2000,52.40912195
LY,2000,71.96621951
LC,2000,71.42353659
LI,2000,76.82682927
LK,2000,71.15712195
LS,2000,47.18297561
LT,2000,72.0195122
LU,2000,77.87317073
LV,2000,70.31463415
MO,2000,77.62282927
MF,2000,76.97073171
MA,2000,68.13858537
MC,2000,
MD,2000,66.898
MG,2000,58.47280488
MV,2000,69.46160976
MX,2000,74.26526829
MH,2000,65.23902439
MK,2000,73.24219512
ML,2000,49.0554878
MT,2000,78.2
MM,2000,62.02421951
ME,2000,74.02136585
MN,2000,62.92370732
MP,2000,
MZ,2000,47.42541463
MR,2000,59.67292683
MU,2000,71.66341463
MW,2000,46.03421951
MY,2000,72.85141463
NA,2000,55.12070732
NC,2000,74.9195122
NE,2000,50.70590244
NG,2000,46.624
NI,2000,69.64658537
NL,2000,77.98780488
NO,2000,78.63414634
NP,2000,62.04270732
NZ,2000,78.63658537
OM,2000,72.35658537
PK,2000,63.88597561
PA,2000,75.11663415
PE,2000,70.50543902
PH,2000,66.79665854
PW,2000,70.49365854
PG,2000,58.79929268
PL,2000,73.74878049
PR,2000,76.68926829
KP,2000,64.98256098
PT,2000,76.31463415
PY,2000,70.07670732
PF,2000,72.45
QA,2000,76.82014634
RO,2000,71.16341463
RU,2000,65.34146341
RW,2000,47.64265854
SA,2000,72.6147561
SD,2000,57.978
SN,2000,57.77426829
SG,2000,78.05121951
SB,2000,62.83673171
SL,2000,38.11160976
SV,2000,69.55878049
SM,2000,80.6195122
SO,2000,50.87826829
RS,2000,72.13658537
SS,2000,49.2344878
ST,2000,63.29253659
SR,2000,67.92917073
SK,2000,73.05121951
SI,2000,75.41219512
SE,2000,79.64390244
SZ,2000,48.66407317
SX,2000,
SC,2000,
SY,2000,73.33029268
TC,2000,
TD,2000,46.68717073
TG,2000,53.54534146
TH,2000,70.91658537
TJ,2000,63.77173171
TM,2000,63.89929268
TL,2000,59.48141463
TO,2000,70.76043902
TT,2000,68.59795122
TN,2000,72.6
TR,2000,69.99836585
TV,2000,
TZ,2000,49.9715122
UG,2000,48.10936585
UA,2000,67.86341463
UY,2000,74.66009756
US,2000,76.63658537
UZ,2000,66.94078049
VC,2000,70.58312195
VE,2000,72.44414634
VI,2000,76.6195122
VN,2000,73.63112195
VU,2000,67.555
PS,2000,70.90746341
WS,2000,69.48731707
YE,2000,60.45785366
ZA,2000,55.83687805
CD,2000,46.35573171
ZM,2000,41.78312195
ZW,2000,43.922
AW,2001,73.78290244
AD,2001,
AF,2001,55.25621951
AO,2001,45.97314634
AL,2001,74.73421951
AE,2001,74.64946341
AR,2001,73.95368293
AM,2001,71.75565854
AS,2001,
AG,2001,73.60607317
AU,2001,79.63414634
AT,2001,78.52682927
AZ,2001,67.15029268
BI,2001,48.49492683
BE,2001,77.97317073
BJ,2001,55.4664878
BF,2001,50.85807317
BD,2001,65.79034146
BG,2001,71.76829268
BH,2001,74.77670732
BS,2001,72.54509756
BA,2001,74.92109756
BY,2001,68.50731707
BZ,2001,70.82443902
BM,2001,77.88536585
BO,2001,63.31553659
BR,2001,70.56965854
BB,2001,73.21287805
BN,2001,76.23880488
BT,2001,61.0447561
BW,2001,49.41117073
CF,2001,43.78739024
CA,2001,79.48780488
CH,2001,80.1804878
CL,2001,77.13104878
CN,2001,72.61978049
CI,2001,46.27312195
CM,2001,51.75719512
CG,2001,52.4412439
CO,2001,71.25790244
KM,2001,58.11380488
CV,2001,70.04778049
CR,2001,77.89580488
CU,2001,76.87180488
CW,2001,
KY,2001,
CY,2001,78.10197561
CZ,2001,75.17317073
DE,2001,78.32926829
DJ,2001,57.0882439
DM,2001,
DK,2001,76.79268293
DO,2001,70.83743902
DZ,2001,69.12043902
EC,2001,73.69739024
EG,2001,68.78643902
ER,2001,56.58985366
ES,2001,79.36829268
EE,2001,70.25853659
ET,2001,52.94695122
FI,2001,77.96585366
FJ,2001,67.788
FR,2001,79.15853659
FO,2001,78.98780488
FM,2001,67.38426829
GA,2001,59.49631707
GB,2001,77.99268293
GE,2001,71.92978049
GH,2001,57.14760976
GN,2001,51.27629268
GM,2001,55.4977561
GW,2001,51.6097561
GQ,2001,47.83773171
GR,2001,78.38780488
GD,2001,70.47446341
GL,2001,67.60780488
GT,2001,68.2204878
GU,2001,75.4527561
GY,2001,63.64104878
HK,2001,81.42439024
HN,2001,70.69707317
HR,2001,74.51292683
HT,2001,57.69521951
HU,2001,72.24878049
ID,2001,67.58573171
IN,2001,62.55663415
IE,2001,77.13414634
IR,2001,70.0042439
IQ,2001,70.66741463
IS,2001,80.6902439
IL,2001,79.40731707
IT,2001,80.02682927
JM,2001,70.60460976
JO,2001,71.95636585
JP,2001,81.41707317
KZ,2001,65.76829268
KE,2001,52.77714634
KG,2001,68.70731707
KH,2001,62.87502439
KI,2001,64.9567561
KN,2001,
KR,2001,76.34195122
XK,2001,67.99756098
KW,2001,73.43380488
LA,2001,62.27
LB,2001,74.89492683
LR,2001,52.53346341
LY,2001,72.30119512
LC,2001,71.64426829
LI,2001,79.27560976
LK,2001,71.90095122
LS,2001,45.67168293
LT,2001,71.65853659
LU,2001,77.82439024
LV,2001,70.76097561
MO,2001,77.83465854
MF,2001,77.17073171
MA,2001,68.33070732
MC,2001,
MD,2001,67.101
MG,2001,59.11360976
MV,2001,70.51185366
MX,2001,74.51097561
MH,2001,
MK,2001,73.4557561
ML,2001,49.52429268
MT,2001,78.84390244
MM,2001,62.32960976
ME,2001,73.77463415
MN,2001,63.40260976
MP,2001,
MZ,2001,47.52629268
MR,2001,59.77009756
MU,2001,71.76585366
MW,2001,46.28092683
MY,2001,73.03136585
NA,2001,54.40468293
NC,2001,74.83170732
NE,2001,51.40729268
NG,2001,46.88117073
NI,2001,70.11992683
NL,2001,78.1902439
NO,2001,78.78536585
NP,2001,62.62360976
NZ,2001,78.69268293
OM,2001,72.79021951
PK,2001,64.16092683
PA,2001,75.30390244
PE,2001,70.95239024
PH,2001,66.94129268
PW,2001,
PG,2001,59.1387561
PL,2001,74.2
PR,2001,77.06682927
KP,2001,65.80365854
PT,2001,76.81463415
PY,2001,70.34690244
PF,2001,72.80068293
QA,2001,76.95082927
RO,2001,71.16097561
RU,2001,65.48780488
RW,2001,49.13078049
SA,2001,72.89734146
SD,2001,58.3332439
SN,2001,58.17041463
SG,2001,78.35121951
SB,2001,63.46560976
SL,2001,38.84646341
SV,2001,69.75082927
SM,2001,80.97317073
SO,2001,51.22280488
RS,2001,72.18536585
SS,2001,49.61987805
ST,2001,63.47797561
SR,2001,68.01197561
SK,2001,73.40243902
SI,2001,75.75853659
SE,2001,79.79512195
SZ,2001,47.43409756
SX,2001,
SC,2001,
SY,2001,73.61158537
TC,2001,
TD,2001,46.78702439
TG,2001,53.58819512
TH,2001,71.10707317
TJ,2001,64.12878049
TM,2001,64.02609756
TL,2001,60.34619512
TO,2001,70.89858537
TT,2001,68.654
TN,2001,72.84878049
TR,2001,70.55185366
TV,2001,
TZ,2001,50.49678049
UG,2001,48.97280488
UA,2001,68.28707317
UY,2001,74.87260976
US,2001,76.73658537
UZ,2001,67.02926829
VC,2001,70.63434146
VE,2001,72.57707317
VI,2001,77.87317073
VN,2001,73.87970732
VU,2001,67.93470732
PS,2001,71.09034146
WS,2001,69.81660976
YE,2001,60.68368293
ZA,2001,54.57080488
CD,2001,46.67804878
ZM,2001,42.50656098
ZW,2001,43.25307317
AW,2002,73.8652439
AD,2002,
AF,2002,55.67187805
AO,2002,46.71173171
AL,2002,75.15795122
AE,2002,74.88921951
AR,2002,74.15878049
AM,2002,72.2022439
AS,2002,
AG,2002,73.81339024
AU,2002,79.93658537
AT,2002,78.67804878
AZ,2002,67.56107317
BI,2002,48.80356098
BE,2002,78.07560976
BJ,2002,55.81431707
BF,2002,51.2727561
BD,2002,66.23990244
BG,2002,71.86585366
BH,2002,74.96021951
BS,2002,72.84126829
BA,2002,74.98714634
BY,2002,68.05609756
BZ,2002,71.13695122
BM,2002,78.08780488
BO,2002,63.67160976
BR,2002,70.86956098
BB,2002,73.4017561
BN,2002,76.44263415
BT,2002,61.80019512
BW,2002,48.49968293
CF,2002,43.96358537
CA,2002,79.5902439
CH,2002,80.38536585
CL,2002,77.4615122
CN,2002,73.06960976
CI,2002,46.28358537
CM,2002,51.65526829
CG,2002,52.69217073
CO,2002,71.51729268
KM,2002,58.34870732
CV,2002,70.50814634
CR,2002,78.04409756
CU,2002,77.07190244
CW,2002,
KY,2002,
CY,2002,78.22926829
CZ,2002,75.22195122
DE,2002,78.22926829
DJ,2002,57.22056098
DM,2002,76.59756098
DK,2002,76.89512195
DO,2002,71.04831707
DZ,2002,69.30526829
EC,2002,73.99058537
EG,2002,68.95168293
ER,2002,57.119
ES,2002,79.56829268
EE,2002,70.90487805
ET,2002,53.73487805
FI,2002,78.1195122
FJ,2002,67.96709756
FR,2002,79.26097561
FO,2002,79.14146341
FM,2002,67.50373171
GA,2002,59.42292683
GB,2002,78.14390244
GE,2002,72.21207317
GH,2002,57.42192683
GN,2002,51.44063415
GM,2002,55.82129268
GW,2002,51.7815122
GQ,2002,47.9765122
GR,2002,78.64146341
GD,2002,70.70580488
GL,2002,68.16268293
GT,2002,68.64585366
GU,2002,75.79865854
GY,2002,63.82421951
HK,2002,81.47804878
HN,2002,70.8905122
HR,2002,74.71731707
HT,2002,58.01126829
HU,2002,72.34878049
ID,2002,67.91426829
IN,2002,62.94934146
IE,2002,77.63414634
IR,2002,70.40119512
IQ,2002,70.43104878
IS,2002,80.50243902
IL,2002,79.45121951
IT,2002,80.22926829
JM,2002,70.77573171
JO,2002,72.1324878
JP,2002,81.56341463
KZ,2002,65.96829268
KE,2002,52.95246341
KG,2002,68.10731707
KH,2002,63.90914634
KI,2002,65.293
KN,2002,71.33658537
KR,2002,76.83902439
XK,2002,67.94390244
KW,2002,73.51092683
LA,2002,62.86602439
LB,2002,75.4212439
LR,2002,52.81080488
LY,2002,72.634
LC,2002,71.92829268
LI,2002,79.63658537
LK,2002,72.57368293
LS,2002,44.5434878
LT,2002,71.76097561
LU,2002,77.96585366
LV,2002,70.96097561
MO,2002,78.04197561
MF,2002,77.37073171
MA,2002,68.51539024
MC,2002,
MD,2002,67.31573171
MG,2002,59.69917073
MV,2002,71.52341463
MX,2002,74.75058537
MH,2002,
MK,2002,73.64734146
ML,2002,50.02390244
MT,2002,78.73902439
MM,2002,62.62995122
ME,2002,73.58860976
MN,2002,63.89595122
MP,2002,
MZ,2002,47.59285366
MR,2002,59.87439024
MU,2002,71.96585366
MW,2002,46.7112439
MY,2002,73.20419512
NA,2002,54.10509756
NC,2002,75.10243902
NE,2002,52.10187805
NG,2002,47.21973171
NI,2002,70.58885366
NL,2002,78.29268293
NO,2002,78.98780488
NP,2002,63.18302439
NZ,2002,78.84634146
OM,2002,73.21331707
PK,2002,64.43039024
PA,2002,75.48621951
PE,2002,71.36692683
PH,2002,67.08192683
PW,2002,
PG,2002,59.50139024
PL,2002,74.49756098
PR,2002,77.7604878
KP,2002,66.64829268
PT,2002,77.06585366
PY,2002,70.61504878
PF,2002,73.15263415
QA,2002,77.07697561
RO,2002,71.0097561
RU,2002,65.08536585
RW,2002,50.43785366
SA,2002,73.17085366
SD,2002,58.71280488
SN,2002,58.67685366
SG,2002,78.69512195
SB,2002,64.06236585
SL,2002,39.64663415
SV,2002,69.95195122
SM,2002,81.1195122
SO,2002,51.50185366
RS,2002,72.28536585
SS,2002,49.98531707
ST,2002,63.70185366
SR,2002,68.14397561
SK,2002,73.60487805
SI,2002,76.00731707
SE,2002,79.84634146
SZ,2002,46.52331707
SX,2002,
SC,2002,72.95365854
SY,2002,73.90002439
TC,2002,
TD,2002,46.92970732
TG,2002,53.68873171
TH,2002,71.35229268
TJ,2002,64.50636585
TM,2002,64.13760976
TL,2002,61.12053659
TO,2002,71.03668293
TT,2002,68.72304878
TN,2002,73
TR,2002,71.07309756
TV,2002,
TZ,2002,51.1594878
UG,2002,49.9127561
UA,2002,68.27560976
UY,2002,75.08612195
US,2002,76.83658537
UZ,2002,67.10836585
VC,2002,70.72870732
VE,2002,72.72502439
VI,2002,78.02439024
VN,2002,74.1022439
VU,2002,68.29995122
PS,2002,71.26068293
WS,2002,70.12841463
YE,2002,60.904
ZA,2002,53.44119512
CD,2002,47.01914634
ZM,2002,43.42692683
ZW,2002,42.90573171
AW,2003,73.96856098
AD,2003,
AF,2003,56.10756098
AO,2003,47.39317073
AL,2003,75.52936585
AE,2003,75.1244878
AR,2003,74.35995122
AM,2003,72.61097561
AS,2003,
AG,2003,74.01921951
AU,2003,80.23902439
AT,2003,78.63170732
AZ,2003,68.00368293
BI,2003,49.15695122
BE,2003,78.12926829
BJ,2003,56.20807317
BF,2003,51.71756098
BD,2003,66.67092683
BG,2003,72.06585366
BH,2003,75.1407561
BS,2003,73.12729268
BA,2003,75.0104878
BY,2003,68.55365854
BZ,2003,71.45339024
BM,2003,78.33414634
BO,2003,64.02026829
BR,2003,71.15960976
BB,2003,73.58765854
BN,2003,76.6424878
BT,2003,62.55412195
BW,2003,47.7454878
CF,2003,44.22390244
CA,2003,79.83902439
CH,2003,80.53658537
CL,2003,77.73792683
CN,2003,73.46509756
CI,2003,46.46295122
CM,2003,51.63904878
CG,2003,53.04880488
CO,2003,71.771
KM,2003,58.58314634
CV,2003,70.96826829
CR,2003,78.18239024
CU,2003,77.27768293
CW,2003,
KY,2003,
CY,2003,78.35304878
CZ,2003,75.17073171
DE,2003,78.3804878
