country-id,year,long-debt-usd-2012,,,,,,,,
 AF ,2000,,,,,,,,,
 AF ,2001,,,,,,,,,
 AF ,2002,,,,,,,,,
 AF ,2003,,,,,,,,,
 AF ,2004,,,,,,,,,
 AF ,2005,,,,,,,,,
 AF ,2006,229756099,,,,,,,,
 AF ,2007,,,,,,,,,
 AF ,2008,,,,,,,,,
 AF ,2009,,,,,,,,,
 AF ,2010,,,,,,,,,
 AF ,2011,,,,,,,,,
 AF ,2012,,,,,,,,,
 AL ,2000,224380990,,,,,,,,
 AL ,2001,177760820,,,,,,,,
 AL ,2002,265871134,,,,,,,,
 AL ,2003,5261518,,,,,,,,
 AL ,2004,37557988,,,,,,,,
 AL ,2005,411366033,,,,,,,,
 AL ,2006,13610632,,,,,,,,
 AL ,2007,121877844,,,,,,,,
 AL ,2008,556337204,,,,,,,,
 AL ,2009,187622853,,,,,,,,
 AL ,2010,634807683,,,,,,,,
 AL ,2011,457829299,,,,,,,,
 AL ,2012,235256000,,,,,,,,
 AM ,2000,1198506,,,,,,,,
 AM ,2001,207895,,,,,,,,
 AM ,2002,5735969,,,,,,,,
 AM ,2003,32718763,,,,,,,,
 AM ,2004,79302140,,,,,,,,
 AM ,2005,175842113,,,,,,,,
 AM ,2006,107216367,,,,,,,,
 AM ,2007,558697859,,,,,,,,
 AM ,2008,530475461,,,,,,,,
 AM ,2009,1251747335,,,,,,,,
 AM ,2010,1471425762,,,,,,,,
 AM ,2011,1176562815,,,,,,,,
 AM ,2012,1356049000,,,,,,,,
 AO ,2000,4337321772,,,,,,,,
 AO ,2001,4739698846,,,,,,,,
 AO ,2002,4680130632,,,,,,,,
 AO ,2003,6396717164,,,,,,,,
 AO ,2004,5483796661,,,,,,,,
 AO ,2005,7699498712,,,,,,,,
 AO ,2006,2088913024,,,,,,,,
 AO ,2007,8177635552,,,,,,,,
 AO ,2008,5469913087,,,,,,,,
 AO ,2009,4788530523,,,,,,,,
 AO ,2010,5054463576,,,,,,,,
 AO ,2011,5047721298,,,,,,,,
 AO ,2012,4214820818,,,,,,,,
 AR ,2000,16576599437,,,,,,,,
 AR ,2001,226661048,,,,,,,,
 AR ,2002,4119670297,,,,,,,,
 AR ,2003,2165953150,,,,,,,,
 AR ,2004,6262899214,,,,,,,,
 AR ,2005,6367445160,,,,,,,,
 AR ,2006,11268318743,,,,,,,,
 AR ,2007,13414242174,,,,,,,,
 AR ,2008,8438998345,,,,,,,,
 AR ,2009,9685873087,,,,,,,,
 AR ,2010,5171518253,,,,,,,,
 AR ,2011,11301406451,,,,,,,,
 AR ,2012,7666960026,,,,,,,,
 AZ ,2000,903519134,,,,,,,,
 AZ ,2001,25409111,,,,,,,,
 AZ ,2002,5985659,,,,,,,,
 AZ ,2003,165964866,,,,,,,,
 AZ ,2004,669433021,,,,,,,,
 AZ ,2005,854511310,,,,,,,,
 AZ ,2006,941198375,,,,,,,,
 AZ ,2007,410155303,,,,,,,,
 AZ ,2008,578065543,,,,,,,,
 AZ ,2009,634039098,,,,,,,,
 AZ ,2010,2659270151,,,,,,,,
 AZ ,2011,2239714801,,,,,,,,
 AZ ,2012,2400884039,,,,,,,,
 BA ,2000,219092322,,,,,,,,
 BA ,2001,301518434,,,,,,,,
 BA ,2002,335657655,,,,,,,,
 BA ,2003,676405347,,,,,,,,
 BA ,2004,1165066500,,,,,,,,
 BA ,2005,720921155,,,,,,,,
 BA ,2006,937194300,,,,,,,,
 BA ,2007,1092203329,,,,,,,,
 BA ,2008,435155359,,,,,,,,
 BA ,2009,383663234,,,,,,,,
 BA ,2010,513381820,,,,,,,,
 BA ,2011,458399747,,,,,,,,
 BA ,2012,526358699,,,,,,,,
 BD ,2000,87135047,,,,,,,,
 BD ,2001,87351566,,,,,,,,
 BD ,2002,897768350,,,,,,,,
 BD ,2003,12749569,,,,,,,,
 BD ,2004,18324433,,,,,,,,
 BD ,2005,,,,,,,,,
 BD ,2006,1397958542,,,,,,,,
 BD ,2007,,,,,,,,,
 BD ,2008,1980851958,,,,,,,,
 BD ,2009,,,,,,,,,
 BD ,2010,,,,,,,,,
 BD ,2011,,,,,,,,,
 BD ,2012,2091175979,,,,,,,,
 BF ,2000,187975726,,,,,,,,
 BF ,2001,286975447,,,,,,,,
 BF ,2002,,,,,,,,,
 BF ,2003,,,,,,,,,
 BF ,2004,351906804,,,,,,,,
 BF ,2005,,,,,,,,,
 BF ,2006,383008488,,,,,,,,
 BF ,2007,278708652,,,,,,,,
 BF ,2008,,,,,,,,,
 BF ,2009,,,,,,,,,
 BF ,2010,291299398,,,,,,,,
 BF ,2011,,,,,,,,,
 BF ,2012,,,,,,,,,
 BG ,2000,1864758895,,,,,,,,
 BG ,2001,1780384612,,,,,,,,
 BG ,2002,1997577124,,,,,,,,
 BG ,2003,1671977939,,,,,,,,
 BG ,2004,4849351552,,,,,,,,
 BG ,2005,5616606764,,,,,,,,
 BG ,2006,5080096052,,,,,,,,
 BG ,2007,9125056459,,,,,,,,
 BG ,2008,15741348744,,,,,,,,
 BG ,2009,8402097640,,,,,,,,
 BG ,2010,1570163521,,,,,,,,
 BG ,2011,10290492136,,,,,,,,
 BG ,2012,5986629000,,,,,,,,
 BI ,2000,5632654,,,,,,,,
 BI ,2001,3679056,,,,,,,,
 BI ,2002,86861634,,,,,,,,
 BI ,2003,130862138,,,,,,,,
 BI ,2004,,,,,,,,,
 BI ,2005,,,,,,,,,
 BI ,2006,3768276,,,,,,,,
 BI ,2007,,,,,,,,,
 BI ,2008,,,,,,,,,
 BI ,2009,,,,,,,,,
 BI ,2010,,,,,,,,,
 BI ,2011,,,,,,,,,
 BI ,2012,60168963,,,,,,,,
 BJ ,2000,,,,,,,,,
 BJ ,2001,241921576,,,,,,,,
 BJ ,2002,117760332,,,,,,,,
 BJ ,2003,94438727,,,,,,,,
 BJ ,2004,122226004,,,,,,,,
 BJ ,2005,128393571,,,,,,,,
 BJ ,2006,195668171,,,,,,,,
 BJ ,2007,180299276,,,,,,,,
 BJ ,2008,,,,,,,,,
 BJ ,2009,145631257,,,,,,,,
 BJ ,2010,193973249,,,,,,,,
 BJ ,2011,113531906,,,,,,,,
 BJ ,2012,116438905,,,,,,,,
 BO ,2000,968859089,,,,,,,,
 BO ,2001,1151998093,,,,,,,,
