id-to,year,debt-flow,destination-institution-type,creditor-type,creditor-institution,financing-type,id-from,value
AF,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,0
AF,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
AF,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,3479895.397
AF,2013,DIS,PPG,Official,Multilateral,Concessional,Other,28740063.45
AF,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,0
AF,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,0
AF,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,0
AF,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,0
AF,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,0
AF,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,0
AF,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
AF,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,0
AF,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
AF,2013,INT,PPG,Official,Multilateral,Concessional,IDA,1976602.099
AF,2013,INT,PPG,Official,Multilateral,Concessional,Other,4759980.566
AF,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,0
AF,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,0
AF,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,0
AF,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,0
AF,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,0
AF,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,0
AF,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
AF,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,0
AF,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,0
AF,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,2114650.5
