id,year,value,
AF,2015, 5.9 ,NA
AL,2015, 3.5 ,NA
DZ,2015, 3.2 ,NA
AO,2015, 1.8 ,NA
AG,2015, 5.7 ,NA
AR,2015, 3.9 ,NA
AM,2015, 4.0 ,NA
AU,2015, 4.4 ,NA
AT,2015, 2.5 ,NA
AZ,2015, 4.0 ,NA
BS,2015, 3.4 ,NA
BH,2015, 0.2 ,NA
BD,2015, 9.1 ,NA
BB,2015, 3.0 ,NA
BY,2015, 1.5 ,NA
BE,2015, 1.6 ,NA
BZ,2015, 4.4 ,NA
BJ,2015, 3.9 ,NA
BT,2015, 4.7 ,NA
BO,2015, 3.8 ,NA
BA,2015, 3.5 ,NA
BW,2015, 2.5 ,NA
BR,2015, 4.1 ,NA
BN,2015, 0.2 ,NA
BG,2015, 3.2 ,NA
BF,2015, 2.4 ,NA
BI,2015, 2.7 ,NA
CV,2015, 2.0 ,NA
KH,2015, 5.0 ,NA
CM,2015, 2.6 ,NA
CA,2015, 6.1 ,NA
CF,2015, 1.1 ,NA
TD,2015, 3.0 ,NA
CL,2015, 7.2 ,NA
CN,2015, 7.9 ,NA
CO,2015, 5.8 ,NA
KM,2015, 1.9 ,NA
CG,2015, 1.3 ,NA
CD,2015, 3.2 ,NA
CR,2015, 4.9 ,NA
CI,2015, 1.5 ,NA
HR,2015, 3.2 ,NA
CU,2015, 4.9 ,NA
CY,2015, 2.5 ,NA
CZ,2015, 2.0 ,NA
DK,2015, 0.7 ,NA
DJ,2015, 4.6 ,NA
DM,2015, 2.2 ,NA
DO,2015, 7.1 ,NA
EC,2015, 7.0 ,NA
EG,2015, 5.7 ,NA
SV,2015, 5.9 ,NA
GQ,2015, 1.0 ,NA
ER,2015, 2.8 ,NA
EE,2015, 0.6 ,NA
ET,2015, 4.2 ,NA
FJ,2015, 6.8 ,NA
FI,2015,-0.0 ,NA
FR,2015, 3.1 ,NA
GA,2015, 1.4 ,NA
GM,2015, 1.5 ,NA
GE,2015, 4.2 ,NA
DE,2015, 2.8 ,NA
GH,2015, 1.5 ,NA
GR,2015, 4.3 ,NA
GD,2015, 3.4 ,NA
GT,2015, 6.8 ,NA
GN,2015, 1.2 ,NA
GW,2015, 1.1 ,NA
GY,2015, 2.6 ,NA
HT,2015, 6.1 ,NA
HN,2015, 5.3 ,NA
HU,2015, 2.9 ,NA
IS,2015, 1.4 ,NA
IN,2015, 8.2 ,NA
ID,2015, 7.5 ,NA
IR,2015, 7.0 ,NA
IQ,2015, 3.5 ,NA
IE,2015, 1.9 ,NA
IL,2015, 3.1 ,NA
IT,2015, 3.4 ,NA
JM,2015, 5.1 ,NA
JP,2015, 8.4 ,NA
JO,2015, 3.0 ,NA
KZ,2015, 3.6 ,NA
KE,2015, 4.2 ,NA
KI,2015, 1.5 ,NA
KP,2015, 3.4 ,NA
KR,2015, 4.2 ,NA
KW,2015, 1.9 ,NA
KG,2015, 5.4 ,NA
LA,2015, 4.7 ,NA
LV,2015, 1.0 ,NA
LB,2015, 4.7 ,NA
LS,2015, 2.0 ,NA
LR,2015, 0.9 ,NA
LY,2015, 4.5 ,NA
LI,2015, 1.9 ,NA
LT,2015, 1.4 ,NA
LU,2015, 0.7 ,NA
MK,2015, 2.8 ,NA
MG,2015, 5.6 ,NA
MW,2015, 3.3 ,NA
MY,2015, 3.4 ,NA
MV,2015, 0.3 ,NA
ML,2015, 2.8 ,NA
MT,2015,-0.0 ,NA
MH,2015, 0.6 ,NA
MR,2015, 3.9 ,NA
MU,2015, 5.7 ,NA
MX,2015, 7.5 ,NA
FM,2015, 1.4 ,NA
MD,2015, 3.8 ,NA
MN,2015, 2.8 ,NA
ME,2015, 2.4 ,NA
MA,2015, 2.9 ,NA
MZ,2015, 5.6 ,NA
MM,2015, 9.1 ,NA
NA,2015, 2.7 ,NA
NR,2015, 1.1 ,NA
NP,2015, 6.8 ,NA
NL,2015, 2.0 ,NA
NZ,2015, 6.9 ,NA
NI,2015, 5.3 ,NA
NE,2015, 3.1 ,NA
NG,2015, 2.4 ,NA
NO,2015, 0.2 ,NA
OM,2015, 3.4 ,NA
PK,2015, 7.1 ,NA
PW,2015, 2.3 ,NA
PS,2015, 2.4 ,NA
PA,2015, 3.2 ,NA
PG,2015, 3.7 ,NA
PY,2015, 2.8 ,NA
PE,2015, 7.7 ,NA
PH,2015, 9.3 ,NA
PL,2015, 2.3 ,NA
PT,2015, 2.9 ,NA
QA,2015, 1.0 ,NA
RO,2015, 4.8 ,NA
RU,2015, 4.7 ,NA
