Code,year,value,budget-type
AF,2010,170.2588543,Actual
AF,2011,203.1188203,Actual
AF,2012,193.9772828,Actual
AF,2013,181.3214523,Actual
AF,2014,154.631385,Actual
AF,2015,171.6772057,Projected 
AG,2010,4535.622083,Actual
AG,2011,4147.563764,Actual
AG,2012,4445.182724,Actual
AG,2013,4201.975908,Actual
AG,2014,4643.2084,Projected 
AG,2015,5142.264369,Projected 
AL,2010,2511.268389,Actual
AL,2011,2553.761877,Actual
AL,2012,2556.654455,Actual
AL,2013,2525.861767,Actual
AL,2014,2865.405101,Projected 
AL,2015,3163.587015,Projected 
AM,2010,1218.098694,Actual
AM,2011,1253.172916,Actual
AM,2012,1469.133027,Actual
AM,2013,1626.767785,Projected 
AM,2014,1631.26039,Projected 
AM,2015,1613.262325,Projected 
AO,2010,3600.906162,Actual
AO,2011,3354.591474,Actual
AO,2012,3060.219871,Actual
AO,2013,2826.574957,Actual
AO,2014,2683.2352,Projected 
AO,2015,3473.215554,Projected 
AT,2010,21132.57618,Actual
AT,2011,21692.7269,Actual
AT,2012,21953.03476,Actual
AT,2013,22331.38443,Actual
AT,2014,22489.36124,Projected 
AT,2015,22629.6975,Projected 
AU,2010,13786.05192,Actual
AU,2011,13692.65345,Actual
AU,2012,14780.85127,Actual
AU,2013,15141.9008,Actual
AU,2014,15553.8499,Actual
AU,2015,16639.14871,Projected 
AZ,2010,8748.962646,Actual
AZ,2011,7330.628136,Actual
AZ,2012,6459.152488,Actual
AZ,2013,6659.83011,Projected 
AZ,2014,7407.70677,Projected 
AZ,2015,6423.313139,Projected 
BA,2010,4046.162574,Actual
BA,2011,4051.06531,Actual
BA,2012,4063.850983,Actual
BA,2013,4126.45941,Actual
BA,2014,4203.137158,Projected 
BA,2015,4356.480112,Projected 
BD,2010,275.7326233,Actual
BD,2011,292.477677,Actual
BD,2012,310.8305722,Actual
BD,2013,307.863815,Actual
BD,2014,313.9953745,Projected 
BD,2015,320.8707439,Projected 
BE,2010,20314.37496,Actual
BE,2011,20725.79837,Actual
BE,2012,21089.18812,Actual
BE,2013,21339.10745,Actual
BE,2014,21591.5074,Projected 
BE,2015,21759.82002,Projected 
BF,2010,242.2441235,Actual
BF,2011,245.7423729,Actual
BF,2012,273.2484888,Actual
BF,2013,306.6279124,Projected 
BF,2014,345.7622704,Projected 
BF,2015,359.4861511,Projected 
BI,2010,153.1210493,Actual
BI,2011,145.8213201,Actual
BI,2012,123.2716019,Actual
BI,2013,104.2896818,Actual
BI,2014,103.2796107,Actual
BI,2015,97.51784257,Projected 
BJ,2010,324.2620478,Actual
BJ,2011,307.0121625,Actual
BJ,2012,322.1650309,Actual
BJ,2013,344.4984254,Projected 
BJ,2014,357.4376735,Projected 
BJ,2015,377.5001425,Projected 
BO,2010,1989.33225,Actual
BO,2011,2010.402636,Actual
BO,2012,2073.55641,Actual
BO,2013,2138.628428,Projected 
BO,2014,2015.071424,Projected 
BO,2015,2257.034836,Projected 
BR,2010,5488.363565,Actual
BR,2011,5486.857597,Actual
BR,2012,5411.303776,Actual
BR,2013,5324.469437,Actual
BR,2014,4975.419651,Actual
BR,2015,,Projected 
BT,2010,2067.641113,Actual
BT,2011,1619.264321,Actual
BT,2012,1579.052887,Projected 
BT,2013,1365.679665,Projected 
BT,2014,1228.782967,Projected 
BT,2015,1055.975072,Projected 
BW,2010,4474.513871,Actual
BW,2011,4187.325436,Actual
BW,2012,4928.016505,Actual
BW,2013,4930.425243,Projected 
BW,2014,4576.792818,Projected 
BW,2015,4552.190152,Projected 
BY,2010,19801.14644,Actual
BY,2011,11612.53218,Actual
BY,2012,7244.844799,Actual
BY,2013,6338.258393,Actual
BY,2014,5112.342049,Actual
BY,2015,3988.613701,Projected 
BZ,2010,2052.991494,Actual
BZ,2011,2100.586078,Actual
BZ,2012,2053.252235,Actual
BZ,2013,1990.823444,Actual
BZ,2014,2044.203822,Actual
BZ,2015,2073.357647,Projected 
CA,2010,15994.93803,Actual
CA,2011,16002.06281,Actual
CA,2012,16175.6609,Actual
CA,2013,16289.67278,Actual
CA,2014,16347.95768,Actual
CA,2015,16888.1259,Projected 
CD,2010,78.52259154,Actual
CD,2011,77.05800485,Actual
CD,2012,91.31903662,Actual
CD,2013,76.04505673,Actual
CD,2014,86.46110442,Projected 
CD,2015,89.60520206,Projected 
CF,2010,107.328402,Actual
CF,2011,101.178067,Actual
CF,2012,109.062686,Actual
CF,2013,31.74533401,Actual
CF,2014,29.02061176,Projected 
CF,2015,39.41376919,Projected 
CG,2010,2355.351421,Actual
CG,2011,2450.845745,Actual
CG,2012,2570.938467,Actual
CG,2013,3140.061436,Actual
CG,2014,3553.16083,Projected 
CG,2015,5047.368366,Projected 
CH,2010,16520.2493,Actual
CH,2011,17257.95678,Actual
CH,2012,17380.38489,Actual
CH,2013,17830.76268,Projected 
CH,2014,18129.88417,Projected 
CH,2015,18587.00215,Projected 
CI,2010,491.3300148,Actual
CI,2011,368.1014417,Actual
CI,2012,503.0291934,Actual
CI,2013,533.8512772,Actual
CI,2014,538.668973,Projected 
CI,2015,592.9318093,Projected 
CL,2010,4218.809171,Actual
CL,2011,4622.187719,Actual
CL,2012,4785.350576,Actual
CL,2013,4618.557211,Actual
CL,2014,4463.211668,Projected 
CL,2015,4555.486821,Projected 
CM,2010,430.8766689,Actual
CM,2011,474.1839289,Actual
CM,2012,480.4732925,Actual
CM,2013,493.4536253,Actual
CM,2014,513.1193721,Projected 
CM,2015,516.3361023,Projected 
CN,2010,2135.858361,Actual
CN,2011,2353.817106,Actual
CN,2012,2425.804903,Actual
CN,2013,2508.544504,Projected 
CN,2014,2761.38428,Projected 
CN,2015,3046.352223,Projected 
CO,2010,3100.456962,Actual
CO,2011,3182.041964,Actual
CO,2012,3452.552853,Actual
CO,2013,3546.137337,Actual
CO,2014,3442.740754,Projected 
CO,2015,3635.643861,Projected 
CR,2010,1832.844344,Actual
CR,2011,1871.891725,Actual
CR,2012,1894.130254,Actual
CR,2013,1886.392324,Actual
CR,2014,1864.084445,Projected 
CR,2015,1868.084244,Projected 
CV,2010,1316.188918,Actual
CV,2011,1415.761562,Actual
CV,2012,1328.482983,Actual
CV,2013,1330.395596,Actual
CV,2014,1461.60599,Projected 
CV,2015,1504.544716,Projected 
CY,2010,13205.50599,Actual
CY,2011,12686.02851,Actual
CY,2012,11976.62864,Actual
CY,2013,11956.92303,Actual
