id-to,year,value
AF,2002,2199335.22
AF,2003,1200011.81
AF,2004,12543271.26
AF,2005,11445690.21
AF,2006,4367412.40
AF,2007,4146206.78
AF,2008,6515690.12
AF,2009,5200390.43
AF,2010,3680217.58
AF,2011,5539688.19
AF,2012,14517689.67
AF,2013,6528617.01
AF,2014,3160941.17
AF,2015,3580361.70
africa,2012,13757.99
africa,2013,242345.25
africa,2014,448951.67
africa,2015,699683.53
AG,1995,0.00
AG,2015,20210.50
america,2002,295307.14
america,2003,170442.91
america,2004,205616.23
america,2005,288259.91
america,2006,191741.61
america,2007,104262.16
america,2008,403467.56
america,2009,159189.59
america,2010,142470.64
america,2011,21594.50
america,2012,3883.87
AO,1995,0.00
AO,2003,599515.88
AO,2006,106567.04
AO,2007,122874.89
AR,2002,297181.87
AR,2003,384466.22
AR,2004,456084.45
AR,2005,362508.62
AR,2006,263477.82
AR,2007,178671.93
AR,2008,487924.96
AR,2009,241247.07
AR,2010,124994.93
AR,2011,126556.92
AR,2012,170512.01
AR,2013,125158.27
AR,2014,108883.62
AR,2015,115013.00
asia,1981,0.00
asia,1982,0.00
asia,1983,0.00
asia,1985,0.00
asia,1995,0.00
asia,2002,545614.69
asia,2003,256177.77
asia,2004,2034209.41
asia,2005,28756142.96
asia,2006,1725318.33
asia,2007,28208.72
asia,2008,396752.06
asia,2009,489046.21
asia,2010,55897.84
asia,2011,19949.99
asia,2013,24838.95
asia,2014,40002.74
asia,2015,778844.20
BA,1995,0.00
BB,2002,16874.69
BB,2003,39721.61
BB,2004,20350.50
BB,2005,24458.43
BB,2006,30421.14
BB,2007,18632.10
BB,2008,21564.76
BB,2009,20948.20
BB,2010,6255.01
BD,1982,0.00
BD,1995,0.00
BD,2002,1227164.31
BD,2003,1184634.99
BD,2004,1349771.44
BD,2005,1136443.72
BD,2006,876118.33
BD,2007,1881597.77
BD,2008,1226990.76
BD,2009,1641099.47
BD,2010,118394.30
BD,2011,1088822.98
BD,2012,493844.11
BD,2013,365146.34
BD,2014,595288.71
BD,2015,360061.30
BF,2012,740913.66
BI,1995,0.00
BI,2004,159717.49
BI,2005,1553114.06
bilateral-unspecified,1974,0.00
bilateral-unspecified,1982,0.00
bilateral-unspecified,1983,0.00
bilateral-unspecified,1995,0.00
bilateral-unspecified,2002,7115492.98
bilateral-unspecified,2003,9048346.73
bilateral-unspecified,2004,15568010.35
bilateral-unspecified,2005,18458270.88
bilateral-unspecified,2006,32495095.73
bilateral-unspecified,2007,44873307.90
bilateral-unspecified,2008,44379037.30
bilateral-unspecified,2009,40178424.08
bilateral-unspecified,2010,40429181.50
bilateral-unspecified,2011,40007462.50
bilateral-unspecified,2012,44202826.86
bilateral-unspecified,2013,46829358.65
bilateral-unspecified,2014,42382598.92
bilateral-unspecified,2015,42181364.55
BO,2002,18749.65
BO,2003,37667.53
BO,2004,43035.70
BO,2008,394007.57
BO,2010,14758.06
BO,2015,41687.20
BR,2002,362805.93
BR,2003,323204.05
BR,2004,325518.93
BR,2005,363382.87
BR,2006,309078.46
BR,2007,161694.08
BR,2008,382156.16
BR,2009,353650.29
BR,2010,208808.71
BR,2011,250043.30
BR,2012,93366.99
BR,2013,111789.48
BR,2014,25613.64
BR,2015,220609.30
BT,1995,0.00
BT,2002,401242.63
BT,2003,407680.47
BT,2004,483949.13
BT,2005,434137.21
BT,2006,238375.54
BT,2007,249289.41
BT,2008,43323.17
BT,2009,112531.48
BT,2010,39166.14
BW,1995,0.00
BW,2002,127497.68
BW,2003,83597.65
BW,2004,47427.95
BW,2005,39308.22
BW,2006,21798.22
BW,2007,20093.59
BW,2008,5542.68
BW,2009,47.93
BW,2013,38208.29
BW,2014,144133.60
BW,2015,608990.90
BZ,2005,20964.39
BZ,2006,18447.22
BZ,2007,17423.78
BZ,2008,6516.08
BZ,2009,21669.42
BZ,2010,19818.77
BZ,2011,19683.60
BZ,2012,23150.64
BZ,2013,1368.99
BZ,2014,3675.28
CD,2002,93748.33
CD,2003,746921.67
CD,2004,88728.29
CD,2005,271663.22
CD,2006,70530.68
CD,2008,878016.84
CD,2009,93898.46
CF,2014,352720.09
CI,2003,50889.62
CI,2011,1057715.39
CK,1974,0.00
CK,1981,0.00
CK,1982,0.00
CK,1983,0.00
CK,1985,0.00
CK,1995,0.00
CK,2002,5440213.08
CK,2003,5446198.73
CK,2004,5135065.33
CK,2005,7758566.73
CK,2006,9491611.41
CK,2007,6384013.86
CK,2008,4301425.99
CK,2009,3600924.03
CK,2010,10335876.58
CK,2011,14159131.31
CK,2012,17042865.77
CK,2013,10553598.08
CK,2014,19662875.69
CK,2015,17313925.66
CL,1995,0.00
CL,2002,626237.79
CL,2003,733502.51
CL,2004,737780.59
CL,2005,519741.86
CL,2006,293791.86
CL,2007,508682.88
CL,2008,681094.73
CL,2009,297091.36
CL,2010,738907.27
CL,2011,916875.46
CL,2012,315664.69
CL,2013,380843.56
CL,2014,381577.91
CL,2015,295187.47
CM,2002,48749.21
CM,2003,21706.72
CM,2014,26324.76
CM,2015,211090.00
CN,1995,0.00
CN,2002,1818717.11
CN,2003,1640650.38
CN,2004,3113191.37
CN,2005,2071106.18
CN,2006,2229229.55
CN,2007,1569830.72
CN,2008,2262900.51
CN,2009,1470870.22
CN,2010,1580908.81
CN,2011,983775.22
CN,2012,940302.10
CN,2013,1018351.74
CN,2014,725410.04
CN,2015,622769.70
CO,2002,346868.75
CO,2003,307733.76
CO,2004,290444.39
CO,2005,110062.95
CO,2006,80400.61
CO,2007,18913.99
CO,2008,98.50
CO,2010,0.00
CO,2011,98907.33
CO,2012,10459.49
CO,2013,43633.72
CO,2014,128413.96
CO,2015,955947.30
CR,2003,94747.15
CR,2004,89452.89
CR,2006,75307.40
CR,2007,21689.17
DJ,2005,571279.29
DM,2005,18343.83
DM,2006,50343.24
DM,2007,51435.39
DM,2008,51856.55
DM,2009,26846.74
DM,2010,21769.79
DM,2011,6447.33
DM,2014,23637.39
DM,2015,12849.84
east-asia,1995,0.00
east-asia,2002,2263082.50
east-asia,2003,2910039.44
east-asia,2004,3641933.68
east-asia,2005,2845046.37
east-asia,2006,4628247.19
east-asia,2007,3880715.59
east-asia,2008,5926333.74
east-asia,2009,4200539.12
east-asia,2010,4713416.90
east-asia,2011,6611502.63
east-asia,2012,8139316.41
east-asia,2013,6621208.46
east-asia,2014,6387481.39
east-asia,2015,8754012.60
EC,2002,9374.83
EC,2003,5838.41
EC,2004,39529.21
EC,2005,36687.65
EC,2006,47879.24
EC,2007,22465.82
EC,2008,42134.68
EC,2009,117523.18
EC,2010,381254.01
EC,2011,315779.58
EC,2012,327707.05
EC,2013,125961.87
EC,2014,352.72
EC,2015,103886.20
EG,2002,18749.65
EG,2003,19661.89
EG,2004,17872.73
EG,2005,17470.35
EG,2006,15507.73
EG,2008,157602.57
EG,2011,442867.62
EG,2014,355.15
EG,2015,28894.00
ER,2002,47811.64
ER,2003,564401.71
ER,2004,218363.15
ER,2005,35814.17
ET,1995,0.00
ET,2002,364679.79
ET,2003,1302559.74
ET,2004,1085259.02
ET,2005,1498079.48
ET,2006,206030.19
ET,2007,71844.58
ET,2008,387142.36
ET,2009,495461.93
ET,2012,13988.42
ET,2013,38617.14
ET,2014,179340.62
ET,2015,241447.60
europe,2014,211631.89
ex-yugoslavia,1995,0.00
FJ,1976,0.00
FJ,1981,0.00
FJ,1982,0.00
FJ,1983,0.00
FJ,1984,0.00
FJ,1985,0.00
FJ,1995,0.00
FJ,2002,5678338.42
FJ,2003,4313793.73
FJ,2004,3717597.55
FJ,2005,4314293.97
FJ,2006,7779003.98
FJ,2007,4051016.89
FJ,2008,4390133.34
FJ,2009,4160650.39
FJ,2010,3821113.28
FJ,2011,3686765.50
FJ,2012,4944497.32
FJ,2013,5510412.08
FJ,2014,6823994.91
FJ,2015,7753810.91
FM,1995,0.00
FM,2002,74998.44
FM,2003,691496.71
FM,2004,389880.18
FM,2005,430644.07
FM,2006,256714.09
FM,2007,183894.58
FM,2008,147190.73
FM,2009,128624.38
FM,2010,67956.76
FM,2011,44154.22
FM,2012,216851.26
FM,2013,61838.96
FM,2014,35445.11
FM,2015,455034.10
GD,2005,87351.60
GD,2006,127880.42
GD,2008,78801.51
GD,2014,85985.76
GD,2015,83395.20
GH,2002,152809.60
GH,2003,99678.74
GH,2004,96349.64
GH,2005,145003.52
GH,2006,224595.96
GH,2007,128511.76
GH,2008,211004.74
GH,2009,212486.36
GH,2010,171486.71
GH,2011,377761.64
GH,2012,182018.48
GH,2013,157046.05
GH,2014,96073.78
GH,2015,316177.90
GM,2003,37676.78
GM,2004,64137.66
GM,2005,64640.13
GM,2008,34329.59
GM,2009,42707.95
GM,2010,39451.48
GM,2011,7201.38
GM,2015,283.37
GT,2002,75936.11
GT,2003,95265.10
GT,2004,123105.02
GT,2005,214010.98
GT,2006,1084749.30
GT,2007,503010.64
GT,2008,79801.65
GT,2009,103742.03
GT,2010,281400.92
GT,2011,137432.43
GT,2012,100953.33
GT,2013,149425.79
GT,2014,188814.84
GT,2015,215763.00
GW,2014,40774.93
GY,2002,16874.69
GY,2004,4213.22
GY,2005,139762.57
GY,2006,112172.01
GY,2007,68635.05
GY,2008,57262.38
GY,2009,73307.68
GY,2010,51243.64
GY,2015,97142.66
HN,2002,82498.50
HN,2006,158073.80
HN,2007,211451.19
HN,2008,143480.53
HN,2009,240752.90
HN,2010,126142.42
HN,2011,32206.67
HN,2012,16041.53
HT,2002,20624.52
HT,2004,89452.89
HT,2005,165094.56
HT,2006,93246.13
HT,2007,26167.11
HT,2008,63986.92
HT,2009,80195.55
HT,2010,1521433.39
ID,1974,0.00
ID,1976,0.00
ID,1981,0.00
ID,1982,0.00
ID,1983,0.00
ID,1985,0.00
ID,1995,0.00
ID,2002,9139523.62
ID,2003,7721765.26
ID,2004,8814679.62
ID,2005,16190618.43
ID,2006,11509277.00
ID,2007,14646093.73
ID,2008,13791793.45
ID,2009,6429089.07
ID,2010,6898666.07
ID,2011,14281259.24
ID,2012,10999473.34
ID,2013,5563604.72
ID,2014,11545606.33
ID,2015,9072746.00
IN,1981,0.00
IN,1995,0.00
IN,2002,1370599.82
IN,2003,1632314.63
IN,2004,1294194.24
IN,2005,2106047.17
IN,2006,1228979.78
IN,2007,1401543.54
