"id","year","value"
"AF",2006,54572747
"AF",2007,61295889
"AF",2008,76771552
"AF",2009,93126415
"AF",2010,99836925
"AF",2011,112286677
"AF",2012,109066375
"AF",2013,122001155
"africa",2006,94432810
"africa",2007,101761506
"africa",2008,100944808
"africa",2009,121462367
"africa",2010,88211300
"africa",2011,86108247
"africa",2012,194902602
"africa",2013,67064871
"AL",2006,14588445
"AL",2007,12947516
"AL",2008,11712557
"AL",2009,12077604
"AL",2010,11848660
"AL",2011,12814534
"AL",2012,13639853
"AL",2013,11153876
"AM",2006,2750970
"AM",2007,3918401
"AM",2008,2777754
"AM",2009,2634493
"AM",2010,1021660
"AM",2011,680276
"AM",2012,692389
"AM",2013,73719
"america",2006,14716289
"america",2007,15737786
"america",2008,12854285
"america",2009,14670336
"america",2010,5529244
"america",2011,8338944
"america",2012,6593709
"america",2013,5422365
"AO",2006,8292291
"AO",2007,7208467
"AO",2008,5151825
"AO",2009,2259609
"AO",2010,1280443
"AO",2011,1378874
"AO",2012,1484735
"AO",2013,1197953
"AR",2006,375355
"AR",2007,944304
"AR",2008,227320
"AR",2009,1033567
"AR",2010,132237
"AR",2011,135702
"AR",2012,176759
"asia",2006,32595242
"asia",2007,32193728
"asia",2008,31600338
"asia",2009,47019920
"asia",2010,21524982
"asia",2011,24989859
"asia",2012,15927909
"asia",2013,45274298
"AZ",2006,695976
"AZ",2007,1468500
"AZ",2008,1072619
"AZ",2009,737520
"AZ",2010,1042267
"AZ",2011,814477
"AZ",2012,1029654
"AZ",2013,831454
"BA",2006,45942846
"BA",2007,40162774
"BA",2008,29770245
"BA",2009,44720392
"BA",2010,30473087
"BA",2011,29567268
"BA",2012,30186625
"BA",2013,29201867
"BD",2006,45559218
"BD",2007,12791422
"BD",2008,39599373
"BD",2009,53995335
"BD",2010,39433215
"BD",2011,32726702
"BD",2012,42818809
"BD",2013,43856515
"BF",2006,17461141
"BF",2007,22891060
"BF",2008,23888727
"BF",2009,28511728
"BF",2010,37922406
"BF",2011,37217754
"BF",2012,33881264
"BF",2013,26371099
"BI",2006,10019568
"BI",2007,6491051
"BI",2008,7220818
"BI",2009,5358990
"BI",2010,8802317
"BI",2011,7201132
"BI",2012,3625631
"BI",2013,1761819
"bilateral-unspecified",2006,1129880396
"bilateral-unspecified",2007,1189236365
"bilateral-unspecified",2008,1277939430
"bilateral-unspecified",2009,1436878953
"bilateral-unspecified",2010,1336572756
"bilateral-unspecified",2011,1361978265
"bilateral-unspecified",2012,1621892833
"bilateral-unspecified",2013,1757175826
"BJ",2006,275233
"BJ",2007,328981
"BJ",2008,490198
"BJ",2009,1027650
"BJ",2010,2040255
"BJ",2011,407978
"BJ",2012,677449
"BJ",2013,849447
"BO",2006,20850533
"BO",2007,28150829
"BO",2008,28638385
"BO",2009,34459249
"BO",2010,30156577
"BO",2011,34282070
"BO",2012,33149226
"BO",2013,36808879
"BR",2006,3815315
"BR",2007,4355881
"BR",2008,3268420
"BR",2009,2230156
"BR",2010,2194503
"BR",2011,2007490
"BR",2012,869177
"BR",2013,1574226
"BT",2006,116627
"BT",2007,797338
"BT",2008,815605
"BT",2009,387209
"BW",2006,1880559
"BW",2007,3966723
"BW",2008,4495170
"BW",2009,3428324
"BW",2010,5085771
"BW",2011,3287541
"BW",2012,7162241
"BW",2013,6147364
"BY",2006,7717116
"BY",2007,9842061
"BY",2008,13600851
"BY",2009,12062982
"BY",2010,17346885
"BY",2011,20416814
"BY",2012,2696113
"BY",2013,313015
"BZ",2006,32824
"CD",2006,46696381
"CD",2007,36207839
"CD",2008,70607295
"CD",2009,72233157
"CD",2010,78452189
"CD",2011,231973454
"CD",2012,78058415
"CD",2013,80158319
"central-asia",2006,2316411
"central-asia",2007,3033023
"central-asia",2008,1187102
"central-asia",2009,2003084
"central-asia",2010,4342744
"central-asia",2011,629706
"central-asia",2012,711873
"central-asia",2013,1443426
"CF",2006,2135497
"CF",2007,8193000
"CF",2008,6608951
"CF",2009,6837706
"CF",2010,9368970
"CF",2011,10062528
"CF",2012,8599316
"CF",2013,12898541
"CG",2006,3887329
"CG",2007,3416339
"CG",2008,1629175
"CG",2009,725966
"CG",2010,1500426
"CG",2011,113543
"CG",2012,980769
"CI",2006,9228340
"CI",2007,6220176
"CI",2008,5770234
"CI",2009,3455574
"CI",2010,1344801
"CI",2011,5130543
"CI",2012,3207043
"CI",2013,2193873
"CL",2006,370728
"CL",2007,346628
"CL",2008,584189
"CL",2009,354481
"CL",2010,1765632
"CL",2011,139754
"CL",2012,205580
"CL",2013,249099
"CM",2006,15619564
"CM",2007,79868050
"CM",2008,769299
"CM",2009,1203264
"CM",2010,669392
"CM",2011,1702152
"CM",2012,1928142
"CM",2013,1922933
"CN",2006,13234730
"CN",2007,11435840
"CN",2008,15242801
"CN",2009,8384825
"CN",2010,6721838
"CN",2011,10045074
"CN",2012,10887893
"CN",2013,10667910
"CO",2006,21103145
"CO",2007,20133722
"CO",2008,27274399
"CO",2009,29825738
"CO",2010,26897811
"CO",2011,33687902
"CO",2012,28821650
"CO",2013,35892440
"CR",2006,1118768
"CR",2007,1173087
"CR",2008,1023606
"CR",2009,1244475
"CR",2010,530002
"CR",2011,356735
"CR",2012,521951
"CR",2013,157216
"CU",2006,950696
"CU",2007,25941
"CU",2008,905883
"CU",2009,151611
"CU",2011,11923
"CU",2012,3611
"CV",2006,187470
"CV",2007,517563
"CV",2008,296317
"CV",2009,706329
"CV",2010,106590
"DJ",2007,45581
"DJ",2008,132731
"DJ",2009,233396
"DJ",2010,76878
"DJ",2011,0
"DJ",2012,73277
"DJ",2013,62358
"DM",2006,32824
"DM",2012,20683
"DO",2006,51323
"DO",2007,162977
"DO",2008,690352
"DO",2009,9286
"DO",2010,-1207
"DO",2011,292359
"DO",2012,244259
"DO",2013,20726
"DZ",2006,499521
"DZ",2007,956310
"DZ",2008,2196977
"DZ",2009,1541480
"DZ",2010,1730968
"DZ",2011,1043246
"DZ",2012,2683633
"DZ",2013,1316316
"east-asia",2006,113396
"east-asia",2007,1301041
"east-asia",2008,1181821
"east-asia",2009,577573
"east-asia",2010,873748
"east-asia",2012,1155284
"east-asia",2013,71695
"EC",2006,777667
"EC",2007,540068
"EC",2008,718354
"EC",2009,650617
"EC",2010,189709
"EC",2011,248128
"EC",2012,182571
"EC",2013,185218
"EG",2006,2394242
"EG",2007,2624035
"EG",2008,2265248
"EG",2009,2021108
"EG",2010,1535082
"EG",2011,5576181
"EG",2012,9061063
"EG",2013,10876792
"ER",2006,2531664
"ER",2007,2866077
"ER",2008,2008931
"ER",2009,2723929
