"id","year","value"
"AL",2011,3869513
"AL",2012,3307815
"AL",2013,3315753
"AM",2011,3293963
"AM",2012,3099614
"AM",2013,3281957
"AZ",2011,3456994
"AZ",2012,2850474
"AZ",2013,2945191
"BA",2011,18043317
"BA",2012,16396375
"BA",2013,14952880
"bilateral-unspecified",2011,42677466
"bilateral-unspecified",2012,40315849
"bilateral-unspecified",2013,41556217
"BY",2011,242076
"europe",2011,253192
"europe",2012,232763
"europe",2013,238995
"KG",2011,8310868
"KG",2012,7184088
"KG",2013,7186749
"KZ",2011,2550445
"KZ",2012,2402494
"KZ",2013,2362188
"MD",2011,2496101
"MD",2012,2300732
"MD",2013,2322355
"ME",2011,2828338
"ME",2012,2574435
"ME",2013,2557730
"MK",2011,8634460
"MK",2012,7780617
"MK",2013,7688880
"RS",2011,9145783
"RS",2012,8192340
"RS",2013,7950809
"TJ",2011,7172122
"TJ",2012,7032031
"TJ",2013,7400396
"TM",2011,1563615
"TM",2012,1555655
"TM",2013,1657273
"UA",2011,2929616
"UA",2012,2946388
"UA",2013,3268678
"UZ",2011,2345421
"UZ",2012,2100720
"UZ",2013,2035078
"XK",2011,27375598
"XK",2012,24538420
"XK",2013,23391334
