"id","year","value"
"africa",2010,3943127
"africa",2012,3863481
"africa",2013,3641409
"AG",2006,2038
"AG",2007,45151
"AL",2006,65680
"AL",2007,102668
"AL",2008,98854
"AL",2010,77894
"AM",2006,165566
"AM",2007,351621
"AM",2008,266794
"AM",2009,246328
"AM",2010,327673
"AM",2011,236905
"AM",2012,371763
"AM",2013,55594
"america",2006,101983
"AO",2006,525368
"AO",2007,864513
"AO",2008,471031
"AO",2009,628388
"AO",2010,722425
"AO",2011,768715
"AO",2012,506786
"AO",2013,762494
"AR",2006,383209
"AR",2007,470523
"AR",2008,901981
"AR",2009,310372
"AR",2010,541438
"AR",2011,716450
"AR",2012,651510
"AR",2013,819602
"asia",2009,5568360
"asia",2011,4875480
"asia",2012,3977777
"asia",2013,3858074
"AZ",2006,14420
"AZ",2007,72453
"AZ",2008,96006
"AZ",2009,89590
"AZ",2010,133988
"AZ",2011,214394
"AZ",2012,234610
"AZ",2013,100737
"BA",2006,6776
"BA",2007,133602
"BA",2009,78652
"BA",2010,122402
"BB",2006,115998
"BB",2007,1175329
"BB",2008,419427
"BB",2009,494869
"BB",2010,462682
"BD",2006,164115
"BD",2007,850933
"BD",2008,377537
"BD",2009,373293
"BD",2010,431697
"BD",2011,572285
"BD",2012,391469
"BD",2013,491470
"BF",2006,323688
"BF",2007,572302
"BF",2008,288365
"BF",2009,361359
"BF",2010,626994
"BF",2011,757740
"BF",2012,667576
"BF",2013,626732
"BI",2006,456034
"BI",2007,361602
"BI",2008,387951
"BI",2009,462023
"BI",2010,664292
"BI",2011,1100081
"BI",2012,439215
"BI",2013,626806
"bilateral-unspecified",2006,168862216
"bilateral-unspecified",2007,115619128
"bilateral-unspecified",2008,169678306
"bilateral-unspecified",2009,187515452
"bilateral-unspecified",2010,179562799
"bilateral-unspecified",2011,167764743
"bilateral-unspecified",2012,161374944
"bilateral-unspecified",2013,157702168
"BJ",2006,278002
"BJ",2007,178779
"BJ",2008,476116
"BJ",2009,515738
"BJ",2010,492047
"BJ",2011,585472
"BJ",2012,385795
"BJ",2013,378938
"BO",2006,219077
"BO",2007,54921
"BO",2009,52435
"BO",2010,93689
"BO",2011,69938
"BO",2013,6292
"BR",2006,728627
"BR",2007,742993
"BR",2008,488381
"BR",2009,260485
"BR",2010,653647
"BR",2011,799508
"BR",2012,852346
"BR",2013,729813
"BT",2006,59636
"BT",2007,13443
"BT",2011,63110
"BT",2012,10000
"BW",2006,795401
"BW",2007,1033608
"BW",2008,479716
"BW",2009,698766
"BW",2010,678009
"BW",2011,713541
"BW",2012,735705
"BW",2013,1067191
"BY",2006,36252
"BY",2007,136769
"BY",2008,110743
"BY",2009,272094
"BY",2010,180801
"BY",2011,233463
"BY",2012,198293
"BY",2013,141406
"BZ",2006,7356
"BZ",2007,105007
"BZ",2010,9513
"BZ",2011,80783
"BZ",2012,73692
"BZ",2013,68472
"CD",2006,550224
"CD",2007,326595
"CD",2008,708067
"CD",2009,977541
"CD",2011,1423500
"CD",2012,911683
"CD",2013,2104702
"CF",2006,272278
"CF",2007,457528
"CF",2008,608308
"CF",2009,600860
"CF",2010,431441
"CF",2011,537367
"CF",2012,483951
"CF",2013,852858
"CG",2006,861812
"CG",2007,488102
"CG",2008,464410
"CG",2009,621331
"CG",2010,1788760
"CG",2011,701452
"CG",2012,687665
"CG",2013,724453
"CI",2006,446520
"CI",2007,664749
"CI",2008,736187
"CI",2009,832569
"CI",2010,749061
"CI",2011,923532
"CI",2012,851291
"CI",2013,807971
"CL",2006,31959
"CL",2007,71683
"CL",2008,140653
"CL",2009,333789
"CL",2010,365157
"CL",2011,251286
"CL",2012,120052
"CL",2013,124034
"CM",2006,512842
"CM",2007,459459
"CM",2008,575468
"CM",2009,717758
"CM",2010,565230
"CM",2011,691698
"CM",2012,719205
"CM",2013,1369611
"CN",2006,527074
"CN",2007,2063008
"CN",2008,1578622
"CN",2009,894191
"CN",2010,1401165
"CN",2011,2122348
"CN",2012,1478771
"CN",2013,1380329
"CO",2006,226147
"CO",2007,360073
"CO",2008,203017
"CO",2009,261314
"CO",2010,177306
"CO",2011,353549
"CO",2012,352421
"CO",2013,327913
"CR",2006,19990
"CR",2007,127009
"CR",2008,87504
"CR",2009,16349
"CR",2010,64441
"CR",2011,64676
"CR",2012,9996
"CR",2013,14514
"CU",2006,123572
"CU",2007,171926
"CU",2009,104869
"CU",2010,103858
"CU",2012,15299
"CV",2006,112998
"CV",2007,29554
"CV",2011,73209
"DJ",2007,3912
"DJ",2009,99165
"DJ",2010,305418
"DJ",2011,452728
"DJ",2012,348255
"DJ",2013,327969
"DM",2006,172655
"DM",2007,2172
"DO",2006,193649
"DO",2007,583260
"DO",2008,331212
"DO",2009,336610
"DO",2010,389985
"DO",2011,656545
"DO",2012,650347
"DO",2013,476223
"DZ",2006,104353
"DZ",2007,756938
"DZ",2008,127880
"DZ",2009,51910
"DZ",2010,155671
"DZ",2011,373547
"DZ",2012,233244
"DZ",2013,218145
"east-asia",2010,4103818
"EC",2006,97011
"EC",2007,88222
"EC",2009,57961
"EC",2010,143463
