"id","year","value"
"AF",2006,21418031
"AF",2007,28190465
"AF",2008,36298178
"AF",2009,41468266
"AF",2010,40857181
"AF",2011,37732072
"AF",2012,34219382
"AF",2013,33347482
"AL",2006,1297040
"AL",2007,1508068
"AL",2008,770013
"AL",2009,1000392
"AL",2010,776018
"AL",2011,741689
"AL",2012,716802
"AL",2013,974642
"AM",2006,921750
"AM",2008,643710
"AM",2009,814952
"AM",2010,821072
"AM",2011,711047
"AM",2012,690631
"AM",2013,691441
"america",2006,624766
"america",2007,996823
"america",2008,521892
"america",2009,1239244
"america",2010,462523
"america",2011,828037
"america",2012,320242
"america",2013,526430
"AO",2006,11822938
"AO",2007,12954473
"AO",2008,16530197
"AO",2009,8909545
"AO",2010,8612911
"AO",2011,7468505
"AO",2012,7186509
"AO",2013,7230842
"AR",2006,712161
"AR",2007,647579
"AR",2008,658761
"AR",2009,806552
"AR",2010,804195
"AR",2011,808695
"AR",2012,572227
"AR",2013,775377
"asia",2006,705110
"asia",2007,617282
"asia",2008,598727
"asia",2009,1400835
"asia",2010,1045281
"asia",2011,1298549
"asia",2012,344170
"asia",2013,567543
"AZ",2006,1746328
"AZ",2007,1468648
"AZ",2008,998709
"AZ",2009,1020914
"AZ",2010,1279751
"AZ",2011,834605
"AZ",2012,777062
"AZ",2013,1063816
"BA",2006,1315420
"BA",2007,884198
"BA",2008,763027
"BA",2009,784550
"BA",2010,830826
"BA",2011,1288933
"BA",2012,1058876
"BA",2013,1016487
"BD",2006,13630232
"BD",2007,17152564
"BD",2008,21102466
"BD",2009,23274660
"BD",2010,25053990
"BD",2011,21128206
"BD",2012,14369681
"BD",2013,24185939
"BF",2006,8398687
"BF",2007,12150717
"BF",2008,16104830
"BF",2009,18571357
"BF",2010,19915177
"BF",2011,16182091
"BF",2012,14071853
"BF",2013,15066566
"BI",2006,9258729
"BI",2007,10259314
"BI",2008,9343649
"BI",2009,10345635
"BI",2010,10407902
"BI",2011,9789697
"BI",2012,9238327
"BI",2013,8767920
"BJ",2006,4938266
"BJ",2007,5721464
"BJ",2008,5503703
"BJ",2009,5156224
"BJ",2010,6671665
"BJ",2011,7301402
"BJ",2012,5178221
"BJ",2013,5308158
"BO",2006,1781503
"BO",2007,1828510
"BO",2008,1094157
"BO",2009,1566939
"BO",2010,1450598
"BO",2011,1480794
"BO",2012,1195172
"BO",2013,1526589
"BR",2006,2543617
"BR",2007,2190062
"BR",2008,1786756
"BR",2009,1144012
"BR",2010,994889
"BR",2011,731562
"BR",2012,827170
"BR",2013,840120
"BT",2006,1135888
"BT",2007,1019816
"BT",2008,809982
"BT",2009,1627974
"BT",2010,1054119
"BT",2011,1383446
"BT",2012,964911
"BT",2013,1362332
"BW",2006,1156573
"BW",2007,1304420
"BW",2008,695882
"BW",2009,1254679
"BW",2010,819993
"BW",2011,833257
"BW",2012,759790
"BW",2013,726259
"BY",2006,740804
"BY",2007,738023
"BY",2008,572508
"BY",2009,766104
"BY",2010,888683
"BY",2011,657919
"BY",2012,910213
"BY",2013,992446
"BZ",2006,784527
"BZ",2007,670092
"BZ",2008,585018
"BZ",2009,765318
"BZ",2010,1196687
"BZ",2011,1020270
"BZ",2012,667844
"BZ",2013,699963
"CD",2006,30256555
"CD",2007,46278926
"CD",2008,58912062
"CD",2009,58050041
"CD",2010,59996392
"CD",2011,58455724
"CD",2012,52836869
"CD",2013,52111525
"CF",2006,3126085
"CF",2007,6542673
"CF",2008,5687589
"CF",2009,4695500
"CF",2010,5893924
"CF",2011,4032665
"CF",2012,4810082
"CF",2013,9412395
"CG",2006,1960095
"CG",2007,1897811
"CG",2008,2846505
"CG",2009,1335797
"CG",2010,5808511
"CG",2011,1665451
"CG",2012,1245755
"CG",2013,1723373
"CI",2006,7424413
"CI",2007,10419113
"CI",2008,7811801
"CI",2009,8843180
"CI",2010,10071350
"CI",2011,13717132
"CI",2012,7245358
"CI",2013,8531252
"CL",2006,487832
"CL",2007,428585
"CL",2008,448839
"CL",2009,821369
"CL",2010,1009865
"CL",2011,732093
"CL",2012,701665
"CL",2013,910666
"CM",2006,4109300
"CM",2007,6565813
"CM",2008,6245150
"CM",2009,7115415
"CM",2010,6717861
"CM",2011,6729438
"CM",2012,5986385
"CM",2013,6674659
"CN",2006,12906777
"CN",2007,14256903
"CN",2008,12159409
"CN",2009,11049352
"CN",2010,11422504
"CN",2011,9951470
"CN",2012,10164683
"CN",2013,8924533
"CO",2006,1211484
"CO",2007,1703490
"CO",2008,2016793
"CO",2009,1324208
"CO",2010,886119
"CO",2011,1003383
"CO",2012,855429
"CO",2013,656508
"country-unspecified",2006,256289558
"country-unspecified",2007,287998760
"country-unspecified",2008,262672323
"country-unspecified",2009,362433448
"country-unspecified",2010,277457762
"country-unspecified",2011,322806576
"country-unspecified",2012,500320176
"country-unspecified",2013,488828017
"CR",2006,659825
"CR",2007,632982
"CR",2008,591720
"CR",2009,795698
"CR",2010,820646
"CR",2011,1143209
"CR",2012,865849
"CR",2013,790629
"CU",2006,816169
"CU",2007,846703
"CU",2008,655325
"CU",2009,1017737
"CU",2010,883408
"CU",2011,805416
"CU",2012,544058
"CU",2013,1026751
"CV",2006,765162
"CV",2007,559274
"CV",2008,754097
"CV",2009,760367
"CV",2010,285184
"CV",2011,1196284
"CV",2012,725553
"CV",2013,814551
"DJ",2006,978061
"DJ",2007,3024850
"DJ",2008,1153531
"DJ",2009,2122023
"DJ",2010,984577
"DJ",2011,907217
"DJ",2012,798440
"DJ",2013,932773
"DO",2006,1112261
"DO",2007,1220275
"DO",2008,632838
"DO",2009,869515
"DO",2010,1690645
"DO",2011,890597
"DO",2012,570109
"DO",2013,715477
"DZ",2006,1496480
"DZ",2007,1157745
"DZ",2008,1122602
"DZ",2009,1030049
"DZ",2010,1143054
"DZ",2011,1238426
"DZ",2012,721965
"DZ",2013,1339302
"EC",2006,1107107
"EC",2007,890026
"EC",2008,1103005
"EC",2009,827011
"EC",2010,759400
"EC",2011,999107
"EC",2012,530963
"EC",2013,729041
"EG",2006,3504651
"EG",2007,3429097
"EG",2008,3013529
"EG",2009,3616760
"EG",2010,4000712
"EG",2011,3702670
"EG",2012,2907302
"EG",2013,3124414
"ER",2006,4498545
"ER",2007,2830509
"ER",2008,2676378
"ER",2009,2826946
"ER",2010,3041230
"ER",2011,2156858
"ER",2012,1711092
"ER",2013,2291653
"ET",2006,29918571
"ET",2007,54977082
"ET",2008,46629023
"ET",2009,37675536
"ET",2010,45073160
"ET",2011,39857749
"ET",2012,29855195
"ET",2013,43832326
"ex-yugoslavia",2007,591368
"FJ",2012,5241833
"FJ",2013,5754838
"GA",2006,724440
"GA",2007,712313
"GA",2008,710073
"GA",2009,759465
"GA",2010,733727
"GA",2011,842193
"GA",2012,587261
"GA",2013,871054
"GE",2006,1104490
"GE",2007,820201
"GE",2008,1342084
"GE",2009,786500
"GE",2010,893420
"GE",2011,781283
"GE",2012,872845
"GE",2013,1098808
"GH",2006,5219151
"GH",2007,8203713
"GH",2008,9535795
"GH",2009,8619517
"GH",2010,10040784
"GH",2011,10095464
"GH",2012,7144884
"GH",2013,10243500
"GM",2006,1382560
"GM",2007,1583282
"GM",2008,1183970
"GM",2009,1456468
"GM",2010,1545089
"GM",2011,1289036
"GM",2012,960715
"GM",2013,1132303
"GN",2006,5075652
"GN",2007,6174200
"GN",2008,6103143
"GN",2009,7991695
"GN",2010,7528673
"GN",2011,8779968
"GN",2012,6987335
"GN",2013,8014218
"GQ",2006,858952
"GQ",2007,929370
"GQ",2008,715837
"GQ",2009,793286
"GQ",2010,487448
"GQ",2011,434778
"GQ",2012,345639
"GQ",2013,531230
"GT",2006,1126219
"GT",2007,1176439
"GT",2008,1617655
"GT",2009,878828
"GT",2010,920985
"GT",2011,900879
"GT",2012,921062
"GT",2013,1102672
"GW",2006,2362682
"GW",2007,2699478
"GW",2008,2197811
"GW",2009,2846566
"GW",2010,2712964
"GW",2011,2164735
"GW",2012,1898939
"GW",2013,2708923
"GY",2006,921298
"GY",2007,1161563
"GY",2008,1043519
"GY",2009,1365997
"GY",2010,818268
"GY",2011,886260
"GY",2012,928192
"GY",2013,1389352
"HN",2006,1187731
"HN",2007,1211184
"HN",2008,894009
"HN",2009,684463
"HN",2010,977638
"HN",2011,834160
"HN",2012,467177
"HN",2013,920110
"HR",2006,318549
"HR",2007,325833
"HR",2008,382693
"HR",2009,331062
"HR",2010,407685
"HT",2006,3266842
"HT",2007,5376060
"HT",2008,4770800
"HT",2009,2478758
"HT",2010,2431736
"HT",2011,3406531
"HT",2012,2243671
"HT",2013,5197946
"ID",2006,8864758
"ID",2007,5878879
"ID",2008,5314090
"ID",2009,6600685
"ID",2010,7188185
"ID",2011,5513689
"ID",2012,4929004
"ID",2013,6399651
"IN",2006,43998634
"IN",2007,39546888
"IN",2008,37217286
"IN",2009,44076414
"IN",2010,43824443
"IN",2011,42243152
"IN",2012,38898431
"IN",2013,40720482
"IQ",2006,2597658
"IQ",2007,10082917
"IQ",2008,2106849
"IQ",2009,2074936
"IQ",2010,3068158
"IQ",2011,2382894
"IQ",2012,2523287
"IQ",2013,6118830
"IR",2006,2372679
"IR",2007,2381710
"IR",2008,1448302
"IR",2009,1804866
"IR",2010,1462988
"IR",2011,1958132
"IR",2012,1343557
"IR",2013,1632259
"JM",2006,878259
"JM",2007,637933
"JM",2008,574127
"JM",2009,1144304
"JM",2010,839393
"JM",2011,1089856
"JM",2012,781440
"JM",2013,700950
"JO",2006,892377
"JO",2007,2427439
"JO",2008,611074
"JO",2009,802536
"JO",2010,867247
"JO",2011,860901
"JO",2012,3206000
"JO",2013,4088259
"KE",2006,7981066
