"id","year","value"
"BI",2010,5922238
"BI",2011,826318
"BI",2012,3290440
"BI",2013,5303367
"CD",2010,5818475
"CD",2011,6842848
"CD",2012,3958820
"CD",2013,1318125
"CF",2010,5880070
"CF",2011,7860329
"CF",2012,6242320
"CF",2013,1284207
"CI",2010,674078
"CI",2011,31995
"CI",2012,3357350
"CI",2013,4541031
"country-unspecified",2013,246948
"GN",2010,5587279
"GN",2011,4494980
"GN",2012,10545050
"GN",2013,15436397
"GT",2011,0
"GT",2012,1002750
"GT",2013,1990910
"GW",2010,1253643
"GW",2011,706277
"GW",2012,2227960
"GW",2013,337315
"HT",2010,2423668
"HT",2011,657225
"HT",2013,22487
"KE",2010,83055
"KE",2011,107937
"KE",2012,103790
"KG",2010,318240
"KG",2011,3497917
"KG",2012,5940070
"KG",2013,248277
"KM",2010,3071770
"KM",2011,4091485
"KM",2012,2274490
"KM",2013,282609
"LB",2011,141
"LB",2012,1065570
"LB",2013,1266645
"LK",2010,1845135
"LK",2011,1180483
"LK",2012,0
"LR",2010,6664693
"LR",2011,2723256
"LR",2012,4788790
"LR",2013,4875455
"LY",2012,864200
"LY",2013,782569
"MM",2012,15770
"MM",2013,1698028
"NE",2013,738623
"NP",2010,4704977
"NP",2011,3561451
"NP",2012,487350
"NP",2013,1700228
"PG",2013,85793
"SD",2010,1686810
"SD",2011,9142441
"SD",2012,4840900
"SD",2013,209618
"SL",2010,5123720
"SL",2011,3646680
"SL",2012,4799350
"SL",2013,714935
"SO",2010,525565
"SO",2011,1999926
"SO",2012,1060950
"SS",2011,127091
"SS",2012,1276650
"SS",2013,3379780
"TD",2010,0
"TD",2011,2487943
"TD",2012,152490
"TD",2013,1480536
"TL",2010,804968
"TL",2011,11242
"UG",2010,630424
"UG",2011,6663749
"UG",2012,6462810
"UG",2013,492555
"YE",2012,2184800
"YE",2013,916921
