counter-from,country-to,sector,year,oda-gross-bl-sector
1,CD,M,2006,135328618
1,CM,M,2006,11885237
1,ET,M,2006,19398797
1,GH,M,2006,14234103
1,MR,M,2006,5335492
1,SN,M,2006,7491010
1,TZ,M,2006,1368233
1,UG,M,2006,937304
1,ZM,M,2006,15651526
2,65,A,2006,1366902
2,65,B,2006,5957347
2,65,D,2006,1735411
2,65,E,2006,9118792
2,65,F,2006,10708551
2,65,G,2006,1230742
2,65,H,2006,4672606
2,65,I,2006,186012
2,65,J,2006,2419106
2,65,K,2006,3497618
2,65,M,2006,76578480
2,AO,A,2006,769851
2,AO,C,2006,264749
2,AO,E,2006,59647
2,AO,H,2006,896602
2,AO,J,2006,296519
2,AO,K,2006,498184
2,BF,A,2006,4690871
2,BF,B,2006,4314120
2,BF,C,2006,8591918
2,BF,D,2006,1506876
2,BF,F,2006,6443029
2,BF,H,2006,1480106
2,BF,J,2006,1974506
2,BF,K,2006,5457903
2,BF,L,2006,5879424
2,BF,M,2006,333606563
2,BI,D,2006,574661
2,BI,H,2006,2201595
2,BI,K,2006,499729
2,BI,M,2006,7254367
2,BJ,A,2006,305166
2,BJ,B,2006,597588
2,BJ,C,2006,81937
2,BJ,D,2006,8678
2,BJ,E,2006,1449620
2,BJ,F,2006,7608993
2,BJ,H,2006,12292614
2,BJ,K,2006,1811623
2,BJ,L,2006,1005276
2,BJ,M,2006,296277930
2,BJ,N,2006,103932
2,CD,A,2006,2715589
2,CD,D,2006,93563
2,CD,K,2006,6960007
2,CD,L,2006,808730
2,CD,M,2006,5848886
2,CG,D,2006,36711
2,CI,D,2006,507723
2,CI,F,2006,510190
2,CI,H,2006,3925
2,CI,K,2006,789409
2,CM,A,2006,593412
2,CM,B,2006,3491503
2,CM,C,2006,166389
2,CM,D,2006,5028292
2,CM,E,2006,3975646
2,CM,F,2006,5546859
2,CM,H,2006,5203945
2,CM,K,2006,855103
2,CM,M,2006,180551059
2,CV,A,2006,13565
2,CV,C,2006,912950
2,CV,E,2006,1063642
2,CV,F,2006,6648
2,DJ,B,2006,41678
2,DJ,C,2006,440330
2,DJ,D,2006,914633
2,DJ,E,2006,3317841
2,DJ,H,2006,437702
2,EG,D,2006,2470874
2,EG,H,2006,521135
2,EG,K,2006,4461267
2,ER,A,2006,1476064
2,ER,H,2006,1263093
2,ER,K,2006,1031508
2,ER,N,2006,4582751
2,ET,A,2006,5744843
2,ET,B,2006,3529576
2,ET,C,2006,1883038
2,ET,F,2006,33556706
2,ET,G,2006,3848172
2,ET,H,2006,6673229
2,ET,J,2006,393371
2,ET,M,2006,800359254
2,GH,A,2006,437306
2,GH,B,2006,1900208
2,GH,C,2006,1081028
2,GH,D,2006,904041
2,GH,F,2006,11013877
2,GH,G,2006,787340
2,GH,H,2006,10582770
2,GH,I,2006,359097
2,GH,K,2006,2061137
2,GH,L,2006,37410326
2,GH,M,2006,416313287
2,GM,A,2006,608050
2,GM,B,2006,3184364
2,GM,C,2006,1713615
2,GM,D,2006,1368004
2,GM,F,2006,607510
2,GM,H,2006,4441617
2,GM,I,2006,195093
2,GM,K,2006,6008
2,GN,A,2006,3760962
2,GN,B,2006,2093603
2,GN,D,2006,3537947
2,GN,E,2006,2294025
2,GN,F,2006,5225497
2,GN,H,2006,2108465
2,GQ,B,2006,886203
2,GQ,D,2006,68452
2,GQ,L,2006,92747
2,GW,B,2006,3510874
2,GW,D,2006,267486
2,GW,H,2006,1189844
2,GW,K,2006,183587
2,GW,M,2006,4076847
2,KE,B,2006,4496290
2,KE,C,2006,388863
2,KE,F,2006,3378705
2,KE,H,2006,7906380
2,KE,J,2006,278930
2,LS,A,2006,1612171
2,LS,B,2006,1822344
2,LS,F,2006,8367678
2,LS,K,2006,2204574
2,LS,L,2006,245940
2,MG,A,2006,1669507
2,MG,B,2006,9658515
2,MG,C,2006,3447473
2,MG,D,2006,198007
2,MG,F,2006,12745639
2,MG,H,2006,2488548
2,MG,J,2006,11061
2,MG,K,2006,4531849
2,MG,M,2006,330769205
2,MG,N,2006,638545
2,ML,A,2006,2890821
2,ML,B,2006,2672017
2,ML,C,2006,2600591
2,ML,D,2006,604236
2,ML,F,2006,1533028
2,ML,H,2006,16064839
2,ML,K,2006,12937792
2,ML,L,2006,59427752
2,ML,M,2006,467146477
2,MR,A,2006,2648637
2,MR,B,2006,2256391
2,MR,C,2006,281522
2,MR,D,2006,82436
2,MR,F,2006,4014880
2,MR,H,2006,2098343
2,MR,M,2006,218169241
2,MW,A,2006,7576204
2,MW,B,2006,1976422
2,MW,C,2006,3304011
2,MW,F,2006,84631
2,MW,H,2006,8204239
2,MW,K,2006,3293935
2,MW,L,2006,3035469
2,MW,M,2006,353098989
2,MZ,A,2006,4048069
2,MZ,B,2006,3027280
2,MZ,C,2006,17349339
2,MZ,E,2006,2838226
2,MZ,F,2006,4119135
2,MZ,G,2006,1061149
