"id","year","value"
"AF",2013,2512675
"africa",2013,14196667
"america",2013,12140577
"asia",2013,6497419
"bilateral-unspecified",2006,2836590000
"bilateral-unspecified",2007,1944540000
"bilateral-unspecified",2008,3448810000
"bilateral-unspecified",2009,1827470000
"bilateral-unspecified",2010,3586070000
"bilateral-unspecified",2011,10595587667
"bilateral-unspecified",2012,3996690000
"bilateral-unspecified",2013,3161057342
"CO",2013,781168
"CR",2013,539726
"east-asia",2013,2421150
"europe",2013,2154877
"GN",2013,745167
"ID",2013,1556513
"JM",2013,814853
"JO",2013,9158083
"middle-east",2013,618779
"MX",2013,847152
"MY",2013,1300280
"NG",2013,2875824
"north-central-america",2013,4231125
"PA",2013,744001
"SY",2013,2002952
"TH",2013,506134
"west-indies",2013,657998
