country,year,out-oof-gross,capital-repayment,interest-repayment
AU,2000,1576950000,226610000,108150000
AT,2000,270870000,147080000,132300000
BE,2000,92130000,107650000,0
CA,2000,2364870000,2355470000,32870000
DK,2000,16200000,21000000,5700000
FI,2000,3610000,0,2660000
FR,2000,607950000,583640000,0
DE,2000,1783150000,2506660000,1644010000
GR,2000,4640000,0,0
IT,2000,185040000,370860000,0
JP,2000,5506300000,11206170000,0
KR,2000,746830000,1668160000,218660000
LU,2000,0,0,0
NL,2000,233110000,166710000,0
NZ,2000,0,0,0
NO,2000,0,0,0
PT,2000,138780000,1380000,33750000
ES,2000,6210000,0,0
SE,2000,8530000,8350000,1150000
CH,2000,15190000,0,0
GB,2000,247930000,348040000,0
US,2000,2084520000,1363700000,938600000
1,2000,766930000,1227550000,886110000
4,2000,0,0,0
5,2000,4372280000,2721300000,2245270000
7,2000,0,0,0
8,2000,99040000,23300000,31260000
9,2000,665340000,306070000,154910000
EU,2000,1047470000,313140000,466520000
14,2000,17870590000,13840160000,10315050000
16,2000,10105110000,3490720000,4504130000
18,2000,50260000,43160000,13160000
19,2000,1936130000,1588940000,1022290000
22,2000,0,0,0
24,2000,0,0,0
25,2000,0,0,0
KW,2000,0,0,0
SA,2000,0,0,0
TR,2000,0,0,0
AE,2000,0,0,0
AU,2001,168360000,246300000,98600000
AT,2001,188140000,417000000,138210000
BE,2001,71700000,59170000,0
CA,2001,2519900000,2716220000,1258410000
DK,2001,12200000,19540000,7080000
FI,2001,14090000,5560000,3390000
FR,2001,640380000,708030000,0
DE,2001,954360000,2024440000,1042770000
GR,2001,0,0,0
IT,2001,111070000,12990000,5570000
JP,2001,9340220000,10488180000,0
KR,2001,850970000,1145010000,199800000
LU,2001,0,0,0
NL,2001,522880000,451000000,0
NZ,2001,0,0,0
NO,2001,0,0,0
PT,2001,0,1860000,33140000
ES,2001,273290000,0,0
SE,2001,4430000,2300000,800000
CH,2001,12800000,0,0
GB,2001,354330000,321860000,0
US,2001,2329490000,1382490000,895010000
1,2001,969130000,1088490000,576290000
4,2001,0,0,0
5,2001,4497470000,1838520000,2400440000
7,2001,0,0,0
8,2001,79520000,31020000,42370000
9,2001,866110000,515480000,207360000
EU,2001,1144160000,571160000,446250000
14,2001,16991560000,14145100000,10516060000
16,2001,9500270000,3019490000,4767990000
18,2001,52590000,43330000,12980000
19,2001,1675180000,1640930000,1045180000
22,2001,0,0,0
24,2001,0,0,0
25,2001,0,0,0
KW,2001,0,0,0
SA,2001,0,0,0
TR,2001,0,0,0
AE,2001,0,0,0
AU,2002,142970000,236600000,37930000
AT,2002,251160000,309940000,214560000
BE,2002,229050000,52580000,0
CA,2002,2018320000,2871000000,596300000
DK,2002,15110000,20750000,3270000
FI,2002,7210000,2010000,3510000
FR,2002,1430030000,401560000,0
DE,2002,8017480000,2405390000,811410000
GR,2002,0,0,0
IT,2002,417540000,1029320000,0
JP,2002,9018720000,11352050000,15870000
KR,2002,1028500000,711390000,151690000
LU,2002,0,0,0
NL,2002,360110000,0,0
NZ,2002,4920000,0,0
NO,2002,0,0,0
PT,2002,0,2250000,39870000
ES,2002,92490000,0,0
SE,2002,6160000,3170000,720000
CH,2002,5870000,0,0
GB,2002,240540000,245660000,0
US,2002,2024510000,1744740000,1280800000
1,2002,1032810000,2210050000,1031880000
4,2002,0,0,0
5,2002,4661280000,5042610000,2345620000
7,2002,0,0,0
8,2002,164580000,76660000,49390000
9,2002,952900000,812440000,141260000
EU,2002,2299690000,884020000,585410000
14,2002,14680840000,20062590000,8805030000
16,2002,8372490000,6223960000,4218940000
18,2002,30560000,37790000,9790000
19,2002,2141350000,2093130000,782130000
22,2002,0,0,0
24,2002,0,0,0
25,2002,0,0,0
KW,2002,0,0,0
SA,2002,0,0,0
TR,2002,0,0,0
AE,2002,0,0,0
AU,2003,248090000,265920000,11430000
AT,2003,216560000,157350000,129920000
BE,2003,1367570000,62150000,0
CA,2003,1251520000,1873100000,508870000
DK,2003,71490000,13770000,7240000
FI,2003,27800000,18510000,3290000
FR,2003,5609830000,1893870000,258860000
DE,2003,-1362510000,3085730000,724930000
GR,2003,0,0,0
IT,2003,550360000,932120000,0
JP,2003,11539770000,14821500000,0
KR,2003,935660000,915410000,147940000
LU,2003,0,0,0
NL,2003,1757170000,602060000,0
NZ,2003,5160000,0,0
NO,2003,440000,0,0
PT,2003,0,2340000,7780000
ES,2003,109320000,9930000,2570000
