country,year,out_DFIs_coms
AT,2000,
AT,2001,
AT,2002,
AT,2003,
AT,2004,
AT,2005,
AT,2006,
AT,2007,
AT,2008,126.72
AT,2009,137.83
AT,2010,173.88
AT,2011,111.57
AT,2012,
BE,2000,
BE,2001,
BE,2002,
BE,2003,
BE,2004,
BE,2005,
BE,2006,47.17
BE,2007,48.78
BE,2008,83.02
BE,2009,95.05
BE,2010,162.66
BE,2011,166.91
BE,2012,
DK,2000,109.86
DK,2001,124.69
DK,2002,128.76
DK,2003,134.27
DK,2004,107.43
DK,2005,74.06
DK,2006,109.84
DK,2007,102.24
DK,2008,86.87
DK,2009,129.22
DK,2010,104.94
DK,2011,88.82
DK,2012,
FI,2000,18.12
FI,2001,32.2
FI,2002,29.83
FI,2003,31.81
FI,2004,86.92
FI,2005,84.07
FI,2006,96.61
FI,2007,60.88
FI,2008,118.53
FI,2009,141.04
FI,2010,74.64
FI,2011,0
FI,2012,
FR,2000,
FR,2001,
FR,2002,
FR,2003,
FR,2004,
FR,2005,543.51
FR,2006,636.88
FR,2007,564.54
FR,2008,654.53
FR,2009,1308.81
FR,2010,1330.93
FR,2011,1120.05
FR,2012,
DE,2000,
DE,2001,
DE,2002,
DE,2003,
DE,2004,
DE,2005,
DE,2006,2232.69
DE,2007,2427.44
DE,2008,4124.58
DE,2009,4427.31
DE,2010,5128.21
DE,2011,0
DE,2012,
JP,2000,
JP,2001,
JP,2002,
JP,2003,
JP,2004,
JP,2005,
JP,2006,
JP,2007,
JP,2008,
JP,2009,11083.55
JP,2010,6235.81
JP,2011,7729.96
JP,2012,
NL,2000,
NL,2001,
NL,2002,
NL,2003,950.21
NL,2004,1026.89
NL,2005,1003.68
NL,2006,1458.49
NL,2007,1645.18
NL,2008,1744.97
NL,2009,1333.77
NL,2010,1445.05
NL,2011,1691.14
NL,2012,
NO,2000,
NO,2001,
NO,2002,
NO,2003,
NO,2004,
NO,2005,
NO,2006,162.36
NO,2007,165.19
NO,2008,135.36
NO,2009,127.35
NO,2010,75.42
NO,2011,97.68
NO,2012,
PT,2000,
PT,2001,
PT,2002,
PT,2003,
PT,2004,
PT,2005,
PT,2006,
PT,2007,
PT,2008,
PT,2009,
PT,2010,
PT,2011,
PT,2012,
ES,2000,
ES,2001,
ES,2002,231.91
ES,2003,234.87
ES,2004,180.08
ES,2005,93.46
ES,2006,223.35
ES,2007,205.23
ES,2008,279.59
ES,2009,268.09
ES,2010,228.69
ES,2011,250.28
ES,2012,
SE,2000,
SE,2001,
SE,2002,
SE,2003,
SE,2004,
SE,2005,
SE,2006,
SE,2007,73.16
SE,2008,74.41
SE,2009,104.88
SE,2010,61.02
SE,2011,38.98
SE,2012,
CH,2000,
CH,2001,
CH,2002,
CH,2003,
CH,2004,
CH,2005,
CH,2006,
CH,2007,
CH,2008,
CH,2009,
CH,2010,
CH,2011,57.1
CH,2012,
GB,2000,
GB,2001,13.65
GB,2002,151.61
GB,2003,0
GB,2004,314.43
GB,2005,116.37
GB,2006,399.18
GB,2007,613.18
GB,2008,62.15
GB,2009,203.9
GB,2010,71.14
GB,2011,193.93
GB,2012,
US,2000,2254.59
US,2001,1760.71
US,2002,1183.2
US,2003,1994.2
US,2004,2195.76
US,2005,1133.83
US,2006,620.35
US,2007,1333.4
US,2008,380.51
US,2009,2201.2
US,2010,502.28
US,2011,41.52
US,2012,
