country,year,out_remittances
AD,2010,0.00
AE,2010,19393.14
AF,2010,0.00
AG,2010,17.02
AL,2010,4.78
AM,2010,240.46
AO,2010,10.79
AR,2010,1165.68
AS,2010,0.00
AT,2010,2986.29
AU,2010,8598.56
AW,2010,0.00
AZ,2010,69.45
BA,2010,0.10
BB,2010,10.64
BD,2010,3225.65
BE,2010,1040.00
BF,2010,294.35
BG,2010,21.55
BH,2010,1117.92
BI,2010,12.17
BJ,2010,641.32
BM,2010,0.00
BN,2010,276.98
BO,2010,206.41
BR,2010,368.10
BS,2010,0.00
BT,2010,156.59
BW,2010,0.00
BY,2010,139.61
BZ,2010,122.98
CA,2010,14397.02
CD,2010,0.00
CF,2010,23.85
CG,2010,21.63
CH,2010,962.02
CI,2010,907.55
CL,2010,368.57
CM,2010,946.02
CN,2010,0.00
CO,2010,92.45
CR,2010,524.91
CU,2010,0.00
CV,2010,4.57
CY,2010,164.71
CZ,2010,104.62
DE,2010,6466.67
DJ,2010,8.80
DK,2010,934.96
DM,2010,0.39
DO,2010,334.83
DZ,2010,0.00
EC,2010,431.36
EE,2010,19.75
EG,2010,146.36
ER,2010,0.00
ES,2010,8588.19
ET,2010,8.85
FI,2010,163.26
FJ,2010,19.58
FM,2010,0.00
FR,2010,7979.16
GA,2010,429.34
GB,2010,13762.32
GD,2010,0.00
GE,2010,47.17
GH,2010,0.00
GI,2010,0.00
GL,2010,0.00
GM,2010,263.06
GN,2010,67.11
GQ,2010,36.49
GR,2010,942.57
GT,2010,97.02
GU,2010,0.00
GW,2010,15.29
GY,2010,9.28
HK,2010,0.00
HN,2010,35.04
HR,2010,605.53
HT,2010,29.91
HU,2010,66.91
ID,2010,402.03
IE,2010,953.19
IL,2010,1729.14
IM,2010,0.00
IN,2010,7911.49
IQ,2010,72.33
IR,2010,285.64
IS,2010,26.80
IT,2010,8199.76
JM,2010,4.21
JO,2010,4655.50
JP,2010,7141.15
KE,2010,565.45
KG,2010,25.13
KH,2010,998.90
KI,2010,0.48
KM,2010,0.02
KN,2010,2.48
KP,2010,0.00
KR,2010,0.00
KW,2010,8709.34
KY,2010,0.00
KZ,2010,432.37
LA,2010,32.59
LB,2010,0.00
LC,2010,1.16
LI,2010,0.00
LK,2010,1122.63
LR,2010,73.34
LS,2010,3.66
LT,2010,30.99
LU,2010,39.76
LV,2010,80.42
LY,2010,1950.68
MA,2010,0.00
MC,2010,0.00
MD,2010,163.66
ME,2010,0.00
MG,2010,45.08
MH,2010,0.18
MK,2010,161.80
ML,2010,70.74
MM,2010,291.44
MN,2010,14.98
MO,2010,0.00
MP,2010,0.00
MR,2010,121.64
MT,2010,0.00
MU,2010,123.85
MV,2010,0.00
MW,2010,27.37
MX,2010,296.77
MY,2010,7124.09
MZ,2010,350.79
NA,2010,49.58
NC,2010,0.00
NE,2010,400.62
NG,2010,305.81
NI,2010,93.15
NL,2010,1965.22
NO,2010,642.93
NP,2010,2787.27
