id,year,value
AW,2011,  
AD,2011,  
AF,2011,"10,424,988.00"
AO,2011,"80,725,366.00"
AL,2011,"966,656.00"
AE,2011,  
AR,2011,"148,888.00"
AM,2011,"51,352.00"
AS,2011,  
AG,2011,"712,775.00"
AU,2011,  
AT,2011,  
AZ,2011, -   
BI,2011,"2,827,035.00"
BE,2011,  
BJ,2011,"47,888.00"
BF,2011,"8,192,952.00"
BD,2011,"5,910,054.00"
BG,2011,"7,073,788.00"
BH,2011,  
BS,2011,  
BA,2011,"289,943.00"
BY,2011,"44,224.00"
BZ,2011,"857,592.00"
BM,2011,  
BO,2011,"2,304.00"
BR,2011,"188,852.03"
BB,2011,  
BN,2011,  
BT,2011,"8,182,400.00"
BW,2011,"10,693,842.00"
CF,2011,"5,397,344.00"
CA,2011,  
CH,2011,  
CL,2011,"132,934,457.00"
CN,2011,"3,192,024.00"
CI,2011, -   
CM,2011,"88,200.00"
CG,2011,  
CO,2011,"1,729,224.00"
KM,2011,"56,418,225.00"
CV,2011,"200,796.00"
CR,2011,"8,859,291.00"
CU,2011,"5,248.04"
CW,2011,  
KY,2011,  
CY,2011,  
CZ,2011,  
DE,2011,  
DJ,2011,  
DM,2011,"427,315.00"
DK,2011,  
DO,2011,"791,475.00"
DZ,2011,  
EC,2011,"2,977,125.00"
EG,2011,"284,830.00"
ER,2011,"44,292,745.00"
ES,2011,  
EE,2011,"55,854.00"
ET,2011,"721,929.00"
FI,2011,  
FJ,2011,"147,234.00"
FR,2011,  
FO,2011,  
FM,2011,"23,496.00"
GA,2011,"958,720.00"
GB,2011,  
GE,2011,"5,986,584.00"
GH,2011,  
GN,2011,"966,330.00"
GM,2011,"5,836,680.00"
GW,2011,"5,869,556.00"
GQ,2011,  
GR,2011,  
GD,2011,"2,705,169.00"
GL,2011,  
GT,2011,"57,354.00"
GU,2011,  
GY,2011,"1,612,016.00"
HK,2011,  
HN,2011,"13,960.42"
HR,2011,  
HT,2011,  
HU,2011,"454,271,520.00"
ID,2011,"1,093,590.00"
IN,2011,"61,071,900.00"
IE,2011,  
IR,2011,"2,293,072.00"
IQ,2011,"3,780.00"
IS,2011,  
IL,2011,  
IT,2011,  
JM,2011,"10,000.00"
JO,2011,"16,560.00"
JP,2011,  
KZ,2011,"19,459,890.00"
KE,2011,  
KG,2011,"26,570.25"
KH,2011,"2,835,384.00"
KI,2011,"2,755,352.00"
KN,2011,"28,890.00"
KR,2011,  
XK,2011,"484,880.00"
KW,2011,  
LA,2011,"1,057,427.00"
LB,2011,  
LR,2011,"19,750,480.00"
LY,2011,"26,041.79"
LC,2011,  
LI,2011,  
LK,2011,  
LS,2011,"3,233,400.00"
LT,2011,"13,860.00"
LU,2011,  
LV,2011,  
MO,2011,  
MF,2011,  
MA,2011,"642,912.00"
MC,2011,  
MD,2011,  
MG,2011,"12,159,290.00"
MV,2011,  
MX,2011,"20,430.00"
MH,2011,"7,998.00"
MK,2011, -   
ML,2011,"1,165,870.00"
MT,2011,  
MM,2011,"9,845,500.00"
ME,2011,  
MN,2011,"2,294.00"
MP,2011,  
MZ,2011,  
MR,2011,"15,716,452.00"
MU,2011,"2,208,160.00"
MW,2011,"8,944,726.00"
MY,2011,396
NA,2011,  
NC,2011,  
NE,2011,"7,898,260.00"
NG,2011,  
NI,2011,"112,338,798.00"
NL,2011,  
NO,2011,  
NP,2011,"8,946,769.00"
NZ,2011,  
OM,2011,  
PK,2011,  
PA,2011,"836,293.00"
PE,2011,"24,903,100.00"
PH,2011,"11,560.25"
PW,2011,"191,862.00"
PG,2011,"440,190.00"
PL,2011, -   
PR,2011,  
KP,2011,  
PT,2011,  
PY,2011,"1,344,294.00"
PF,2011,  
QA,2011,  
RO,2011,"57,182.58"
RU,2011,"7,260.00"
RW,2011,  
SA,2011,  
SD,2011,"25,376,625.00"
SN,2011,"3,960,489.00"
SG,2011,  
SB,2011,  
SL,2011,  
SV,2011,"16,062.01"
SM,2011,  
SO,2011,  
RS,2011,315
SS,2011,"8,870,705.00"
ST,2011,"5,741,231.00"
SR,2011,"567,732.00"
SK,2011, -   
SI,2011,"7,902,056.00"
SE,2011,  
SZ,2011,"298,656.00"
SX,2011,  
SC,2011,"23,213.05"
SY,2011,"763,818.00"
TC,2011,  
TD,2011,"385,280.00"
TG,2011,  
TH,2011,  
TJ,2011,"479,376.00"
TM,2011, -   
TL,2011,"3,889,764.00"
TO,2011,"26,128.41"
TT,2011,"142,978.00"
TN,2011,"445,666.00"
TR,2011,"518,154.00"
TV,2011,"16,260,390.00"
TZ,2011,"547,166.00"
UG,2011,  
UA,2011,"14,196.00"
UY,2011,  
US,2011,  
UZ,2011,"2,085,650.00"
VC,2011,"71,020.00"
VE,2011,"8,415,072.00"
VI,2011,  
VN,2011,  
VU,2011,"2,283,400.00"
PS,2011,  
WS,2011,"95,760.00"
YE,2011,"10,676,379.00"
ZA,2011,"1,389,942.00"
CD,2011,"130,475.00"
ZM,2011,"18,270.00"
ZW,2011,  
