id,year,value
AL,2013,0.09251
AM,2013,0.264316
AO,2013,9.72706
AZ,2013,0.08007
BA,2013,0.010314
BD,2013,49.772572
BF,2013,11.160072
BG,2013,0.220281
BI,2013,9.071208
BJ,2013,6.798816
BO,2013,1.10448
BR,2013,14.032662
BT,2013,0.03615
BW,2013,0.472188
BY,2013,0
BZ,2013,0.062628
CD,2013,62.03025
CF,2013,4.125489
CG,2013,2.199829
CI,2013,9.022026
CL,2013,0.249636
CM,2013,8.555292
CN,2013,83.750346
CO,2013,4.776606
CR,2013,0.137061
CV,2013,0.076398
CZ,2013,0.015765
DJ,2013,0.284144
DO,2013,0.581848
EC,2013,1.202688
EE,2013,0.016632
ET,2013,40.528416
FJ,2013,0.090024
FM,2013,0.02908
GA,2013,0.237765
GE,2013,0.786618
GH,2013,5.757816
GM,2013,1.107414
GN,2013,6.70395
GT,2013,2.857149
GW,2013,1.382832
GY,2013,0.09348
HN,2013,2.220765
HR,2013,0.057084
HT,2013,6.600104
HU,2013,0.033626
ID,2013,67.8429
IN,2013,490.0485
IR,2013,0.20059
JM,2013,0.13279
KE,2013,17.406096
KG,2013,0.710424
KH,2013,1.256164
KI,2013,0.026422
KM,2013,0.185325
KZ,2013,0.015336
LA,2013,2.104942
LC,2013,0.078444
LK,2013,1.46118
LR,2013,3.12312
LS,2013,1.415856
LT,2013,0.033448
LV,2013,0.035577
MA,2013,1.501905
MD,2013,0.016732
ME,2013,0.011966
MG,2013,19.851012
MK,2013,0.097704
ML,2013,11.598069
MN,2013,0.03718
MR,2013,0.609525
MU,2013,0.0189
MV,2013,0.047775
MW,2013,13.264467
MX,2013,7.894612
MY,2013,0.111986
MZ,2013,19.791619
NA,2013,0.752705
NE,2013,12.281004
NG,2013,112.955152
NI,2013,0.75922
NP,2013,6.940802
PA,2013,0.216027
PE,2013,2.103216
PG,2013,3.364793
PH,2013,24.733995
PK,2013,44.192241
PL,2013,0.015216
PS,2013,0.021267
PY,2013,0.280151
RO,2013,0.417582
RS,2013,0.0537
RU,2013,0.258318
RW,2013,8.206956
SB,2013,0.272944
SC,2013,0.001368
SD,2013,7.519104
SI,2013,0.000618
SK,2013,0.016771
SL,2013,3.29085
SN,2013,7.697286
SR,2013,0.111989
SS,2013,9.3661
ST,2013,0.089928
SV,2013,0.436044
SZ,2013,0.683375
TD,2013,6.494785
TG,2013,4.499649
TH,2013,0.17537
TJ,2013,3.637335
TL,2013,0.551768
TM,2013,0.39824
TN,2013,0.309276
TO,2013,0.0044
TR,2013,1.036592
TT,2013,0.00756
TV,2013,0.00064
TZ,2013,32.144442
UA,2013,0.018196
UG,2013,19.597863
UY,2013,0.027962
UZ,2013,13.375152
VE,2013,2.96744
VN,2013,6.974352
VU,2013,0.0679
WS,2013,0.008987
XK,2013,0.034398
ZA,2013,14.159178
ZM,2013,10.841225
ZW,2013,4.54003
