country-id,year,population-0-14
AFG,2005,49.31
AFG,2006,49.28
AFG,2007,49.25
AFG,2008,49.17
AFG,2009,48.96
AFG,2010,48.6
AFG,2011,48.08
AFG,2012,47.42
AGO,2005,47.78
AGO,2006,47.82
AGO,2007,47.85
AGO,2008,47.87
AGO,2009,47.86
AGO,2010,47.81
AGO,2011,47.71
AGO,2012,47.58
ALB,2005,26.53
ALB,2006,25.75
ALB,2007,25.01
ALB,2008,24.29
ALB,2009,23.57
ALB,2010,22.83
ALB,2011,22.08
ALB,2012,21.33
ARG,2005,26.32
ARG,2006,26.01
ARG,2007,25.7
ARG,2008,25.41
ARG,2009,25.13
ARG,2010,24.88
ARG,2011,24.64
ARG,2012,24.42
ARM,2005,21.9
ARM,2006,21.42
ARM,2007,21.06
ARM,2008,20.82
ARM,2009,20.65
ARM,2010,20.51
ARM,2011,20.41
ARM,2012,20.34
ATG,2005,28.33
ATG,2006,27.98
ATG,2007,27.58
ATG,2008,27.14
ATG,2009,26.68
ATG,2010,26.23
ATG,2011,25.79
ATG,2012,25.36
AZE,2005,26.01
AZE,2006,25.13
AZE,2007,24.34
AZE,2008,23.67
AZE,2009,23.11
AZE,2010,22.69
AZE,2011,22.41
AZE,2012,22.25
BDI,2005,45.42
BDI,2006,44.89
BDI,2007,44.46
BDI,2008,44.16
BDI,2009,43.98
BDI,2010,43.93
BDI,2011,44.01
BDI,2012,44.2
BEN,2005,44.52
BEN,2006,44.31
BEN,2007,44.09
BEN,2008,43.87
BEN,2009,43.65
BEN,2010,43.42
BEN,2011,43.19
BEN,2012,42.95
BFA,2005,46.5
BFA,2006,46.42
BFA,2007,46.34
BFA,2008,46.25
BFA,2009,46.13
BFA,2010,46
BFA,2011,45.84
BFA,2012,45.66
BGD,2005,34.3
BGD,2006,33.78
BGD,2007,33.25
BGD,2008,32.73
BGD,2009,32.2
BGD,2010,31.66
BGD,2011,31.12
BGD,2012,30.57
BIH,2005,18.9
BIH,2006,18.65
BIH,2007,18.4
BIH,2008,18.13
BIH,2009,17.8
BIH,2010,17.4
BIH,2011,16.9
BIH,2012,16.35
BLR,2005,15.54
BLR,2006,15.19
BLR,2007,14.96
BLR,2008,14.84
BLR,2009,14.81
BLR,2010,14.85
BLR,2011,14.95
BLR,2012,15.1
BLZ,2005,37.91
BLZ,2006,37.44
BLZ,2007,36.96
BLZ,2008,36.47
BLZ,2009,35.97
BLZ,2010,35.45
BLZ,2011,34.93
BLZ,2012,34.4
BOL,2005,38.32
BOL,2006,37.9
BOL,2007,37.44
BOL,2008,36.97
BOL,2009,36.49
BOL,2010,36.04
BOL,2011,35.63
BOL,2012,35.23
BRA,2005,27.57
BRA,2006,27.17
BRA,2007,26.77
BRA,2008,26.36
BRA,2009,25.93
BRA,2010,25.49
BRA,2011,25.04
BRA,2012,24.57
BTN,2005,33.99
BTN,2006,32.94
BTN,2007,32.02
BTN,2008,31.2
BTN,2009,30.45
BTN,2010,29.76
BTN,2011,29.12
BTN,2012,28.53
BWA,2005,35.75
BWA,2006,35.38
BWA,2007,35.06
BWA,2008,34.78
BWA,2009,34.51
BWA,2010,34.25
BWA,2011,34
BWA,2012,33.75
CAF,2005,41.86
CAF,2006,41.68
CAF,2007,41.45
CAF,2008,41.2
CAF,2009,40.93
CAF,2010,40.65
CAF,2011,40.36
CAF,2012,40.07
CHL,2005,24.89
CHL,2006,24.29
CHL,2007,23.7
CHL,2008,23.13
CHL,2009,22.61
CHL,2010,22.14
CHL,2011,21.73
CHL,2012,21.38
CHN,2005,20.51
CHN,2006,19.76
CHN,2007,19.17
CHN,2008,18.71
CHN,2009,18.38
CHN,2010,18.14
CHN,2011,18.01
CHN,2012,17.98
CIV,2005,42.32
CIV,2006,42.28
CIV,2007,42.21
CIV,2008,42.09
CIV,2009,41.96
CIV,2010,41.81
CIV,2011,41.65
CIV,2012,41.48
CMR,2005,44.31
CMR,2006,44.13
CMR,2007,43.94
CMR,2008,43.76
CMR,2009,43.58
CMR,2010,43.41
CMR,2011,43.24
CMR,2012,43.08
COG,2005,42.21
COG,2006,42.23
COG,2007,42.22
COG,2008,42.2
COG,2009,42.2
COG,2010,42.23
COG,2011,42.29
COG,2012,42.37
COL,2005,30.78
COL,2006,30.36
COL,2007,29.95
COL,2008,29.54
COL,2009,29.15
COL,2010,28.76
COL,2011,28.39
COL,2012,28.03
COM,2005,41.53
COM,2006,41.67
COM,2007,41.84
COM,2008,42
COM,2009,42.13
COM,2010,42.2
COM,2011,42.21
COM,2012,42.17
CRI,2005,27.91
CRI,2006,27.25
CRI,2007,26.62
CRI,2008,26.02
CRI,2009,25.45
CRI,2010,24.92
CRI,2011,24.41
CRI,2012,23.94
CUB,2005,19.45
CUB,2006,19
CUB,2007,18.56
CUB,2008,18.13
CUB,2009,17.71
CUB,2010,17.31
CUB,2011,16.93
CUB,2012,16.58
DJI,2005,37.26
DJI,2006,36.47
DJI,2007,35.74
DJI,2008,35.09
DJI,2009,34.55
DJI,2010,34.14
DJI,2011,33.87
DJI,2012,33.72
DMA,2005,
DMA,2006,
DMA,2007,
DMA,2008,
DMA,2009,
DMA,2010,
DMA,2011,
DMA,2012,
DOM,2005,33.06
DOM,2006,32.68
DOM,2007,32.29
DOM,2008,31.9
DOM,2009,31.53
DOM,2010,31.17
DOM,2011,30.84
DOM,2012,30.53
DZA,2005,28.88
DZA,2006,28.21
DZA,2007,27.7
DZA,2008,27.35
DZA,2009,27.16
DZA,2010,27.12
DZA,2011,27.21
DZA,2012,27.42
ECU,2005,32.65
ECU,2006,32.3
ECU,2007,31.96
ECU,2008,31.62
ECU,2009,31.29
ECU,2010,30.95
ECU,2011,30.62
ECU,2012,30.29
EGY,2005,32.51
EGY,2006,32.18
EGY,2007,31.94
EGY,2008,31.77
EGY,2009,31.64
EGY,2010,31.51
EGY,2011,31.38
EGY,2012,31.25
ERI,2005,43.52
ERI,2006,43.22
ERI,2007,43.06
ERI,2008,43.01
ERI,2009,43.01
ERI,2010,43.02
ERI,2011,43.06
ERI,2012,43.1
ETH,2005,46.21
ETH,2006,45.98
ETH,2007,45.69
ETH,2008,45.33
ETH,2009,44.91
ETH,2010,44.43
ETH,2011,43.89
ETH,2012,43.29
FJI,2005,30.62
FJI,2006,30.03
FJI,2007,29.62
FJI,2008,29.36
FJI,2009,29.17
FJI,2010,29.04
FJI,2011,28.94
FJI,2012,28.88
FSM,2005,38.8
FSM,2006,38.49
FSM,2007,38.16
FSM,2008,37.79
FSM,2009,37.37
FSM,2010,36.9
FSM,2011,36.38
FSM,2012,35.81
GAB,2005,39.51
GAB,2006,39.3
GAB,2007,39.1
GAB,2008,38.91
GAB,2009,38.75
GAB,2010,38.63
GAB,2011,38.55
GAB,2012,38.49
GEO,2005,18.35
GEO,2006,17.88
GEO,2007,17.55
GEO,2008,17.36
GEO,2009,17.28
GEO,2010,17.3
GEO,2011,17.41
GEO,2012,17.62
GHA,2005,40.19
GHA,2006,39.93
GHA,2007,39.67
GHA,2008,39.41
GHA,2009,39.17
GHA,2010,38.96
GHA,2011,38.77
GHA,2012,38.59
GIN,2005,43.62
GIN,2006,43.49
GIN,2007,43.34
GIN,2008,43.19
GIN,2009,43.02
GIN,2010,42.84
GIN,2011,42.65
GIN,2012,42.46
GMB,2005,45.99
GMB,2006,46.01
GMB,2007,46.02
GMB,2008,46.01
GMB,2009,46
GMB,2010,45.97
GMB,2011,45.94
GMB,2012,45.9
GNB,2005,42.87
GNB,2006,42.69
GNB,2007,42.5
GNB,2008,42.29
GNB,2009,42.09
GNB,2010,41.9
GNB,2011,41.72
GNB,2012,41.55
GNQ,2005,40.6
GNQ,2006,40.27
GNQ,2007,39.98
GNQ,2008,39.74
GNQ,2009,39.52
GNQ,2010,39.32
GNQ,2011,39.13
GNQ,2012,38.95
GRD,2005,30.04
GRD,2006,29.31
GRD,2007,28.71
GRD,2008,28.24
GRD,2009,27.85
GRD,2010,27.51
GRD,2011,27.21
GRD,2012,26.96
GTM,2005,43.16
GTM,2006,42.88
GTM,2007,42.57
GTM,2008,42.23
GTM,2009,41.88
GTM,2010,41.52
GTM,2011,41.16
GTM,2012,40.8
GUY,2005,36.59
GUY,2006,36.91
GUY,2007,37.24
GUY,2008,37.51
GUY,2009,37.64
GUY,2010,37.56
GUY,2011,37.26
GUY,2012,36.77
HND,2005,39.81
HND,2006,39.22
HND,2007,38.6
HND,2008,37.98
HND,2009,37.38
HND,2010,36.8
HND,2011,36.24
HND,2012,35.72
HTI,2005,38.07
HTI,2006,37.67
HTI,2007,37.29
HTI,2008,36.91
HTI,2009,36.54
HTI,2010,36.15
HTI,2011,35.76
HTI,2012,35.35
IDN,2005,30
IDN,2006,30
IDN,2007,30.02
IDN,2008,30.02
IDN,2009,29.97
IDN,2010,29.83
IDN,2011,29.59
IDN,2012,29.27
IND,2005,32.22
IND,2006,31.81
IND,2007,31.39
IND,2008,30.97
IND,2009,30.57
IND,2010,30.17
IND,2011,29.8
IND,2012,29.43
IRN,2005,25.82
IRN,2006,24.85
IRN,2007,24.23
IRN,2008,23.88
IRN,2009,23.7
IRN,2010,23.62
IRN,2011,23.61
IRN,2012,23.68
IRQ,2005,41.94
IRQ,2006,41.84
IRQ,2007,41.75
IRQ,2008,41.64
IRQ,2009,41.47
IRQ,2010,41.23
IRQ,2011,40.9
IRQ,2012,40.51
JAM,2005,31.12
JAM,2006,30.77
JAM,2007,30.41
JAM,2008,30.01
JAM,2009,29.56
JAM,2010,29.04
JAM,2011,28.44
JAM,2012,27.78
