id,year,value-0-14,value-15-64,value-65-and-above
AD,1960,,,
AD,1961,,,
AD,1962,,,
AD,1963,,,
AD,1964,,,
AD,1965,,,
AD,1966,,,
AD,1967,,,
AD,1968,,,
AD,1969,,,
AD,1970,,,
AD,1971,,,
AD,1972,,,
AD,1973,,,
AD,1974,,,
AD,1975,,,
AD,1976,,,
AD,1977,,,
AD,1978,,,
AD,1979,,,
AD,1980,,,
AD,1981,,,
AD,1982,,,
AD,1983,,,
AD,1984,,,
AD,1985,,,
AD,1986,,,
AD,1987,,,
AD,1988,,,
AD,1989,,,
AD,1990,,,
AD,1991,,,
AD,1992,,,
AD,1993,,,
AD,1994,,,
AD,1995,,,
AD,1996,,,
AD,1997,,,
AD,1998,,,
AD,1999,,,
AD,2000,,,
AD,2001,,,
AD,2002,,,
AD,2003,,,
AD,2004,,,
AD,2005,,,
AD,2006,,,
AD,2007,,,
AD,2008,,,
AD,2009,,,
AD,2010,,,
AD,2011,,,
AD,2012,,,
AD,2013,,,
AD,2014,,,
AD,2015,,,
AE,1960,41398,48056,3149
AE,1961,44009,53795,3181
AE,1962,47455,61508,3277
AE,1963,51276,70559,3381
AE,1964,54846,79946,3428
AE,1965,57948,88988,3397
AE,1966,60404,97355,3318
AE,1967,63026,105525,3229
AE,1968,66842,115301,3169
AE,1969,73039,129345,3186
AE,1970,82520,149595,3343
AE,1971,90665,181138,3357
AE,1972,100429,219816,3792
AE,1973,112895,265181,4747
AE,1974,129167,316544,6237
AE,1975,150242,372842,8181
AE,1976,170131,442651,9269
AE,1977,194302,517921,10626
AE,1978,223065,592166,12163
AE,1979,254081,659498,13631
AE,1980,284599,717345,14845
AE,1981,312629,764957,15522
AE,1982,339665,803056,15755
AE,1983,367051,835457,15715
AE,1984,395990,868285,16003
AE,1985,427142,906681,16475
AE,1986,455916,957609,17024
AE,1987,483343,1017724,17924
AE,1988,509671,1085189,19044
AE,1989,534009,1158076,20203
AE,1990,555393,1234871,21194
AE,1991,572044,1319336,22002
AE,1992,587735,1408868,22411
AE,1993,601972,1503122,22981
AE,1994,614632,1600371,23278
AE,1995,626561,1699659,23737
AE,1996,649752,1793050,24924
AE,1997,673719,1895030,26471
AE,1998,703399,2001940,28431
AE,1999,739217,2114398,30284
AE,2000,778088,2239709,32331
AE,2001,766817,2418547,32822
AE,2002,752124,2608675,33262
AE,2003,747640,2843713,34445
AE,2004,766165,3173202,36579
AE,2005,814375,3627263,40338
AE,2006,871874,4257494,42404
AE,2007,939980,5024444,45677
AE,2008,1012941,5837520,49681
AE,2009,1074907,6576579,53938
AE,2010,1111149,7159998,58306
AE,2011,1177441,7490024,66384
AE,2012,1217546,7658900,76097
AE,2013,1240285,7714717,84976
AE,2014,1256613,7735030,94496
AE,2015,1276481,7776093,104389
AF,1960,3793104,4949835,251854
AF,1961,3892352,5015058,257535
AF,1962,3984184,5097028,261626
AF,1963,4072833,5192791,265930
AF,1964,4165806,5295301,267538
AF,1965,4266243,5400861,269248
AF,1966,4390389,5483419,275034
AF,1967,4516562,5571049,280989
AF,1968,4644828,5668768,286194
AF,1969,4778124,5781704,289682
AF,1970,4917749,5911975,291373
AF,1971,5085553,6028252,300157
AF,1972,5250341,6159572,306983
AF,1973,5408929,6301000,312585
AF,1974,5556778,6442266,316510
AF,1975,5686237,6578368,319607
AF,1976,5831854,6673591,325917
AF,1977,5964209,6761961,330329
AF,1978,6065182,6826801,331886
AF,1979,6106323,6848859,328097
AF,1980,6070644,6822373,318395
AF,1981,6007178,6673920,315825
AF,1982,5885089,6474104,307808
AF,1983,5731882,6253743,293470
AF,1984,5590541,6045599,276370
AF,1985,5501226,5873401,255871
AF,1986,5428925,5753791,256232
AF,1987,5387785,5692776,256237
AF,1988,5411453,5706085,258230
AF,1989,5538344,5807658,262349
AF,1990,5800881,6001203,266693
AF,1991,6142736,6362714,283924
AF,1992,6595153,6842575,307902
