di-id,year,value
AW,1960,54208
AW,1961,55435
AW,1962,56226
AW,1963,56697
AW,1964,57029
AW,1965,57360
AW,1966,57712
AW,1967,58049
AW,1968,58385
AW,1969,58724
AW,1970,5800
AW,1971,59438
AW,1972,59849
AW,1973,60239
AW,1974,60525
AW,1975,60655
AW,1976,60589
AW,1977,60366
AW,1978,60106
AW,1979,59978
AW,1980,60096
AW,1981,60567
AW,1982,61344
AW,1983,62204
AW,1984,62831
AW,1985,63028
AW,1986,62644
AW,1987,61835
AW,1988,61077
AW,1989,61032
AW,1990,62148
AW,1991,64623
AW,1992,68235
AW,1993,72498
AW,1994,76700
AW,1995,80326
AW,1996,83195
AW,1997,85447
AW,1998,87276
AW,1999,89004
AW,2000,90858
AW,2001,92894
AW,2002,94995
AW,2003,97015
AW,2004,98742
AW,2005,100031
AW,2006,100830
AW,2007,101218
AW,2008,101342
AW,2009,101416
AW,2010,101597
AW,2011,101936
AW,2012,102393
AW,2013,102921
AW,2014,103441
AW,2015,
AD,1960,13414
AD,1961,14376
AD,1962,15376
AD,1963,16410
AD,1964,17470
AD,1965,18551
AD,1966,19646
AD,1967,20755
AD,1968,21888
AD,1969,23061
AD,1970,5800
AD,1971,25560
AD,1972,26892
AD,1973,28231
AD,1974,29514
AD,1975,30706
AD,1976,31781
AD,1977,32769
AD,1978,33746
AD,1979,34819
AD,1980,36063
AD,1981,37502
AD,1982,39112
AD,1983,40862
AD,1984,42704
AD,1985,44597
AD,1986,46515
AD,1987,48458
AD,1988,50431
AD,1989,52449
AD,1990,54511
AD,1991,56674
AD,1992,58904
AD,1993,61003
AD,1994,62707
AD,1995,63854
AD,1996,64291
AD,1997,64147
AD,1998,63888
AD,1999,64161
AD,2000,65399
AD,2001,67770
AD,2002,71046
AD,2003,74783
AD,2004,78337
AD,2005,81223
AD,2006,83373
AD,2007,84878
AD,2008,85616
AD,2009,85474
AD,2010,84419
AD,2011,82326
AD,2012,79316
AD,2013,75902
AD,2014,72786
AD,2015,
AF,1960,8994793
AF,1961,9164945
AF,1962,9343772
AF,1963,9531555
AF,1964,9728645
AF,1965,9935358
AF,1966,10148841
AF,1967,10368600
AF,1968,10599790
AF,1969,10849510
