id,year,value,original-value
AD,1990,,
AD,1991,,
AD,1992,,
AD,1993,,
AD,1994,,
AD,1995,,
AD,1996,,
AD,1997,,
AD,1998,,
AD,1999,,
AD,2000,,
AD,2001,,
AD,2002,,
AD,2003,,
AD,2004,,
AD,2005,,
AD,2006,,
AD,2007,,
AD,2008,,
AD,2009,,
AD,2010,,
AD,2011,,
AD,2012,,
AD,2013,,
AE,1990,,
AE,1991,,
AE,1992,,
AE,1993,,
AE,1994,,
AE,1995,,
AE,1996,,
AE,1997,,
AE,1998,,
AE,1999,,
AE,2000,,
AE,2001,,
AE,2002,,
AE,2003,,
AE,2004,,
AE,2005,,
AE,2006,,
AE,2007,,
AE,2008,,
AE,2009,,
AE,2010,,
AE,2011,,
AE,2012,,
AE,2013,,
AF,1990,,
AF,1991,,
AF,1992,,
AF,1993,,
AF,1994,,
AF,1995,,
AF,1996,,
AF,1997,,
AF,1998,,
AF,1999,,
AF,2000,,
AF,2001,,
AF,2002,,
AF,2003,,
AF,2004,,
AF,2005,,
AF,2006,,
AF,2007,,
AF,2008,,
AF,2009,,
AF,2010,,
AF,2011,,
AF,2012,,
AF,2013,,
AG,1990,,
AG,1991,,
AG,1992,,
AG,1993,,
AG,1994,,
AG,1995,,
AG,1996,,
AG,1997,,
AG,1998,,
AG,1999,,
AG,2000,,
AG,2001,,
AG,2002,,
AG,2003,,
AG,2004,,
AG,2005,,
AG,2006,,
AG,2007,,
AG,2008,,
AG,2009,,
AG,2010,,
AG,2011,,
AG,2012,,
AG,2013,,
AL,1990,,
AL,1991,,
AL,1992,,
AL,1993,,
AL,1994,,
AL,1995,,
AL,1996,0.2,0.2
AL,1997,0.2883333333,
AL,1998,0.3766666667,
AL,1999,0.465,
AL,2000,0.5533333333,
AL,2001,0.6416666667,
AL,2002,0.73,0.73
AL,2003,0.63,
AL,2004,0.53,0.53
AL,2005,0.44,0.44
AL,2006,0.36,
AL,2007,0.28,
AL,2008,0.2,0.2
AL,2009,0.265,
AL,2010,0.33,
AL,2011,0.395,
AL,2012,0.46,0.46
AL,2013,,
AM,1990,,
AM,1991,,
AM,1992,,
AM,1993,,
AM,1994,,
AM,1995,,
AM,1996,17.5,17.5
AM,1997,17.2533333333,
AM,1998,17.0066666667,
AM,1999,16.76,16.76
AM,2000,17.795,
AM,2001,18.83,18.83
AM,2002,14.5,14.5
AM,2003,10.68,10.68
AM,2004,7.6,7.6
AM,2005,4.22,4.22
AM,2006,3.17,3.17
AM,2007,3.37,3.37
AM,2008,1.41,1.41
AM,2009,1.56,1.56
AM,2010,2.5,2.5
AM,2011,2.45,2.45
AM,2012,1.75,1.75
AM,2013,,
AO,1990,,
AO,1991,,
AO,1992,,
AO,1993,,
AO,1994,,
AO,1995,,
AO,1996,,
AO,1997,,
AO,1998,,
AO,1999,,
AO,2000,54.31,54.31
AO,2001,53.0944444444,
