id,year,value
AW,2000,
AD,2000,
AF,2000,
AO,2000,106
AL,2000,0
AE,2000,
AR,2000,30
AM,2000,21
AS,2000,
AG,2000,
AU,2000,
AT,2000,
AZ,2000,244
BI,2000,3
BE,2000,
BJ,2000,0
BF,2000,13
BD,2000,26
BG,2000,11
BH,2000,
BS,2000,
BA,2000,0
BY,2000,4
BZ,2000,131
BM,2000,
BO,2000,20
BR,2000,13
BB,2000,
BN,2000,
BT,2000,
BW,2000,1151
CF,2000,0
CA,2000,
CH,2000,
CL,2000,
CN,2000,50
CI,2000,121
CM,2000,26
CG,2000,288
CO,2000,27
KM,2000,0
CV,2000,12
CR,2000,279
CU,2000,
CW,2000,
KY,2000,
CY,2000,
CZ,2000,
DE,2000,
DJ,2000,126
DM,2000,162
DK,2000,
DO,2000,112
DZ,2000,0
EC,2000,
EG,2000,7
ER,2000,16
ES,2000,
EE,2000,
ET,2000,7
FI,2000,
FJ,2000,253
FR,2000,
FO,2000,
FM,2000,
GA,2000,
GB,2000,
GE,2000,28
GH,2000,15
GN,2000,85
GM,2000,0
GW,2000,0
GQ,2000,
GR,2000,
GD,2000,71
GL,2000,
GT,2000,108
GU,2000,
GY,2000,9
HK,2000,
HN,2000,42
HR,2000,
HT,2000,0
HU,2000,0
ID,2000,
IN,2000,0
IE,2000,
IR,2000,0
IQ,2000,
IS,2000,
IL,2000,
IT,2000,
JM,2000,62
JO,2000,4
JP,2000,
KZ,2000,82
KE,2000,26
KG,2000,
KH,2000,83
KI,2000,
KN,2000,
KR,2000,
XK,2000,
KW,2000,
LA,2000,0
LB,2000,0
LR,2000,0
LY,2000,
LC,2000,57
LI,2000,
LK,2000,63
LS,2000,211
LT,2000,
LU,2000,
LV,2000,
MO,2000,
MF,2000,
MA,2000,64
MC,2000,
MD,2000,2
MG,2000,5
MV,2000,154
MX,2000,33
MH,2000,
MK,2000,15
ML,2000,92
MT,2000,
MM,2000,65
ME,2000,
MN,2000,16
MP,2000,
MZ,2000,0
MR,2000,0
MU,2000,3
MW,2000,38
MY,2000,189
NA,2000,
NC,2000,
NE,2000,23
NG,2000,174
NI,2000,26
NL,2000,
NO,2000,
NP,2000,
NZ,2000,
OM,2000,
PK,2000,139
PA,2000,80
PE,2000,43
PH,2000,10
PW,2000,
PG,2000,201
PL,2000,
PR,2000,
KP,2000,
PT,2000,
PY,2000,86
PF,2000,
QA,2000,
RO,2000,7
RU,2000,
RW,2000,38
SA,2000,
SD,2000,
SN,2000,120
SG,2000,
SB,2000,64
SL,2000,5
SV,2000,34
SM,2000,
SO,2000,
RS,2000,
SS,2000,
ST,2000,0
SR,2000,
SK,2000,
SI,2000,
SE,2000,
SZ,2000,62
SX,2000,
SC,2000,34
SY,2000,
TC,2000,
TD,2000,0
TG,2000,42
TH,2000,0
TJ,2000,0
TM,2000,0
TL,2000,
TO,2000,0
TT,2000,
TN,2000,60
TR,2000,28
TV,2000,
TZ,2000,5
UG,2000,11
UA,2000,7
UY,2000,
US,2000,
UZ,2000,0
VC,2000,34
VE,2000,30
VI,2000,
SK,2003,
VN,2000,0
VU,2000,108
PS,2000,
WS,2000,
YE,2000,
ZA,2000,263
CD,2000,0
ZM,2000,59
ZW,2000,0
AW,2001,
AD,2001,
AF,2001,
AO,2001,43
AL,2001,0
AE,2001,
AR,2001,64
AM,2001,5
AS,2001,
AG,2001,
AU,2001,
AT,2001,
AZ,2001,145
BI,2001,15889
BE,2001,
BJ,2001,1
BF,2001,75
BD,2001,49
BG,2001,18
BH,2001,
BS,2001,
BA,2001,2
BY,2001,14
BZ,2001,54
BM,2001,
BO,2001,24
BR,2001,22
BB,2001,
BN,2001,
BT,2001,
BW,2001,1120
CF,2001,0
CA,2001,
CH,2001,
CL,2001,
CN,2001,46
CI,2001,99
CM,2001,74
CG,2001,517
CO,2001,36
KM,2001,0
CV,2001,11
