id,year,value
d18943,2009,99.6
d18944,2009,99.2
d18946,2009,237.1
d18947,2009,99.7
d18948,2009,99.6
d18949,2009,65.5
d18950,2009,48.6
d18951,2009,77.5
d18952,2009,96.6
d18953,2009,94.3
d18954,2009,29.3
d18955,2009,98.2
d18956,2009,55.7
d18957,2009,69.1
d18958,2009,97
d18959,2009,97.9
d18960,2009,35.4
d18961,2009,97.6
d18962,2009,90.6
d18964,2009,98.7
d18965,2009,51.5
d18966,2009,33.9
d18967,2009,13.3
d18968,2009,61.4
d18969,2009,99.2
d18970,2009,87.4
d18971,2009,66.8
d18972,2009,99.4
d18973,2009,82.7
d18974,2009,57
d18975,2009,94.9
d18976,2009,81.2
d18977,2009,91.9
d18978,2009,88.6
d18979,2009,97
d18980,2009,84.4
d18981,2009,70.9
d18982,2009,26.5
d18983,2009,96
d18984,2009,17.8
d18985,2009,98
d18986,2009,32.8
d18987,2009,96.6
d18988,2009,92
d18989,2009,122.1
d18990,2009,99.1
d18991,2009,74.2
