id,year,total-unemployment
AW,2000,
AD,2000,
AF,2000,4.699999809
AO,2000,6.900000095
AL,2000,13.5
AE,2000,2.299999952
AR,2000,15
AM,2000,18.89999962
AS,2000,
AG,2000,
AU,2000,6.300000191
AT,2000,3.5
AZ,2000,11.80000019
BI,2000,7.300000191
BE,2000,6.599999905
BJ,2000,0.800000012
BF,2000,3
BD,2000,3.299999952
BG,2000,16.20000076
BH,2000,6.099999905
BS,2000,7.199999809
BA,2000,24.89999962
BY,2000,6.400000095
BZ,2000,10.89999962
BM,2000,
BO,2000,4.800000191
BR,2000,9.5
BB,2000,9.300000191
BN,2000,4
BT,2000,1.700000048
BW,2000,22.10000038
CF,2000,7
CA,2000,6.800000191
CH,2000,2.700000048
CL,2000,9.199999809
CN,2000,4.5
CI,2000,4.099999905
CM,2000,5.900000095
CG,2000,6.699999809
CO,2000,16.60000038
KM,2000,6.800000191
CV,2000,7.199999809
CR,2000,5.099999905
CU,2000,5.400000095
CW,2000,
KY,2000,
CY,2000,5
CZ,2000,8.800000191
DE,2000,7.699999809
DJ,2000,
DM,2000,
DK,2000,4.5
DO,2000,14.19999981
DZ,2000,29.79999924
EC,2000,7.199999809
EG,2000,9
ER,2000,7.699999809
ES,2000,14.19999981
EE,2000,13.10000038
ET,2000,7.900000095
FI,2000,9.699999809
FJ,2000,7.699999809
FR,2000,10.19999981
FO,2000,
FM,2000,
GA,2000,20.70000076
GB,2000,5.599999905
GE,2000,10.80000019
GH,2000,10.39999962
GN,2000,1.899999976
GM,2000,7.199999809
GW,2000,6.800000191
GQ,2000,6.5
GR,2000,11.10000038
GD,2000,
GL,2000,
GT,2000,1.399999976
GU,2000,
GY,2000,11.5
HK,2000,4.900000095
HN,2000,3.900000095
HR,2000,16.10000038
HT,2000,7.400000095
HU,2000,6.400000095
ID,2000,6.099999905
IN,2000,4.300000191
IE,2000,4.300000191
IR,2000,13
IQ,2000,18.29999924
IS,2000,2.299999952
IL,2000,8.800000191
IT,2000,10.80000019
JM,2000,15.5
JO,2000,13.69999981
JP,2000,4.800000191
KZ,2000,12.80000019
KE,2000,9.800000191
KG,2000,7.5
KH,2000,2.5
KI,2000,
KN,2000,
KR,2000,4.400000095
XK,2000,
KW,2000,0.800000012
LA,2000,1.899999976
LB,2000,8.899999619
LR,2000,3.900000095
LY,2000,20.10000038
LC,2000,
LI,2000,
LK,2000,7.699999809
LS,2000,36.90000153
LT,2000,15.89999962
LU,2000,2.299999952
LV,2000,14.19999981
MO,2000,6.699999809
MF,2000,
MA,2000,13.60000038
MC,2000,
MD,2000,8.5
MG,2000,2.599999905
MV,2000,10.80000019
MX,2000,2.599999905
MH,2000,
MK,2000,32.20000076
ML,2000,8.300000191
MT,2000,6.300000191
MM,2000,3.5
ME,2000,19.70000076
MN,2000,6.099999905
MP,2000,
MZ,2000,8.600000381
MR,2000,32.40000153
MU,2000,7.800000191
MW,2000,7.599999905
MY,2000,3
NA,2000,20.29999924
NC,2000,
NE,2000,5
NG,2000,7.599999905
NI,2000,6.199999809
NL,2000,2.700000048
NO,2000,3.400000095
NP,2000,2.700000048
NZ,2000,6.199999809
OM,2000,8.600000381
PK,2000,7.199999809
PA,2000,13.5
PE,2000,6.300000191
PH,2000,11.19999981
PW,2000,
PG,2000,2.900000095
PL,2000,16.10000038
PR,2000,10.30000019
KP,2000,4.599999905
PT,2000,3.900000095
PY,2000,7.599999905
PF,2000,
QA,2000,0.899999976
RO,2000,7
RU,2000,10.60000038
RW,2000,0.600000024
SA,2000,4.599999905
SD,2000,15.10000038
SN,2000,10.19999981
SG,2000,3.700000048
SB,2000,4.900000095
SL,2000,3.299999952
SV,2000,7
SM,2000,
SO,2000,6.900000095
RS,2000,12.60000038
SS,2000,
ST,2000,
SR,2000,14.80000019
SK,2000,18.79999924
SI,2000,6.900000095
SE,2000,5.900000095
