id,year,value
d314,2011,40
d301,2011,23
d322,2011,31
d323,2011,
d315,2011,15
d324,2011,6
d216,2011,8
d316,2011,21
d302,2011,25
d303,2011,31
d217,2011,43
d218,2011,32
d201,2011,16
d420,2011,34
d117,2011,34
d219,2011,20
d118,2011,49
d220,2011,18
d225,2011,
d416,2011,46
d401,2011,39
d402,2011,65
d202,2011,22
d221,2011,18
d119,2011,27
d120,2011,22
d226,2011,24
d317,2011,43
d121,2011,17
d304,2011,30
d403,2011,25
d417,2011,38
d203,2011,55
d418,2011,75
d204,2011,44
d318,2011,16
d404,2011,50
d405,2011,52
d213,2011,27
d101,2011,31
d222,2011,17
d122,2011,
d102,2011,72
d205,2011,24
d413,2011,27
d414,2011,37
d206,2011,29
d406,2011,49
d207,2011,17
d112,2011,25
d407,2011,22
d103,2011,55
d227,2011,18
d419,2011,21
d421,2011,25
d408,2011,62
d305,2011,24
d319,2011,22
d325,2011,24
d306,2011,18
d208,2011,16
d228,2011,
d123,2011,14
d422,2011,49
d415,2011,34
d326,2011,20
d307,2011,29
d229,2011,10
d104,2011,30
d124,2011,26
d114,2011,88
d223,2011,39
d320,2011,
d105,2011,32
d409,2011,33
d214,2011,25
d209,2011,41
d410,2011,45
d423,2011,
d115,2011,25
d308,2011,21
d309,2011,15
d106,2011,35
d107,2011,
d108,2011,25
d311,2011,41
d116,2011,22
d109,2011,39
d230,2011,32
d224,2011,19
d327,2011,28
d310,2011,39
d231,2011,36
d424,2011,
d411,2011,36
d328,2011,37
d329,2011,20
d321,2011,32
d312,2011,19
d210,2011,18
d110,2011,38
d425,2011,35
d412,2011,50
d232,2011,
d426,2011,47
d215,2011,52
d211,2011,4
d111,2011,27
d212,2011,23
d113,2011,32
d313,2011,18
d330,2011,35
d314,2012,63
d301,2012,20
d322,2012,25
d323,2012,10
d315,2012,20
d324,2012,6
d216,2012,16
d316,2012,31
d302,2012,24
d303,2012,25
d217,2012,36
d218,2012,37
d201,2012,15
d420,2012,29
d117,2012,33
d219,2012,16
d118,2012,32
d220,2012,19
d225,2012,26
d416,2012,28
d401,2012,35
d402,2012,50
d202,2012,26
d221,2012,20
d119,2012,109
d120,2012,13
d226,2012,20
d317,2012,39
d121,2012,16
d304,2012,46
d403,2012,24
d417,2012,111
d203,2012,25
d418,2012,66
d204,2012,39
d318,2012,
d404,2012,49
d405,2012,47
d213,2012,21
d101,2012,28
d222,2012,28
d122,2012,17
d102,2012,44
d205,2012,23
d413,2012,44
d414,2012,22
d206,2012,25
d406,2012,35
d207,2012,23
d112,2012,22
d407,2012,17
d103,2012,48
d227,2012,12
d419,2012,43
d421,2012,18
d408,2012,55
d305,2012,25
d319,2012,25
d325,2012,26
d306,2012,22
d208,2012,5
d228,2012,8
d123,2012,12
d422,2012,45
d415,2012,56
