id,year,value
d101,2014,61.6
d102,2014,9.9
d103,2014,34.7
d104,2014,22.1
d105,2014,36.1
d106,2014,21.1
d107,2014,35.5
d108,2014,22.1
d109,2014,52.6
d110,2014,54.3
d111,2014,47.1
d112,2014,22
d113,2014,19.7
d114,2014,47.1
d115,2014,35.5
d116,2014,
d117,2014,22.1
d118,2014,36.1
d119,2014,21.1
d120,2014,
d121,2014,
d122,2014,36.1
d123,2014,34.7
d124,2014,36.1
d201,2014,39.4
d202,2014,36
d203,2014,25.2
d204,2014,27.6
d205,2014,16.4
d206,2014,24.8
d207,2014,13.3
d208,2014,9.8
d209,2014,22.9
d210,2014,
d211,2014,26.4
d212,2014,19.9
d213,2014,0.34
d214,2014,33
d215,2014,41.5
d216,2014,13.3
d217,2014,22.9
d218,2014,22.9
d219,2014,9.8
d220,2014,24.8
d221,2014,19.9
d222,2014,16.4
d223,2014,22.9
d224,2014,25.2
d225,2014,41.5
d226,2014,16.4
d227,2014,
d228,2014,24.8
d229,2014,25.2
d230,2014,39.4
d231,2014,9.8
d232,2014,26.4
d301,2014,18.8
d302,2014,33.5
d303,2014,29.7
d304,2014,17.2
d305,2014,18.3
d306,2014,41
d307,2014,14.4
d308,2014,24.8
d309,2014,15.4
d310,2014,19.7
d311,2014,37.6
d312,2014,13.2
d313,2014,57.5
d314,2014,
d315,2014,14.4
d316,2014,17.2
d317,2014,14.4
d318,2014,
d319,2014,29.7
d320,2014,29.7
d321,2014,33.5
d322,2014,13.2
d323,2014,14.4
d324,2014,37.6
d325,2014,33.5
d326,2014,18.3
d327,2014,24.8
d328,2014,17.2
d329,2014,14.4
d330,2014,19.7
d401,2014,27.3
d402,2014,36.3
d403,2014,36
d404,2014,15.3
d405,2014,41.5
d406,2014,37.8
d407,2014,24.8
d408,2014,43.9
d409,2014,64.4
d410,2014,45.7
d411,2014,
d412,2014,34.4
d413,2014,34.9
d414,2014,29.9
d415,2014,41.4
d416,2014,
d417,2014,45.7
d418,2014,45.7
d419,2014,55.7
d420,2014,36.3
d421,2014,64.4
d422,2014,31.4
d423,2014,36.3
d424,2014,27.3
d425,2014,36.3
d426,2014,36.3
