id,year,value
d101,2010,56
d101,2011,65
d101,2012,
d101,2013,67
d102,2010,75
d102,2011,78
d102,2012,
d102,2013,75
d103,2010,45
d103,2011,56
d103,2012,
d103,2013,48
d104,2010,58
d104,2011,63
d104,2012,
d104,2013,56
d105,2010,56
d105,2011,69
d105,2012,
d105,2013,64
d106,2010,49
d106,2011,62
d106,2012,
d106,2013,58
d107,2010,50
d107,2011,59
d107,2012,
d107,2013,51
d108,2010,61
d108,2011,69
d108,2012,
d108,2013,62
d109,2010,57
d109,2011,63
d109,2012,
d109,2013,51
d110,2010,48
d110,2011,61
d110,2012,
d110,2013,55
d111,2010,52
d111,2011,60
d111,2012,
d111,2013,55
d112,2010,51
d112,2011,54
d112,2012,
d112,2013,45
d113,2010,68
d113,2011,73
d113,2012,
d113,2013,69
d114,2010,63
d114,2011,67
d114,2012,
d114,2013,66
d115,2010,52
d115,2011,62
d115,2012,
d115,2013,52
d116,2010,51
d116,2011,60
d116,2012,
d116,2013,53
d117,2010,55
d117,2011,64
d117,2012,
d117,2013,55
d118,2010,56
d118,2011,56
d118,2012,
d118,2013,52
d119,2010,49
d119,2011,53
d119,2012,
d119,2013,50
d120,2010,61
d120,2011,56
d120,2012,
d120,2013,49
d121,2010,49
d121,2011,56
d121,2012,
d121,2013,48
d122,2010,56
d122,2011,61
d122,2012,
d122,2013,54
d123,2010,45
d123,2011,55
d123,2012,
d123,2013,46
d124,2010,56
d124,2011,59
d124,2012,
d124,2013,54
d201,2010,49
d201,2011,55
d201,2012,
d201,2013,42
d202,2010,64
d202,2011,66
d202,2012,
d202,2013,61
d203,2010,43
d203,2011,60
d203,2012,
d203,2013,45
d204,2010,57
d204,2011,65
d204,2012,
d204,2013,57
d205,2010,47
d205,2011,55
d205,2012,
d205,2013,48
d206,2010,42
d206,2011,56
d206,2012,
d206,2013,45
d207,2010,61
d207,2011,62
d207,2012,
d207,2013,52
d208,2010,59
d208,2011,62
d208,2012,
d208,2013,54
d209,2010,56
d209,2011,65
d209,2012,
d209,2013,54
d210,2010,50
d210,2011,56
d210,2012,
d210,2013,46
d211,2010,53
d211,2011,62
d211,2012,
