id,region,aid-type,year,value
SI,Europe,bilateral,2013,10115314.49
AU,Europe,bilateral,2013,382784.25
AU,North Africa,bilateral,2013,6446423.46
AU,Sub-Saharan Africa,bilateral,2013,331594599.67
AU,North & Central America,bilateral,2013,15906812.11
AU,South America,bilateral,2013,16289596.36
AU,Far East Asia,bilateral,2013,1240339219.00
AU,South & Central Asia,bilateral,2013,479036631.56
AU,Middle East,bilateral,2013,117797150.82
AU,Oceania,bilateral,2013,1106990781.29
AU,Unspecified,bilateral,2013,1180793711.01
AT,Europe,bilateral,2013,114762401.73
AT,North Africa,bilateral,2013,6611058.15
AT,Sub-Saharan Africa,bilateral,2013,86247945.72
AT,North & Central America,bilateral,2013,19596501.92
AT,South America,bilateral,2013,4844079.13
AT,Far East Asia,bilateral,2013,31350496.52
AT,South & Central Asia,bilateral,2013,92530082.38
AT,Middle East,bilateral,2013,21014436.55
AT,Oceania,bilateral,2013,541645.85
AT,Unspecified,bilateral,2013,143393611.17
BE,Europe,bilateral,2013,1477226.79
BE,North Africa,bilateral,2013,25150227.87
BE,Sub-Saharan Africa,bilateral,2013,543524901.75
BE,North & Central America,bilateral,2013,26477033.60
BE,South America,bilateral,2013,58935266.11
BE,Far East Asia,bilateral,2013,47576008.70
BE,South & Central Asia,bilateral,2013,18725479.18
BE,Middle East,bilateral,2013,44986106.83
BE,Oceania,bilateral,2013,0.00
BE,Unspecified,bilateral,2013,533641028.55
CA,Europe,bilateral,2013,43953539.18
CA,North Africa,bilateral,2013,29597176.02
CA,Sub-Saharan Africa,bilateral,2013,1527057534.08
CA,North & Central America,bilateral,2013,286484375.39
CA,South America,bilateral,2013,152694167.94
CA,Far East Asia,bilateral,2013,234320882.78
CA,South & Central Asia,bilateral,2013,476616981.84
CA,Middle East,bilateral,2013,400431095.02
CA,Oceania,bilateral,2013,3252419.16
CA,Unspecified,bilateral,2013,469500469.91
CZ,Europe,bilateral,2013,17978985.05
CZ,North Africa,bilateral,2013,660412.28
CZ,Sub-Saharan Africa,bilateral,2013,6564695.20
CZ,North & Central America,bilateral,2013,916691.67
CZ,South America,bilateral,2013,502701.88
CZ,Far East Asia,bilateral,2013,7008255.69
CZ,South & Central Asia,bilateral,2013,9817472.10
CZ,Middle East,bilateral,2013,5273441.34
CZ,Oceania,bilateral,2013,9856.90
CZ,Unspecified,bilateral,2013,7501100.67
DK,Europe,bilateral,2013,21580353.22
DK,North Africa,bilateral,2013,14870301.79
DK,Sub-Saharan Africa,bilateral,2013,711665075.20
DK,North & Central America,bilateral,2013,4856091.31
DK,South America,bilateral,2013,20589827.17
DK,Far East Asia,bilateral,2013,81499600.87
DK,South & Central Asia,bilateral,2013,221373678.23
DK,Middle East,bilateral,2013,139089682.43
DK,Oceania,bilateral,2013,0.00
DK,Unspecified,bilateral,2013,986711780.58
FI,Europe,bilateral,2013,17355997.11
FI,North Africa,bilateral,2013,4539473.18
FI,Sub-Saharan Africa,bilateral,2013,304726687.08
FI,North & Central America,bilateral,2013,24868915.80
FI,South America,bilateral,2013,21943721.49
FI,Far East Asia,bilateral,2013,59232658.79
FI,South & Central Asia,bilateral,2013,92522808.68
FI,Middle East,bilateral,2013,40483859.83
FI,Oceania,bilateral,2013,780686.65
FI,Unspecified,bilateral,2013,216335887.19
FR,Europe,bilateral,2013,208916571.08
FR,North Africa,bilateral,2013,1296068379.73
FR,Sub-Saharan Africa,bilateral,2013,2596733233.18
FR,North & Central America,bilateral,2013,380659451.12
FR,South America,bilateral,2013,439674644.80
FR,Far East Asia,bilateral,2013,608383512.52
FR,South & Central Asia,bilateral,2013,956800173.04
FR,Middle East,bilateral,2013,293913331.16
FR,Oceania,bilateral,2013,120157797.70
FR,Unspecified,bilateral,2013,1007478387.00
DE,Europe,bilateral,2013,735965293.71
DE,North Africa,bilateral,2013,649682243.07
DE,Sub-Saharan Africa,bilateral,2013,2264573856.66
DE,North & Central America,bilateral,2013,516617792.68
DE,South America,bilateral,2013,918891821.77
DE,Far East Asia,bilateral,2013,1119767135.29
DE,South & Central Asia,bilateral,2013,1928562723.41
DE,Middle East,bilateral,2013,843680534.46
