id,flow-name,year,value,percent-of-total-oda
adaptation-fund,ODA Grants,2014,13089776.93,100.00
adaptation-fund,ODA loans & equity investments,2014,,0.00
adaptation-fund,Total ODA,2014,13089776.93,100.00
AE,ODA Grants,2014,4906192637.23,97.83
AE,ODA loans & equity investments,2014,109025600.10,2.17
AE,Total ODA,2014,5015218237.33,100.00
afdb,ODA Grants,2014,136146924.95,100.00
afdb,ODA loans & equity investments,2014,,0.00
afdb,Total ODA,2014,136146924.95,100.00
afdf,ODA Grants,2014,740608365.21,37.19
afdf,ODA loans & equity investments,2014,1250683068.14,62.81
afdf,Total ODA,2014,1991291433.35,100.00
all-donors-total,ODA Grants,2014,121407589990.96,73.63
all-donors-total,ODA loans & equity investments,2014,43472252831.36,26.37
all-donors-total,Total ODA,2014,164879842822.32,100.00
arab-fund-afesd,ODA Grants,2014,27116330.26,3.09
arab-fund-afesd,ODA loans & equity investments,2014,849436837.48,96.91
arab-fund-afesd,Total ODA,2014,876553167.74,100.00
asdb-special-funds,ODA Grants,2014,566816755.38,20.45
asdb-special-funds,ODA loans & equity investments,2014,2204395983.89,79.55
asdb-special-funds,Total ODA,2014,2771212739.27,100.00
AT,ODA Grants,2014,591104376.69,98.16
AT,ODA loans & equity investments,2014,11051345.67,1.84
AT,Total ODA,2014,602155722.36,100.00
AU,ODA Grants,2014,3955875049.48,99.41
AU,ODA loans & equity investments,2014,23675982.29,0.59
AU,Total ODA,2014,3979551031.77,100.00
badea,ODA Grants,2014,6640525.01,5.32
badea,ODA loans & equity investments,2014,118159139.51,94.68
badea,Total ODA,2014,124799664.52,100.00
BE,ODA Grants,2014,1294476411.03,99.65
BE,ODA loans & equity investments,2014,4537251.25,0.35
BE,Total ODA,2014,1299013662.28,100.00
CA,ODA Grants,2014,3366779507.71,94.55
CA,ODA loans & equity investments,2014,193960877.03,5.45
CA,Total ODA,2014,3560740384.74,100.00
ceb,ODA Grants,2014,270466.15,0.35
ceb,ODA loans & equity investments,2014,76184471.59,99.65
ceb,Total ODA,2014,76454937.74,100.00
CH,ODA Grants,2014,2725362434.74,96.97
CH,ODA loans & equity investments,2014,85301878.95,3.03
CH,Total ODA,2014,2810664313.69,100.00
cif,ODA Grants,2014,23576761.90,6.80
cif,ODA loans & equity investments,2014,323342153.66,93.20
cif,Total ODA,2014,346918915.56,100.00
CZ,ODA Grants,2014,64012880.15,100.00
CZ,ODA loans & equity investments,2014,,0.00
CZ,Total ODA,2014,64012880.15,100.00
dac-countries-total,ODA Grants,2014,89362933603.45,82.08
dac-countries-total,ODA loans & equity investments,2014,19514691046.22,17.92
dac-countries-total,Total ODA,2014,108877624649.67,100.00
DE,ODA Grants,2014,8771378686.14,65.46
DE,ODA loans & equity investments,2014,4627647933.49,34.54
DE,Total ODA,2014,13399026619.63,100.00
DK,ODA Grants,2014,2112589265.89,98.01
DK,ODA loans & equity investments,2014,42913753.76,1.99
DK,Total ODA,2014,2155503019.65,100.00
EE,ODA Grants,2014,13664325.22,100.00
EE,ODA loans & equity investments,2014,,0.00
EE,Total ODA,2014,13664325.22,100.00
ES,ODA Grants,2014,656831210.57,96.20
ES,ODA loans & equity investments,2014,25979701.25,3.80
ES,Total ODA,2014,682810911.82,100.00
EU,ODA Grants,2014,12697694275.84,72.57
EU,ODA loans & equity investments,2014,4799280670.86,27.43
EU,Total ODA,2014,17496974946.70,100.00
FI,ODA Grants,2014,827675267.83,95.00
FI,ODA loans & equity investments,2014,43533565.37,5.00
FI,Total ODA,2014,871208833.20,100.00
FR,ODA Grants,2014,4402151191.94,55.44
FR,ODA loans & equity investments,2014,3538338785.92,44.56
FR,Total ODA,2014,7940489977.86,100.00
gavi,ODA Grants,2014,1401396389.11,100.00
gavi,ODA loans & equity investments,2014,,0.00
gavi,Total ODA,2014,1401396389.11,100.00
GB,ODA Grants,2014,10574019463.87,96.24
GB,ODA loans & equity investments,2014,412915243.00,3.76
GB,Total ODA,2014,10986934706.87,100.00
gef,ODA Grants,2014,598079238.71,99.69
gef,ODA loans & equity investments,2014,1874338.83,0.31
gef,Total ODA,2014,599953577.54,100.00
gggi,ODA Grants,2014,15378440.42,100.00
gggi,ODA loans & equity investments,2014,,0.00
gggi,Total ODA,2014,15378440.42,100.00
global-fund,ODA Grants,2014,2859931665.05,100.00
global-fund,ODA loans & equity investments,2014,,0.00
global-fund,Total ODA,2014,2859931665.05,100.00
GR,ODA Grants,2014,46939533.87,100.00
GR,ODA loans & equity investments,2014,,0.00
GR,Total ODA,2014,46939533.87,100.00
HU,ODA Grants,2014,29299780.86,100.00
HU,ODA loans & equity investments,2014,,0.00
HU,Total ODA,2014,29299780.86,100.00
ida,ODA Grants,2014,2127267366.59,15.61
ida,ODA loans & equity investments,2014,11502319686.48,84.39
ida,Total ODA,2014,13629587053.07,100.00
idb-special-fund,ODA Grants,2014,1050195964.63,54.69
idb-special-fund,ODA loans & equity investments,2014,869928270.55,45.31
idb-special-fund,Total ODA,2014,1920124235.18,100.00
IE,ODA Grants,2014,501524092.38,100.00
IE,ODA loans & equity investments,2014,,0.00
