id,year,value
AE,2014,1.52
all-donors-total,2014,
AT,2014,0.37
AU,2014,0.58
BE,2014,0.57
BG,2014,0.02
CA,2014,0.35
CH,2014,1.16
CZ,2014,0.06
dac-countries-total,2014,
dac-eu-members-total,2014,
DE,2014,0.52
DK,2014,1.38
EE,2014,0.07
ES,2014,0.11
EU,2014,0.08
FI,2014,0.76
FR,2014,0.42
g7-countries-total,2014,
GB,2014,0.76
GR,2014,0.06
HR,2014,0.05
HU,2014,0.04
IE,2014,0.46
IL,2014,0.06
IS,2014,0.28
IT,2014,0.17
JP,2014,0.26
KR,2014,0.09
KW,2014,0.20
KZ,2014,0.00
LI,2014,1.99
LT,2014,0.04
LU,2014,1.95
LV,2014,0.03
MT,2014,0.13
multilateral-total,2014,
NL,2014,0.86
NO,2014,2.85
non-dac-countries-total,2014,
NZ,2014,0.29
PL,2014,0.03
PT,2014,0.11
RO,2014,0.03
RU,2014,0.02
SA,2014,1.20
SE,2014,1.74
SI,2014,0.08
SK,2014,0.04
TH,2014,0.00
TL,2014,0.00
TR,2014,0.13
TW,2014,
US,2014,0.28
