id,sector,year,value
adaptation-fund,agriculture-and-food-security,2011,9545628
adaptation-fund,agriculture-and-food-security,2012,4739390
adaptation-fund,environment,2010,9057895
adaptation-fund,environment,2011,8189599
adaptation-fund,environment,2012,3885330
adaptation-fund,environment,2014,8678284
adaptation-fund,humanitarian,2011,1910766
adaptation-fund,humanitarian,2012,1842090
adaptation-fund,other,2011,11085703
adaptation-fund,other,2012,13377604
adaptation-fund,other,2013,6770915
adaptation-fund,other,2014,3146353
adaptation-fund,water-and-sanitation,2010,13291659
adaptation-fund,water-and-sanitation,2011,15302222
adaptation-fund,water-and-sanitation,2014,1265139
AE,agriculture-and-food-security,2009,203224972
AE,agriculture-and-food-security,2010,5969957
AE,agriculture-and-food-security,2011,6619233
AE,agriculture-and-food-security,2012,2886853
AE,agriculture-and-food-security,2013,43042877
AE,agriculture-and-food-security,2014,402362681
AE,education,2009,23410450
AE,education,2010,18490826
AE,education,2011,31803868
AE,education,2012,25943347
AE,education,2013,99152506
AE,education,2014,139034280
AE,environment,2010,2605402
AE,environment,2011,1293600
AE,environment,2012,6552525
AE,environment,2013,6063312
AE,environment,2014,7144480
AE,general-budget-support,2009,5701167
AE,general-budget-support,2010,91203650
AE,general-budget-support,2011,195472580
AE,general-budget-support,2012,171419931
AE,general-budget-support,2013,3034741695
AE,general-budget-support,2014,213965055
AE,governance-and-security,2009,193397246
AE,governance-and-security,2010,15628046
AE,governance-and-security,2011,3254311
AE,governance-and-security,2012,4769537
AE,governance-and-security,2013,5388411
AE,governance-and-security,2014,7711003
AE,health,2009,109140753
AE,health,2010,48762964
AE,health,2011,57224936
AE,health,2012,158973440
AE,health,2013,270153705
AE,health,2014,193622078
AE,humanitarian,2009,141316183
AE,humanitarian,2010,92095565
AE,humanitarian,2011,151622682
AE,humanitarian,2012,73906923
AE,humanitarian,2013,93156510
AE,humanitarian,2014,579702384
AE,industry-and-trade,2009,15119150
AE,industry-and-trade,2010,44749504
AE,industry-and-trade,2011,13572590
AE,industry-and-trade,2012,16385677
AE,industry-and-trade,2013,1006879956
AE,industry-and-trade,2014,26891376
AE,infrastructure,2009,203437197
AE,infrastructure,2010,52167539
AE,infrastructure,2011,113533706
AE,infrastructure,2012,202362383
AE,infrastructure,2013,231951129
AE,infrastructure,2014,440864189
AE,other,2009,67956037
AE,other,2010,99735598
AE,other,2011,110540144
AE,other,2012,94002071
AE,other,2013,567849201
AE,other,2014,2851924639
AE,other-social-services,2009,86238887
AE,other-social-services,2010,28159399
AE,other-social-services,2011,10413613
AE,other-social-services,2012,11955794
AE,other-social-services,2013,49090096
AE,other-social-services,2014,77568654
AE,water-and-sanitation,2009,39315291
AE,water-and-sanitation,2010,35004452
AE,water-and-sanitation,2011,30480312
AE,water-and-sanitation,2012,25887685
AE,water-and-sanitation,2013,38881272
AE,water-and-sanitation,2014,74485575
afdb,agriculture-and-food-security,2011,1685121
afdb,agriculture-and-food-security,2012,1375028
afdb,agriculture-and-food-security,2013,586536
afdb,agriculture-and-food-security,2014,2397279
afdb,banking-and-business,2011,1419962
afdb,banking-and-business,2012,247228
afdb,banking-and-business,2013,1422897
afdb,banking-and-business,2014,545848
afdb,debt-relief,2002,148341529
afdb,debt-relief,2003,111975391
afdb,debt-relief,2004,181164674
afdb,debt-relief,2005,195028031
afdb,debt-relief,2006,209660568
afdb,debt-relief,2007,187808154
afdb,debt-relief,2008,179722917
afdb,debt-relief,2009,175300728
afdb,debt-relief,2010,132291504
afdb,debt-relief,2011,111880264
afdb,debt-relief,2012,105668846
afdb,debt-relief,2013,133023430
afdb,debt-relief,2014,123105264
afdb,education,2011,1922085
afdb,education,2012,62769
afdb,education,2013,118333
afdb,education,2014,458204
afdb,environment,2011,46698
afdb,environment,2012,58905
afdb,environment,2013,66446
afdb,environment,2014,0
afdb,governance-and-security,2011,691904
afdb,governance-and-security,2012,652655
afdb,governance-and-security,2013,840026
afdb,governance-and-security,2014,1403873
afdb,health,2011,1678616
afdb,health,2012,200668
afdb,health,2013,669750
afdb,health,2014,595807
afdb,humanitarian,2011,
afdb,humanitarian,2012,
