channel-code,channel-name,parent,donor-code,donor-name,rank,aid-to-or-through,year,total-oda-from-donor-to-channel,total-oda-from-donor-to-channel-parent
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,8,Norway,1,Earmarked contributions through,2015,2427397.75,2427397.75
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,742,Korea,4,Earmarked contributions through,2015,200000.00,332050.00
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,40,Greece,10,Earmarked contributions through,2015,15156.96,15156.96
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,820,New Zealand,9,Earmarked contributions through,2015,57538.61,57538.61
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,68,Czech Republic,8,Earmarked contributions through,2015,101656.60,101656.60
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,918,EU Institutions,2,Earmarked contributions through,2015,688308.37,688308.37
41107,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),International Atomic Energy Agency,6,Italy,6,Earmarked contributions through,2015,193011.65,193011.65
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,0,Other,11,Earmarked contributions through,2015,36854.65,36854.65
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,918,EU Institutions,2,Earmarked contributions through,2015,48175840.27,48175840.27
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,5,Germany,1,Earmarked contributions through,2015,56777069.26,56777069.26
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,22,Luxembourg,9,Earmarked contributions through,2015,1109262.34,1109262.34
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,7,Netherlands,3,Earmarked contributions through,2015,4455459.97,4455459.97
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,4,France,7,Earmarked contributions through,2015,1529672.77,1529672.77
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,11,Switzerland,6,Earmarked contributions through,2015,2210861.48,2210861.48
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,820,New Zealand,10,Earmarked contributions through,2015,381172.70,381172.70
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,8,Norway,5,Earmarked contributions through,2015,2674281.55,2674281.55
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,3,Denmark,4,Earmarked contributions through,2015,3547692.33,3547692.33
41108,International Fund for Agricultural Development,International Fund for Agricultural Development,742,Korea,8,Earmarked contributions through,2015,1314521.00,1314521.00
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,7,Netherlands,8,Earmarked contributions through,2015,110476.97,110476.97
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,10,Sweden,1,Earmarked contributions through,2015,5255545.30,5255545.30
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,5,Germany,2,Earmarked contributions through,2015,2773155.85,2773155.85
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,11,Switzerland,3,Earmarked contributions through,2015,1071059.96,1071059.96
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,302,United States,4,Earmarked contributions through,2015,766173.00,766173.00
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,2,Belgium,5,Earmarked contributions through,2015,554631.17,554631.17
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,3,Denmark,6,Earmarked contributions through,2015,249729.38,249729.38
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,8,Norway,7,Earmarked contributions through,2015,129695.40,129695.40
41110,Joint United Nations Programme on HIV/AIDS,The Joint United Nations Programme on HIV/AIDS,918,EU Institutions,9,Earmarked contributions through,2015,3316.69,3316.69
41114,United Nations Development Programme,United Nations Development Programme,12,United Kingdom,1,Earmarked contributions through,2015,318581739.88,318581739.88
41114,United Nations Development Programme,United Nations Development Programme,0,Other,11,Earmarked contributions through,2015,300965550.61,300965550.61
41114,United Nations Development Programme,United Nations Development Programme,7,Netherlands,10,Earmarked contributions through,2015,67875060.31,67875060.31
41114,United Nations Development Programme,United Nations Development Programme,301,Canada,9,Earmarked contributions through,2015,68343198.00,68343198.00
41114,United Nations Development Programme,United Nations Development Programme,11,Switzerland,8,Earmarked contributions through,2015,70029666.42,70029666.42
41114,United Nations Development Programme,United Nations Development Programme,5,Germany,7,Earmarked contributions through,2015,100462796.63,100462796.63
41114,United Nations Development Programme,United Nations Development Programme,801,Australia,6,Earmarked contributions through,2015,109503411.23,109503411.23
41114,United Nations Development Programme,United Nations Development Programme,8,Norway,5,Earmarked contributions through,2015,140139208.31,140139208.31
41114,United Nations Development Programme,United Nations Development Programme,10,Sweden,4,Earmarked contributions through,2015,150415233.41,150415233.41
41114,United Nations Development Programme,United Nations Development Programme,918,EU Institutions,3,Earmarked contributions through,2015,246970427.07,246970427.07
41114,United Nations Development Programme,United Nations Development Programme,701,Japan,2,Earmarked contributions through,2015,269360968.47,269360968.47
41119,United Nations Population Fund,United Nations Population Fund,7,Netherlands,3,Earmarked contributions through,2015,37875809.97,37875809.97
41119,United Nations Population Fund,United Nations Population Fund,0,Other,11,Earmarked contributions through,2015,22385692.45,22385692.45
41119,United Nations Population Fund,United Nations Population Fund,12,United Kingdom,1,Earmarked contributions through,2015,144681651.69,144681651.69
41119,United Nations Population Fund,United Nations Population Fund,301,Canada,2,Earmarked contributions through,2015,43538652.90,43538652.90
41119,United Nations Population Fund,United Nations Population Fund,742,Korea,10,Earmarked contributions through,2015,4795863.00,4795863.00
41119,United Nations Population Fund,United Nations Population Fund,3,Denmark,9,Earmarked contributions through,2015,7015774.53,7015774.53
41119,United Nations Population Fund,United Nations Population Fund,918,EU Institutions,8,Earmarked contributions through,2015,15492346.09,15492346.09
41119,United Nations Population Fund,United Nations Population Fund,701,Japan,7,Earmarked contributions through,2015,15500000.00,15500000.00
41119,United Nations Population Fund,United Nations Population Fund,8,Norway,6,Earmarked contributions through,2015,26259194.87,26259194.87
41119,United Nations Population Fund,United Nations Population Fund,10,Sweden,5,Earmarked contributions through,2015,31210818.81,31210818.81
41119,United Nations Population Fund,United Nations Population Fund,302,United States,4,Earmarked contributions through,2015,31802230.00,31802230.00
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,8,Norway,7,Earmarked contributions through,2015,59749777.67,59749777.67
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,801,Australia,10,Earmarked contributions through,2015,24043880.08,24043880.08
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,11,Switzerland,9,Earmarked contributions through,2015,33369541.72,33369541.72
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,3,Denmark,8,Earmarked contributions through,2015,37129448.06,37129448.06
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,5,Germany,6,Earmarked contributions through,2015,125134482.51,125134482.51
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,301,Canada,5,Earmarked contributions through,2015,135989243.53,135989243.53
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,918,EU Institutions,4,Earmarked contributions through,2015,148592135.33,148592135.33
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,701,Japan,3,Earmarked contributions through,2015,149177366.74,149177366.74
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,12,United Kingdom,2,Earmarked contributions through,2015,151818700.89,151818700.89
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,302,United States,1,Earmarked contributions through,2015,1341309535.00,1341309535.00
41121,United Nations Office of the United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees,0,Other,11,Earmarked contributions through,2015,118184226.18,118184226.18
41122,United Nations Children's Fund,United Nations Children's Fund,10,Sweden,6,Earmarked contributions through,2015,113593809.33,113593809.33
41122,United Nations Children's Fund,United Nations Children's Fund,7,Netherlands,8,Earmarked contributions through,2015,59724662.81,59724662.81
41122,United Nations Children's Fund,United Nations Children's Fund,5,Germany,9,Earmarked contributions through,2015,49362731.00,49362731.00
41122,United Nations Children's Fund,United Nations Children's Fund,0,Other,11,Earmarked contributions through,2015,137105860.78,137105860.78
41122,United Nations Children's Fund,United Nations Children's Fund,302,United States,1,Earmarked contributions through,2015,442495711.00,442495711.00
41122,United Nations Children's Fund,United Nations Children's Fund,12,United Kingdom,2,Earmarked contributions through,2015,442357257.65,442357257.65
41122,United Nations Children's Fund,United Nations Children's Fund,742,Korea,10,Earmarked contributions through,2015,32250064.00,32250064.00
41122,United Nations Children's Fund,United Nations Children's Fund,918,EU Institutions,3,Earmarked contributions through,2015,311844625.62,311844625.62
41122,United Nations Children's Fund,United Nations Children's Fund,301,Canada,4,Earmarked contributions through,2015,160663068.14,160663068.14
41122,United Nations Children's Fund,United Nations Children's Fund,701,Japan,5,Earmarked contributions through,2015,138112180.88,138112180.88
41122,United Nations Children's Fund,United Nations Children's Fund,8,Norway,7,Earmarked contributions through,2015,113556931.58,113556931.58
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,701,Japan,4,Earmarked contributions through,2015,37426512.60,37426512.60
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,302,United States,1,Earmarked contributions through,2015,380460183.00,380460183.00
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,5,Germany,5,Earmarked contributions through,2015,28638710.47,28638710.47
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,576,United Arab Emirates,6,Earmarked contributions through,2015,19606304.00,19606304.00
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,801,Australia,7,Earmarked contributions through,2015,16100383.20,16100383.20
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,8,Norway,8,Earmarked contributions through,2015,9630445.63,9630445.63
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,10,Sweden,9,Earmarked contributions through,2015,9490705.04,9490705.04
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,22,Luxembourg,10,Earmarked contributions through,2015,5546311.70,5546311.70
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,0,Other,11,Earmarked contributions through,2015,27947836.87,27947836.87
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,918,EU Institutions,2,Earmarked contributions through,2015,154650737.66,154650737.66
41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East,12,United Kingdom,3,Earmarked contributions through,2015,45836516.42,45836516.42
41140,World Food Programme,World Food Programme,11,Switzerland,7,Earmarked contributions through,2015,73613829.37,73613829.37
41140,World Food Programme,World Food Programme,301,Canada,3,Earmarked contributions through,2015,257790753.34,257790753.34
41140,World Food Programme,World Food Programme,918,EU Institutions,4,Earmarked contributions through,2015,243729317.80,243729317.80
41140,World Food Programme,World Food Programme,5,Germany,5,Earmarked contributions through,2015,212098534.66,212098534.66
41140,World Food Programme,World Food Programme,701,Japan,6,Earmarked contributions through,2015,196879638.30,196879638.30
41140,World Food Programme,World Food Programme,8,Norway,8,Earmarked contributions through,2015,63651065.71,63651065.71
41140,World Food Programme,World Food Programme,801,Australia,9,Earmarked contributions through,2015,40309970.70,40309970.70
41140,World Food Programme,World Food Programme,7,Netherlands,10,Earmarked contributions through,2015,33068589.77,33068589.77
41140,World Food Programme,World Food Programme,0,Other,11,Earmarked contributions through,2015,197246329.54,197246329.54
41140,World Food Programme,World Food Programme,12,United Kingdom,2,Earmarked contributions through,2015,345142867.53,345142867.53
41140,World Food Programme,World Food Programme,302,United States,1,Earmarked contributions through,2015,1844242560.00,1844242560.00
41141,United Nations Peacebuilding Fund (Window Two:  Restricted Contributions Only),UN Peacebuilding Fund,18,Finland,1,Earmarked contributions through,2015,2218524.68,2218524.68
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,0,Other,11,Earmarked contributions through,2015,17736924.52,31328841.77
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,301,Canada,4,Earmarked contributions through,2015,40698271.14,40698271.14
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,801,Australia,6,Earmarked contributions through,2015,18397986.33,18397986.33
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,8,Norway,7,Earmarked contributions through,2015,16629264.16,16629264.16
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,701,Japan,8,Earmarked contributions through,2015,16370000.00,16370000.00
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,10,Sweden,9,Earmarked contributions through,2015,11391957.34,11391957.34
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,742,Korea,10,Earmarked contributions through,2015,8083473.00,10118281.00
41143,World Health Organisation - core voluntary contributions account,World Health Organisation,12,United Kingdom,2,Earmarked contributions through,2015,150607732.96,156074755.11
