parent,id-to,rank,year,total-value,sector,sector-value
African Development Bank and Fund,BF,9,2015,72187410.00,infrastructure,37745170.00
African Development Bank and Fund,BF,9,2015,72187410.00,governance-and-security,64140.00
African Development Bank and Fund,BF,9,2015,72187410.00,agriculture-and-food-security,583380.00
African Development Bank and Fund,BF,9,2015,72187410.00,health,678970.00
African Development Bank and Fund,BF,9,2015,72187410.00,water-and-sanitation,5139150.00
African Development Bank and Fund,BF,9,2015,72187410.00,general-budget-support,27976600.00
African Development Bank and Fund,CD,3,2015,215361850.00,infrastructure,64639270.00
African Development Bank and Fund,CD,3,2015,215361850.00,debt-relief,109739200.00
African Development Bank and Fund,CD,3,2015,215361850.00,agriculture-and-food-security,313340.00
African Development Bank and Fund,CD,3,2015,215361850.00,governance-and-security,6750600.00
African Development Bank and Fund,CD,3,2015,215361850.00,water-and-sanitation,15026370.00
African Development Bank and Fund,CD,3,2015,215361850.00,other,18893070.00
African Development Bank and Fund,ET,5,2015,152335580.00,debt-relief,307350.00
African Development Bank and Fund,ET,5,2015,152335580.00,banking-and-business,21240.00
African Development Bank and Fund,ET,5,2015,152335580.00,infrastructure,124481980.00
African Development Bank and Fund,ET,5,2015,152335580.00,water-and-sanitation,24982920.00
African Development Bank and Fund,ET,5,2015,152335580.00,agriculture-and-food-security,2366020.00
African Development Bank and Fund,ET,5,2015,152335580.00,governance-and-security,176070.00
African Development Bank and Fund,GH,4,2015,153471800.00,education,13913630.00
African Development Bank and Fund,GH,4,2015,153471800.00,governance-and-security,2696500.00
African Development Bank and Fund,GH,4,2015,153471800.00,other,55953200.00
African Development Bank and Fund,GH,4,2015,153471800.00,infrastructure,47717160.00
African Development Bank and Fund,GH,4,2015,153471800.00,agriculture-and-food-security,18666540.00
African Development Bank and Fund,GH,4,2015,153471800.00,water-and-sanitation,14524770.00
African Development Bank and Fund,KE,1,2015,260011580.00,agriculture-and-food-security,6286740.00
African Development Bank and Fund,KE,1,2015,260011580.00,health,519800.00
African Development Bank and Fund,KE,1,2015,260011580.00,water-and-sanitation,28917120.00
African Development Bank and Fund,KE,1,2015,260011580.00,infrastructure,202954720.00
African Development Bank and Fund,KE,1,2015,260011580.00,education,16573150.00
African Development Bank and Fund,KE,1,2015,260011580.00,other,4760050.00
African Development Bank and Fund,LR,8,2015,77353180.00,infrastructure,6895260.00
African Development Bank and Fund,LR,8,2015,77353180.00,other,1418560.00
African Development Bank and Fund,LR,8,2015,77353180.00,governance-and-security,1900900.00
African Development Bank and Fund,LR,8,2015,77353180.00,agriculture-and-food-security,2684950.00
African Development Bank and Fund,LR,8,2015,77353180.00,water-and-sanitation,6555430.00
African Development Bank and Fund,LR,8,2015,77353180.00,health,57898080.00
African Development Bank and Fund,NG,7,2015,103620840.00,education,6838550.00
African Development Bank and Fund,NG,7,2015,103620840.00,infrastructure,49096550.00
African Development Bank and Fund,NG,7,2015,103620840.00,water-and-sanitation,39459700.00
African Development Bank and Fund,NG,7,2015,103620840.00,agriculture-and-food-security,8057890.00
African Development Bank and Fund,NG,7,2015,103620840.00,banking-and-business,168150.00
African Development Bank and Fund,other,11,2015,856640210.00,other,95750000.00
African Development Bank and Fund,other,11,2015,856640210.00,agriculture-and-food-security,85875980.00
African Development Bank and Fund,other,11,2015,856640210.00,health,61261650.00
African Development Bank and Fund,other,11,2015,856640210.00,general-budget-support,39101340.00
African Development Bank and Fund,other,11,2015,856640210.00,banking-and-business,32260750.00
African Development Bank and Fund,other,11,2015,856640210.00,industry-and-trade,568820.00
African Development Bank and Fund,other,11,2015,856640210.00,debt-relief,4110.00
African Development Bank and Fund,other,11,2015,856640210.00,humanitarian,12081440.00
African Development Bank and Fund,other,11,2015,856640210.00,environment,16645140.00
African Development Bank and Fund,other,11,2015,856640210.00,other-social-services,22863880.00
African Development Bank and Fund,other,11,2015,856640210.00,education,25090460.00
African Development Bank and Fund,other,11,2015,856640210.00,infrastructure,263463520.00
African Development Bank and Fund,other,11,2015,856640210.00,water-and-sanitation,102885550.00
African Development Bank and Fund,other,11,2015,856640210.00,governance-and-security,98787570.00
African Development Bank and Fund,TZ,2,2015,217172750.00,industry-and-trade,1678760.00
African Development Bank and Fund,TZ,2,2015,217172750.00,education,2036980.00
African Development Bank and Fund,TZ,2,2015,217172750.00,banking-and-business,104840.00
African Development Bank and Fund,TZ,2,2015,217172750.00,governance-and-security,695940.00
African Development Bank and Fund,TZ,2,2015,217172750.00,infrastructure,181826700.00
African Development Bank and Fund,TZ,2,2015,217172750.00,water-and-sanitation,12584370.00
African Development Bank and Fund,TZ,2,2015,217172750.00,agriculture-and-food-security,10709000.00
African Development Bank and Fund,TZ,2,2015,217172750.00,health,7536160.00
African Development Bank and Fund,UG,6,2015,112357510.00,infrastructure,22765860.00
African Development Bank and Fund,UG,6,2015,112357510.00,health,15274520.00
African Development Bank and Fund,UG,6,2015,112357510.00,education,15451530.00
African Development Bank and Fund,UG,6,2015,112357510.00,water-and-sanitation,27592270.00
African Development Bank and Fund,UG,6,2015,112357510.00,other,28798120.00
African Development Bank and Fund,UG,6,2015,112357510.00,agriculture-and-food-security,2453950.00
African Development Bank and Fund,UG,6,2015,112357510.00,banking-and-business,21260.00
African Development Bank and Fund,ZM,10,2015,61779250.00,water-and-sanitation,9430790.00
African Development Bank and Fund,ZM,10,2015,61779250.00,infrastructure,48242330.00
African Development Bank and Fund,ZM,10,2015,61779250.00,agriculture-and-food-security,789020.00
African Development Bank and Fund,ZM,10,2015,61779250.00,education,3317110.00
Arab Bank for Economic Development in Africa,BJ,6,2015,7102910.96,infrastructure,6729371.00
Arab Bank for Economic Development in Africa,BJ,6,2015,7102910.96,other,10585.80
Arab Bank for Economic Development in Africa,BJ,6,2015,7102910.96,health,48261.46
Arab Bank for Economic Development in Africa,BJ,6,2015,7102910.96,agriculture-and-food-security,76233.00
Arab Bank for Economic Development in Africa,BJ,6,2015,7102910.96,governance-and-security,238459.70
Arab Bank for Economic Development in Africa,CI,2,2015,8906958.50,other,389915.30
Arab Bank for Economic Development in Africa,CI,2,2015,8906958.50,water-and-sanitation,5757238.30
Arab Bank for Economic Development in Africa,CI,2,2015,8906958.50,infrastructure,1950627.00
Arab Bank for Economic Development in Africa,CI,2,2015,8906958.50,agriculture-and-food-security,713601.00
Arab Bank for Economic Development in Africa,CI,2,2015,8906958.50,education,95576.90
Arab Bank for Economic Development in Africa,CV,5,2015,7758380.54,other,2508446.00
Arab Bank for Economic Development in Africa,CV,5,2015,7758380.54,water-and-sanitation,3002229.60
Arab Bank for Economic Development in Africa,CV,5,2015,7758380.54,environment,1223750.00
Arab Bank for Economic Development in Africa,CV,5,2015,7758380.54,infrastructure,958325.04
Arab Bank for Economic Development in Africa,CV,5,2015,7758380.54,governance-and-security,65629.90
Arab Bank for Economic Development in Africa,ET,10,2015,5746037.70,other,234168.00
Arab Bank for Economic Development in Africa,ET,10,2015,5746037.70,infrastructure,5511869.70
Arab Bank for Economic Development in Africa,ML,3,2015,8177275.00,infrastructure,5684930.00
Arab Bank for Economic Development in Africa,ML,3,2015,8177275.00,other,2492345.00
Arab Bank for Economic Development in Africa,MZ,1,2015,9721002.20,infrastructure,84578.10
Arab Bank for Economic Development in Africa,MZ,1,2015,9721002.20,water-and-sanitation,1974400.00
Arab Bank for Economic Development in Africa,MZ,1,2015,9721002.20,health,344508.10
Arab Bank for Economic Development in Africa,MZ,1,2015,9721002.20,environment,2210100.00
Arab Bank for Economic Development in Africa,MZ,1,2015,9721002.20,education,2246336.00
Arab Bank for Economic Development in Africa,MZ,1,2015,9721002.20,agriculture-and-food-security,2861080.00
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,banking-and-business,428831.53
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,water-and-sanitation,17349308.30
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,environment,545453.60
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,education,941717.40
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,industry-and-trade,1123080.60
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,agriculture-and-food-security,1755761.20
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,other,5325630.96
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,health,7683723.80
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,infrastructure,16427374.61
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,humanitarian,60040.00
Arab Bank for Economic Development in Africa,other,11,2015,51745421.42,governance-and-security,104499.42
Arab Bank for Economic Development in Africa,RW,9,2015,5858308.90,infrastructure,5858308.90
Arab Bank for Economic Development in Africa,SN,8,2015,6058932.70,other,2200787.00
Arab Bank for Economic Development in Africa,SN,8,2015,6058932.70,infrastructure,2185711.00
Arab Bank for Economic Development in Africa,SN,8,2015,6058932.70,agriculture-and-food-security,1109330.00
Arab Bank for Economic Development in Africa,SN,8,2015,6058932.70,health,355323.70
Arab Bank for Economic Development in Africa,SN,8,2015,6058932.70,water-and-sanitation,207781.00
Arab Bank for Economic Development in Africa,TZ,7,2015,6396128.50,water-and-sanitation,3153934.00
Arab Bank for Economic Development in Africa,TZ,7,2015,6396128.50,other,166117.00
Arab Bank for Economic Development in Africa,TZ,7,2015,6396128.50,health,235515.00
Arab Bank for Economic Development in Africa,TZ,7,2015,6396128.50,education,870937.00
Arab Bank for Economic Development in Africa,TZ,7,2015,6396128.50,infrastructure,1969625.50
