id,parent,sector,year,value
adaptation-fund,Adaptation Fund,agriculture-and-food-security,2012,4292234.58
adaptation-fund,Adaptation Fund,agriculture-and-food-security,2011,8645010.43
adaptation-fund,Adaptation Fund,environment,2014,7859499.75
adaptation-fund,Adaptation Fund,environment,2012,3518754.05
adaptation-fund,Adaptation Fund,environment,2011,7416920.63
adaptation-fund,Adaptation Fund,environment,2010,8203294.12
adaptation-fund,Adaptation Fund,humanitarian,2012,1668291.15
adaptation-fund,Adaptation Fund,humanitarian,2011,1730487.35
adaptation-fund,Adaptation Fund,other,2014,2849498.36
adaptation-fund,Adaptation Fund,other,2013,6132088.26
adaptation-fund,Adaptation Fund,other,2012,12115444.07
adaptation-fund,Adaptation Fund,other,2011,10039781.25
adaptation-fund,Adaptation Fund,water-and-sanitation,2014,1145775.03
adaptation-fund,Adaptation Fund,water-and-sanitation,2011,13858477.11
adaptation-fund,Adaptation Fund,water-and-sanitation,2010,12037608.27
afdb,African Development Bank and Fund,agriculture-and-food-security,2015,2322990.00
afdb,African Development Bank and Fund,agriculture-and-food-security,2014,2171098.24
afdb,African Development Bank and Fund,agriculture-and-food-security,2013,531197.06
afdb,African Development Bank and Fund,agriculture-and-food-security,2012,1245295.13
afdb,African Development Bank and Fund,agriculture-and-food-security,2011,1526131.42
afdb,African Development Bank and Fund,banking-and-business,2015,481170.00
afdb,African Development Bank and Fund,banking-and-business,2014,494349.70
afdb,African Development Bank and Fund,banking-and-business,2013,1288648.75
afdb,African Development Bank and Fund,banking-and-business,2012,223902.89
afdb,African Development Bank and Fund,banking-and-business,2011,1285992.76
afdb,African Development Bank and Fund,debt-relief,2015,110046550.00
afdb,African Development Bank and Fund,debt-relief,2014,111490439.29
afdb,African Development Bank and Fund,debt-relief,2013,120472838.37
afdb,African Development Bank and Fund,debt-relief,2012,95699124.74
afdb,African Development Bank and Fund,debt-relief,2011,101324503.62
afdb,African Development Bank and Fund,debt-relief,2010,119809968.39
afdb,African Development Bank and Fund,debt-relief,2009,158761327.57
afdb,African Development Bank and Fund,debt-relief,2008,162766288.59
afdb,African Development Bank and Fund,debt-relief,2007,170088692.96
afdb,African Development Bank and Fund,debt-relief,2006,189879359.79
afdb,African Development Bank and Fund,debt-relief,2005,176627384.20
afdb,African Development Bank and Fund,debt-relief,2004,164072017.05
afdb,African Development Bank and Fund,debt-relief,2003,101410656.18
afdb,African Development Bank and Fund,debt-relief,2002,134345694.62
afdb,African Development Bank and Fund,education,2015,146190.00
afdb,African Development Bank and Fund,education,2014,414973.60
afdb,African Development Bank and Fund,education,2013,107168.20
afdb,African Development Bank and Fund,education,2012,56846.55
