id,value
AD,
AE,
AF,
AG,
-99,
AL,92510
-99,
AM,264316
AO,9727060
AR,
AS,
AT,0
-99,
-99,
-99,
AU,0
AW,
AZ,80070
BA,10314
BB,
BD,49772572
BE,0
BF,11160072
BG,220281
BH,
BI,9071208
BJ,6798816
BM,
-99,
-99,
BN,
BO,1104480
BR,14032662
BS,
BT,36150
BW,472188
BY,0
BZ,62628
CA,0
CD,62030250
CF,4125489
CG,2199829
CH,0
CI,9022026
CL,249636
-99,
CM,8555292
-99,
CN,83750346
CO,4776606
-99,
CR,137061
CU,
CV,76398
CW,
-99,
CY,0
CZ,15765
DE,0
-99,
DJ,284144
DK,0
DM,
DO,581848
DZ,
EC,1202688
EE,16632
EG,5033038.302
ER,
ES,0
ET,40528416
-99,
FI,0
FJ,90024
FM,29080
FO,
FR,0
-99,
-99,
GA,237765
GB,0
GD,
GE,786618
GG,
GH,5757816
GL,0
-99,
GM,1107414
GN,6703950
GQ,
GR,0
GT,2857149
GU,
GW,1382832
GY,93480
HK,
HN,2220765
HR,57084
-99,
HT,6600104
HU,33626
ID,67842900
IE,0
IL,0
IM,
IN,490048500
-99,
-99,
IQ,
IR,200590
IS,0
IT,0
JE,
JM,132790
JO,0
JP,0
KE,17406096
KG,710424
-99,
-99,
KH,1256164
KI,26422
KM,185325
KN,
KP,
KR,
KW,
KY,
KZ,15336
LA,2104942
LB,
LC,78444
LI,
LK,1461180
LR,3123120
LS,1415856
LT,33448
LU,0
LV,35577
LY,
MA,1501905
MC,
MD,16732
ME,11966
MF,
MG,19851012
MH,
MK,97704
ML,11598069
MM,
MN,37180
MO,
MP,
MR,609525
MT,
MU,18900
-99,
MV,47775
MW,13264467
MX,7894612
MY,111986
MZ,19791619
NA,752705
-99,
NC,
NE,12281004
-99,
NG,112955152
NI,759220
NL,0
-99,
NO,0
NP,6940802
NZ,
OM,
-99,
PA,216027
-99,
PE,2103216
PF,
PG,3364793
PH,24733995
PK,44192241
PL,15216
PR,
PS,0
PT,0
PW,
PY,280151
QA,
RO,417582
RS,53700
-99,
RU,258318
RW,8206956
SA,
-99,
SB,272944
-99,
-99,
SC,1368
SD,7519104
SE,0
SG,0
-99,
SI,618
SK,16771
SL,3290850
SM,
SN,7697286
SO,
SR,111989
SS,9366100
ST,89928
SV,436044
SX,
SY,
SZ,683375
TC,
TD,6494785
TG,4499649
TH,175370
TJ,3637335
TL,551768
TM,398240
TN,309276
TO,4400
-99,
TR,1036592
TT,7560
TV,640
-99,
TZ,32144442
UA,18196
-99,
UG,19597863
-99,
US,0
UY,27962
-99,
UZ,13375152
VC,
VE,2967440
-99,
-99,
VI,
VN,6974352
VU,67900
WS,8987
XK,34398
YE,
ZA,14159178
ZM,10841225
-99,
-99,
-99,
-99,
ZW,4540030
