country,year,from-oof-interest
AF,2006,7000000
51,2006,0
AL,2006,21580000
52,2006,1500000
AO,2006,8220000
AI,2006,730000
AG,2006,760000
AR,2006,1043010000
AM,2006,6080000
53,2006,2560000
AZ,2006,20080000
BD,2006,29970000
BB,2006,17390000
BY,2006,15240000
BZ,2006,12210000
BJ,2006,130000
BT,2006,1670000
BO,2006,44610000
BA,2006,52990000
BW,2006,4290000
BR,2006,1441460000
BF,2006,80000
BI,2006,0
KH,2006,3390000
CM,2006,216770000
CV,2006,0
CF,2006,260000
54,2006,0
TD,2006,3320000
CL,2006,89490000
CN,2006,1375490000
CO,2006,490390000
KM,2006,0
CD,2006,165210000
CG,2006,78790000
CK,2006,8370000
CR,2006,47540000
CI,2006,5790000
HR,2006,103820000
CU,2006,590000
CY,2006,0
55,2006,16140000
DJ,2006,21290000
DM,2006,1510000
DO,2006,147710000
EC,2006,126110000
EG,2006,279340000
SV,2006,102970000
GQ,2006,70000
ER,2006,0
ET,2006,6120000
56,2006,37510000
57,2006,0
FJ,2006,5210000
MK,2006,22930000
GA,2006,28380000
GM,2006,0
GE,2006,16280000
GH,2006,10600000
GD,2006,2810000
GT,2006,102880000
GN,2006,7330000
GW,2006,3290000
GY,2006,2220000
HT,2006,1860000
HN,2006,11760000
IN,2006,617530000
ID,2006,1281910000
IR,2006,73430000
JM,2006,93800000
JO,2006,74960000
KZ,2006,118380000
KE,2006,16350000
KI,2006,0
KR,2006,0
KP,2006,490000
XK,2006,0
KG,2006,11110000
LA,2006,4350000
LB,2006,82140000
LS,2006,4540000
LR,2006,210000
MG,2006,8130000
MW,2006,19360000
MY,2006,62750000
MV,2006,7090000
ML,2006,330000
MT,2006,0
MH,2006,250000
MR,2006,8310000
MU,2006,6090000
YT,2006,0
MX,2006,1174050000
NR,2006,20000
58,2006,4630000
MD,2006,18880000
MN,2006,6850000
ME,2006,25760000
MS,2006,0
MA,2006,255780000
MZ,2006,301710000
MM,2006,0
NA,2006,8360000
NR,2006,0
NP,2006,7360000
NI,2006,8080000
NE,2006,1010000
NG,2006,628010000
59,2006,15600000
60,2006,0
61,2006,0
OM,2006,7760000
PK,2006,230000000
PW,2006,0
PA,2006,84720000
PG,2006,29080000
PY,2006,49120000
PE,2006,429950000
PH,2006,394050000
RW,2006,80000
WS,2006,0
ST,2006,2420000
SN,2006,7060000
RS,2006,229670000
SC,2006,18650000
SL,2006,990000
SI,2006,0
SB,2006,0
SO,2006,0
62,2006,10000
ZA,2006,113570000
63,2006,41230000
64,2006,3470000
65,2006,16120000
SS,2006,0
LK,2006,21230000
SH,2006,0
KN,2006,4080000
LC,2006,7380000
VC,2006,2760000
66,2006,19860000
SD,2006,1200000
SR,2006,8420000
SZ,2006,12660000
SY,2006,8950000
TJ,2006,2770000
TZ,2006,1650000
TH,2006,58490000
TL,2006,0
TG,2006,1900000
TO,2006,170000
TT,2006,48760000
TN,2006,259950000
TR,2006,594840000
TM,2006,8660000
TC,2006,410000
TV,2006,0
UG,2006,1920000
UA,2006,260570000
UY,2006,175010000
UZ,2006,51320000
VU,2006,0
VE,2006,138510000
VN,2006,32610000
WF,2006,1310000
PS,2006,0
67,2006,500000
YE,2006,3740000
ZM,2006,33650000
ZW,2006,1920000
AF,2007,17360000
51,2007,1070000
AL,2007,23420000
52,2007,2130000
AO,2007,7050000
AI,2007,880000
AG,2007,1080000
AR,2007,981560000
AM,2007,9140000
53,2007,0
AZ,2007,17400000
BD,2007,37630000
BB,2007,16320000
BY,2007,16320000
BZ,2007,11540000
BJ,2007,140000
BT,2007,1650000
BO,2007,30850000
BA,2007,71190000
BW,2007,5120000
BR,2007,1602740000
BF,2007,890000
BI,2007,0
KH,2007,3470000
CM,2007,30440000
CV,2007,1880000
CF,2007,3770000
54,2007,0
TD,2007,8160000
CL,2007,63370000
CN,2007,1486780000
CO,2007,568280000
KM,2007,12680000
CD,2007,109070000
CG,2007,12010000
CK,2007,30000
CR,2007,42350000
CI,2007,35800000
HR,2007,139910000
CU,2007,2540000
CY,2007,0
55,2007,70790000
DJ,2007,420000
DM,2007,1360000
DO,2007,146780000
EC,2007,113630000
EG,2007,365720000
SV,2007,101720000
GQ,2007,0
ER,2007,0
ET,2007,4400000
56,2007,46880000
57,2007,0
FJ,2007,4040000
MK,2007,30200000
GA,2007,42710000
GM,2007,0
GE,2007,26460000
GH,2007,12150000
GD,2007,3170000
GT,2007,101810000
GN,2007,5220000
GW,2007,0
GY,2007,1990000
HT,2007,10430000
