country-from,country-to,channel,year,oda-gross-bl-channel
1,CD,J,2006,135328618
1,CM,J,2006,11885237
1,ET,J,2006,19398797
1,GH,J,2006,14234103
1,MR,J,2006,5335492
1,SN,J,2006,7491010
1,TZ,J,2006,1368233
1,UG,J,2006,937304
1,ZM,J,2006,15651526
2,65,A,2006,117471574
2,AO,A,2006,2785555
2,BF,A,2006,40338758
2,BF,J,2006,333606563
2,BI,A,2006,3275986
2,BI,J,2006,7254367
2,BJ,A,2006,25265431
2,BJ,J,2006,296277930
2,CD,A,2006,10577890
2,CD,J,2006,5848886
2,CG,A,2006,36711
2,CI,A,2006,1811249
2,CM,A,2006,24861153
2,CM,J,2006,180551059
2,CV,A,2006,1996807
2,DJ,A,2006,5152186
2,EG,A,2006,7453277
2,ER,A,2006,8353418
2,ET,A,2006,55628938
2,ET,J,2006,800359254
2,GH,A,2006,66537134
2,GH,J,2006,416313287
2,GM,A,2006,12124265
2,GN,A,2006,19020501
2,GQ,A,2006,1047403
2,GW,A,2006,5151793
2,GW,J,2006,4076847
2,KE,A,2006,16449170
2,LS,A,2006,14252709
2,MG,A,2006,35389148
2,MG,J,2006,330769205
2,ML,A,2006,98731081
2,ML,J,2006,467146477
2,MR,A,2006,11382211
2,MR,J,2006,218169241
2,MW,A,2006,27474915
2,MW,J,2006,353098989
2,MZ,A,2006,54804553
2,MZ,J,2006,442071549
2,NE,A,2006,31265429
2,NE,J,2006,207988705
2,NG,A,2006,16475243
2,RW,A,2006,37014083
2,RW,J,2006,234013352
2,SL,A,2006,24610948
2,SL,J,2006,3115545
2,SN,A,2006,31896332
2,SN,J,2006,316743240
2,ST,A,2006,768320
2,ST,J,2006,1887858
2,TD,A,2006,39148485
2,TD,J,2006,405368
2,TG,A,2006,212218
2,TZ,A,2006,63648358
2,TZ,J,2006,588015734
2,UG,A,2006,61115929
2,UG,J,2006,438539054
2,ZM,A,2006,36996173
2,ZM,J,2006,270855544
11,55,H,2006,56786313
11,AL,H,2006,845482
11,AM,H,2006,1505653
11,AR,H,2006,5455099
11,BA,H,2006,486442
11,BD,H,2006,1262432
11,BF,H,2006,3219782
11,BI,H,2006,1598309
11,BJ,H,2006,127401
11,BO,H,2006,1389834
11,BR,H,2006,9358217
11,BT,H,2006,683335
11,BY,H,2006,335876
11,CD,H,2006,173729
11,CL,H,2006,1829948
11,CM,H,2006,4574871
11,CN,H,2006,21368702
11,CO,H,2006,4389560
11,CR,H,2006,1216105
11,CV,H,2006,231639
11,DJ,H,2006,23163
11,EC,H,2006,1911022
11,EG,H,2006,57909
11,ET,H,2006,254802
11,GA,H,2006,-11582
11,GD,H,2006,81073
11,GE,H,2006,3335602
11,GH,H,2006,3984191
11,GM,H,2006,532769
11,GN,H,2006,231639
11,GT,H,2006,115819
11,GW,H,2006,1470907
11,HN,H,2006,127401
11,HR,H,2006,2443791
