country,year,value
AF,2000,
AF,2001,
AF,2002,
AF,2003,
AF,2004,
AF,2005,
AF,2006,
AF,2007,
AF,2008,
AF,2009,
AF,2010,
AF,2011,
AG,2000,
AG,2001,
AG,2002,
AG,2003,
AG,2004,
AG,2005,
AG,2006,
AG,2007,
AG,2008,
AG,2009,
AG,2010,
AG,2011,
AI,2000,
AI,2001,
AI,2002,
AI,2003,
AI,2004,
AI,2005,
AI,2006,
AI,2007,
AI,2008,
AI,2009,
AI,2010,
AI,2011,
AL,2000,41824.12
AL,2001,31130.46
AL,2002,28916.52
AL,2003,30671.72
AL,2004,24643.51
AL,2005,15976.6
AL,2006,17248.45
AL,2007,16884.99
AL,2008,20941.3
AL,2009,
AL,2010,
AL,2011,
AM,2000,537.99
AM,2001,537.52
AM,2002,997.14
AM,2003,1113
AM,2004,1523.91
AM,2005,2038.6
AM,2006,3283.8
AM,2007,4143.78
AM,2008,9302.42
AM,2009,10554.08
AM,2010,5363.46
AM,2011,
AO,2000,68.95
AO,2001,66.05
AO,2002,86.08
AO,2003,88.15
AO,2004,187.37
AO,2005,66.42
AO,2006,61.13
AO,2007,52.51
AO,2008,51.86
AO,2009,40.16
AO,2010,
AO,2011,
AR,2000,107.94
AR,2001,121.98
AR,2002,30.08
AR,2003,50.06
AR,2004,62.21
AR,2005,78.22
AR,2006,117.33
AR,2007,168.89
AR,2008,224.36
AR,2009,214.79
AR,2010,449.17
AR,2011,
AZ,2000,316.42
AZ,2001,660.38
AZ,2002,1154.55
AZ,2003,1125.68
AZ,2004,826.55
AZ,2005,1254.15
AZ,2006,1626.42
AZ,2007,2746.75
AZ,2008,7461.8
AZ,2009,
AZ,2010,
AZ,2011,
BA,2000,
BA,2001,224752.05
BA,2002,204138.8
BA,2003,183701.68
BA,2004,230665.81
BA,2005,225805.11
BA,2006,288215.95
BA,2007,443916.36
BA,2008,
BA,2009,
BA,2010,
BA,2011,
BD,2000,32.97
BD,2001,31.82
BD,2002,28.3
BD,2003,33.13
BD,2004,35.81
BD,2005,30.67
BD,2006,33.6
BD,2007,34.84
BD,2008,55.6
BD,2009,31.35
BD,2010,35.03
BD,2011,
BF,2000,83.02
BF,2001,102.32
BF,2002,106.84
BF,2003,111.64
BF,2004,120.27
BF,2005,127.25
BF,2006,371.31
BF,2007,148.89
BF,2008,150.02
BF,2009,167.54
BF,2010,
BF,2011,
BI,2000,35.54
BI,2001,50.96
BI,2002,54.77
BI,2003,58.89
BI,2004,90.55
BI,2005,81.39
BI,2006,91.82
BI,2007,
BI,2008,
BI,2009,
BI,2010,
BI,2011,
BJ,2000,
BJ,2001,
BJ,2002,
BJ,2003,141.7
BJ,2004,
BJ,2005,
BJ,2006,
BJ,2007,
BJ,2008,
BJ,2009,
BJ,2010,
BJ,2011,
BO,2000,412.16
BO,2001,772.34
BO,2002,879.91
BO,2003,812.57
BO,2004,965.7
BO,2005,557.18
BO,2006,1976.06
BO,2007,1586.71
BO,2008,448.54
BO,2009,
BO,2010,
BO,2011,
BR,2000,29.02
BR,2001,33.5
BR,2002,33.39
BR,2003,29.97
BR,2004,28.15
BR,2005,36.13
BR,2006,33.68
BR,2007,40.08
BR,2008,58.36
BR,2009,53.1
BR,2010,
BR,2011,
BT,2000,
BT,2001,
BT,2002,
BT,2003,684.36
BT,2004,743.62
BT,2005,1002.3
BT,2006,1413.9
BT,2007,1579.16
BT,2008,
BT,2009,
BT,2010,
BT,2011,
BW,2000,
BW,2001,
BW,2002,
BW,2003,
BW,2004,
BW,2005,
BW,2006,
BW,2007,
BW,2008,
BW,2009,
BW,2010,
BW,2011,
BY,2000,
BY,2001,
BY,2002,
BY,2003,
BY,2004,
BY,2005,4211.37
BY,2006,9801.12
BY,2007,7610.23
BY,2008,11851.39
BY,2009,15409.51
BY,2010,31919.92
BY,2011,19714.68
BZ,2000,
BZ,2001,
BZ,2002,
BZ,2003,
BZ,2004,
BZ,2005,
BZ,2006,
BZ,2007,
BZ,2008,
BZ,2009,
BZ,2010,
BZ,2011,
CD,2000,
CD,2001,
CD,2002,
CD,2003,
CD,2004,
CD,2005,
CD,2006,50.2
CD,2007,
CD,2008,
CD,2009,
CD,2010,
CD,2011,
CF,2000,58.82
CF,2001,62.66
CF,2002,44.49
CF,2003,33.39
CF,2004,59.72
CF,2005,48.1
CF,2006,88.77
CF,2007,96.52
CF,2008,113.16
CF,2009,
CF,2010,
CF,2011,
CG,2000,
CG,2001,
CG,2002,
CG,2003,
CG,2004,
CG,2005,999.5
CG,2006,
CG,2007,
CG,2008,
CG,2009,
CG,2010,
CG,2011,
CI,2000,210.66
CI,2001,141.61
CI,2002,571.8
CI,2003,147.36
CI,2004,105.68
CI,2005,67.04
CI,2006,97.19
CI,2007,76.89
CI,2008,190.39
CI,2009,
CI,2010,
CI,2011,
CK,2000,
CK,2001,
CK,2002,
CK,2003,
CK,2004,
CK,2005,
CK,2006,
CK,2007,
CK,2008,
CK,2009,
CK,2010,
CK,2011,
CL,2000,369.6
CL,2001,570.46
CL,2002,422.72
CL,2003,438.38
CL,2004,512.65
CL,2005,976.29
CL,2006,766.32
CL,2007,703.07
CL,2008,634.06
CL,2009,492.66
CL,2010,
CL,2011,
CM,2000,423.84
CM,2001,597.41
CM,2002,744.8
CM,2003,844.49
CM,2004,705.49
CM,2005,460.89
CM,2006,2337.45
CM,2007,1297.74
CM,2008,
CM,2009,
CM,2010,
CM,2011,
CN,2000,8.12
CN,2001,9
CN,2002,9.98
CN,2003,10.75
CN,2004,14.02
CN,2005,18.47
CN,2006,16.99
CN,2007,19.25
CN,2008,20
CN,2009,20.25
CN,2010,
CN,2011,
CO,2000,59.76
CO,2001,88.63
CO,2002,90.38
CO,2003,134.19
CO,2004,93.61
CO,2005,157.04
CO,2006,250.18
CO,2007,215.67
CO,2008,208.33
CO,2009,264.86
CO,2010,270.74
CO,2011,
CR,2000,571.35
CR,2001,457.47
CR,2002,370.16
CR,2003,454.15
CR,2004,438.88
CR,2005,508.55
CR,2006,500.1
CR,2007,1594.99
CR,2008,1126.05
CR,2009,1077.83
CR,2010,
CR,2011,
CU,2000,
CU,2001,
CU,2002,
CU,2003,
CU,2004,
CU,2005,
CU,2006,
CU,2007,
CU,2008,
CU,2009,
CU,2010,
CU,2011,
CV,2000,
