country,admin1,admin2,admin4,admin4-name,latitude,longitude,geonameid,modification date
UG,UG.C,UG.C.36,UG.C.36.0.8657876,Mugoye,-0.27749,32.13262,8657876,20/12/2013
UG,UG.C,UG.C.36,UG.C.36.0.8657927,Bujjumba,-0.4745,32.17685,8657927,20/12/2013
UG,UG.C,UG.C.36,UG.C.36.0.8658214,Bufumira,-0.27652,32.38854,8658214,20/12/2013
UG,UG.C,UG.C.36,UG.C.36.0.8658220,Kyamuswa,-0.69093,32.57558,8658220,20/12/2013
UG,UG.C,UG.C.36,UG.C.36.0.8658254,Kalangala Town Council,-0.31027,32.3058,8658254,20/12/2013
UG,UG.C,UG.C.36,UG.C.36.0.8658543,Mazinga,-0.77192,32.21217,8658543,20/12/2013
UG,UG.C,UG.C.36,UG.C.36.0.8658624,Bubeke,-0.26303,32.63088,8658624,20/12/2013
UG,UG.C,UG.C.37,UG.C.37.0.7732387,Nakawa,0.33957,32.62627,7732387,20/12/2013
UG,UG.C,UG.C.37,UG.C.37.0.7732388,Kawempe,0.36773,32.57438,7732388,20/12/2013
UG,UG.C,UG.C.37,UG.C.37.0.7732390,Lubaga,0.31012,32.54616,7732390,31/12/2013
UG,UG.C,UG.C.37,UG.C.37.0.8260676,Makindye,0.27672,32.616,8260676,20/12/2013
UG,UG.C,UG.C.37,UG.C.37.0.8658346,Central Division,0.32271,32.58541,8658346,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657526,Nsambya,1.24341,31.49825,8657526,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657527,Kyankwanzi,1.19479,31.78521,8657527,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657535,Ntwetwe,0.91307,31.61295,8657535,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657540,Butemba Town Council,1.17656,31.61601,8657540,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657575,Butemba,1.07645,31.57389,8657575,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657687,Wattuba,1.00663,31.73603,8657687,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657784,Lwamata,0.83279,31.90561,8657784,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657964,Bukomero,0.71275,32.05907,8657964,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8657979,Mulagi,0.91477,31.7088,8657979,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658151,Gayaza,0.92728,31.50162,8658151,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658186,Bukomero Town Council,0.6873,32.02658,8658186,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658266,Ntwetwe Town Council,0.94633,31.58654,8658266,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658339,Kiboga Town Council,0.91592,31.77113,8658339,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658429,Dwaniro,0.81974,32.0833,8658429,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658443,Kapeke,0.97656,31.89371,8658443,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658546,Kibiga,0.83935,31.75452,8658546,20/12/2013
UG,UG.C,UG.C.42,UG.C.42.0.8658617,Muwanga,0.6932,31.94649,8658617,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.7732534,Butoloogo Sub-County,0.7947,31.5329,7732534,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8657557,Kassanda,0.54287,31.79619,8657557,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8657588,Kasambya,0.29292,31.16075,8657588,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8657842,Kitumbi,0.70067,31.70108,8657842,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8657890,Bagezza,0.52249,31.3855,8657890,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8657901,Kalwana,0.58133,31.64625,8657901,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8657921,Nalutuntu,0.42907,31.81461,8657921,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8658030,Mubende Town Council,0.5678,31.38268,8658030,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8658094,Kitenga,0.45469,31.50766,8658094,20/12/2013
UG,UG.C,UG.C.56,UG.C.56.0.8658201,Kigando,0.32377,31.30761,8658201,20/12/2013
