"id","year","value"
"AF",2013,
"AG",2013,
"AL",2012,30540.66995
"AM",2012,6251.669829
"AO",2009,37.99603484
"AR",2011,206.3992991
"AZ",2008,10124.58708
"BA",2007,416842.761
"BD",2010,33.65009958
"BF",2009,171.2072621
"BI",2006,82.72497963
"BJ",2012,104.8202166
"BO",2012,822.4057858
"BR",2012,222.437425
"BT",2012,9689.406574
"BW",2009,1166.03313
"BY",2009,110970.8636
"BZ",2013,
"CD",2006,52.24089925
"CF",2008,110.7814289
"CG",2011,240.2934332
"CI",2008,129.9200533
"CL",2011,1213.906765
"CM",2007,408.809752
"CN",2011,30.54055726
"CO",2012,300.7529446
"CR",2012,996.2775169
"CU",2013,
"CV",2008,3460.606899
"DJ",2002,894.5124362
"DM",2013,
"DO",2012,1498.330798
"DZ",2013,
"EG",2008,1947.51206
"ER",2013,
"ET",2011,107.3607809
"FJ",2009,1746.207764
"FM",2013,
"GA",2005,1640.7684
"GD",2013,
"GE",2012,1151.649288
"GH",2006,1103.283412
"GM",2003,212.2523861
"GN",2012,378.3993188
"GQ",2013,
"GT",2011,214.0906026
"GW",2002,169.5644071
"GY",2013,
"HN",2011,511.1208876
"HR",2003,213502.2523
"HT",2001,51.70717848
"ID",2011,66.33884245
"IN",2012,13.04708138
"IQ",2012,1032.337706
"IR",2005,148.4748126
"JM",2004,32815.83461
"JO",2010,252695.9974
"KE",2005,68.48400709
"KG",2011,2055.564581
"KH",2011,581.8559331
"KI",2013,
"KM",2004,135.6313389
"KN",2013,
"KZ",2010,27498.35622
"LA",2012,241.8067682
"LB",2013,
"LC",2013,
"LK",2010,1337.510336
"LR",2007,270.4156114
"LS",2010,256.2918866
"LY",2013,
"MA",2007,2256.795397
"MD",2011,56471.88655
"ME",2011,97594.51016
"MG",2010,27.7131062
"MH",2013,
"MK",2008,36244.03626
"ML",2010,164.9888883
"MM",2013,
"MN",2013,
"MR",2008,616.9810728
"MU",2012,36087.77925
"MV",2004,9678.74423
"MW",2010,99.45188999
"MX",2012,426.1409467
"MY",2006,10089.7646
"MZ",2009,149.2954869
"NA",2010,537.8134018
"NE",2011,97.86998125
"NG",2010,22.08147851
"NI",2009,1640.392091
"NP",2010,158.3071303
"PA",2012,436.0263578
"PE",2012,656.2761128
"PG",2013,
"PH",2012,55.57875738
"PK",2011,192.8412233
"PS",2009,989683.8854
"PW",2013,
"PY",2012,847.5176941
"RS",2010,189806.233
"RW",2011,178.7062045
"SB",2013,
"SC",2007,76770.01454
"SD",2009,372.5527257
"SI",2010,0
"SL",2011,128.6568085
"SN",2011,241.6787403
"SO",2013,
"SR",2013,
"SS",2013,
"ST",2010,653.2388531
"SV",2012,1913.96067
"SY",2004,1009.297283
"SZ",2010,217.7403287
"TD",2011,114.9484558
"TG",2011,357.6899594
"TH",2010,2256.771261
"TJ",2009,949.3271821
"TL",2007,915.4795436
"TM",2013,
"TN",2010,11249.45461
"TO",2013,
"TR",2011,59386.20194
"TT",2013,
"TV",2013,
"TZ",2012,138.2863339
"UA",2009,24969.98044
"UG",2013,129.5316774
"UY",2012,2792.323704
"UZ",2013,
"VC",2013,
"VE",2006,42.11330986
"VN",2012,2211.325052
"VU",2013,
"WS",2013,
"XK",2013,
"YE",2005,271.4683312
"ZA",2011,295.4537178
"ZM",2010,98.35625064
"ZW",2013,
