"id","year","value"
"AE",2013,7390000
"afdb",2013,1063720000
"arab-fund-afesd",2013,0
"asdb",2013,1579860000
"AT",2013,430930000
"AU",2013,492930000
"badea",2013,0
"BE",2013,72810000
"CA",2013,1158190000
"cardb",2013,-9950000
"CH",2013,0
"DE",2013,-347080000
"DK",2013,7770000
"ebrd",2013,1618500000
"ES",2013,13930000
"EU",2013,-583800000
"FI",2013,-29410000
"FR",2013,639980000
"GB",2013,185250000
"GR",2013,0
"ibrd",2013,8018030000
"idb",2013,1417680000
"ifad",2013,26490000
"ifc",2013,2011640000
"islamic-dev-bank",2013,0
"IT",2013,153530000
"JP",2013,1849890000
"KR",2013,1262600000
"KW",2013,0
"LU",2013,0
"NL",2013,0
"NO",2013,210000
"nordic-dev-fund",2013,0
"NZ",2013,10700000
"ofid",2013,228510000
"PT",2013,2820000
"SA",2013,0
"SE",2013,-22290000
"TR",2013,-13080000
"US",2013,1406030000
