"id","year","value"
"d101",2013,7
"d102",2013,28
"d103",2013,25
"d104",2013,47
"d105",2013,36
"d106",2013,37
"d107",2013,20
"d108",2013,37
"d109",2013,41
"d110",2013,27
"d111",2013,23
"d112",2013,34
"d113",2013,39
"d114",2013,30
"d115",2013,33
"d116",2013,27
"d117",2013,30
"d118",2013,24
"d119",2013,83
"d120",2013,7
"d121",2013,19
"d122",2013,48
"d123",2013,13
"d124",2013,24
"d201",2013,21
"d202",2013,34
"d203",2013,43
"d204",2013,43
"d205",2013,32
"d206",2013,52
"d207",2013,14
"d208",2013,15
"d209",2013,57
"d210",2013,30
"d211",2013,40
"d212",2013,36
"d213",2013,22
"d214",2013,27
"d215",2013,25
"d216",2013,13
"d217",2013,41
"d218",2013,17
"d219",2013,26
"d220",2013,51
"d221",2013,29
"d222",2013,45
"d223",2013,29
"d224",2013,34
"d225",2013,39
"d226",2013,27
"d227",2013,34
"d228",2013,38
"d229",2013,36
"d230",2013,14
"d231",2013,34
"d232",2013,20
"d301",2013,6
"d302",2013,9
"d303",2013,19
"d304",2013,27
"d305",2013,28
"d306",2013,6
"d307",2013,30
"d308",2013,7
"d309",2013,6
"d310",2013,16
"d311",2013,4
"d312",2013,9
"d313",2013,8
"d314",2013,37
"d315",2013,19
"d316",2013,14
"d317",2013,13
"d318",2013,2
"d319",2013,16
"d320",2013,14
"d321",2013,8
"d322",2013,11
"d323",2013,10
"d324",2013,1
"d325",2013,17
"d326",2013,7
"d327",2013,4
"d328",2013,34
"d329",2013,20
"d330",2013,11
"d401",2013,11
"d402",2013,41
"d403",2013,21
"d404",2013,32
"d405",2013,33
"d406",2013,22
"d407",2013,18
"d408",2013,22
"d409",2013,21
"d410",2013,33
"d411",2013,28
"d412",2013,36
"d413",2013,19
"d414",2013,30
"d415",2013,17
"d416",2013,21
"d417",2013,34
"d418",2013,15
"d419",2013,13
"d420",2013,16
"d421",2013,20
"d422",2013,18
"d423",2013,33
"d424",2013,5
"d425",2013,32
"d426",2013,42
