"id","year","value"
"AD",2013,
"AE",2005,95.00645447
"AF",2011,46.99005127
"AG",2013,
"AL",2011,98.7911911
"AM",2012,99.7454071
"AO",2012,73.00775909
"AR",2012,99.23841095
"AS",2013,
"AT",2013,
"AU",2013,
"AW",2010,99.13841248
"AZ",2012,99.93675232
"BA",2012,99.68309021
"BB",2013,
"BD",2012,79.93943024
"BE",2013,
"BF",2007,39.25778198
"BG",2011,97.86505127
"BH",2010,98.16359711
"BI",2008,88.8863678
"BJ",2006,42.36270523
"BM",2013,
"BN",2012,99.78067017
"BO",2012,98.99588776
"BR",2012,98.6166153
"BS",2013,
"BT",2005,74.40520477
"BW",2012,96.03739929
"BY",2009,99.82321167
"BZ",2013,
"CA",2013,
"CD",2007,65.7765274
"CF",2010,36.35626984
"CG",2011,80.91394806
"CH",2013,
"CI",2012,48.30995941
"CL",2009,98.87237549
"CM",2010,80.57444
"CN",2010,99.64228821
"CO",2011,98.23937225
"CR",2011,99.13370514
"CU",2012,99.98632813
"CV",2012,98.12896729
"CW",2013,
"CY",2011,99.82098389
"CZ",2013,
"DE",2013,
"DJ",2013,
"DK",2013,
"DM",2013,
"DO",2013,97.472435
"DZ",2006,91.7796402
"EC",2013,98.60463715
"EE",2011,99.94889832
"EG",2012,89.28192139
"ER",2012,90.95256042
"ES",2012,99.67277527
"ET",2007,54.98297882
"FI",2013,
"FJ",2013,
"FM",2013,
"FO",2013,
"FR",2013,
"GA",2012,88.50414276
"GB",2013,
"GD",2013,
"GE",2012,99.80049133
"GH",2010,85.71614838
"GL",2013,
"GM",2012,69.43473816
"GN",2010,31.40641594
"GQ",2012,98.11402893
"GR",2012,99.37809753
"GT",2012,93.6534729
"GU",2013,
"GW",2012,74.27578735
"GY",2009,93.09894562
"HK",2013,
"HN",2012,94.98095703
"HR",2011,99.72362518
"HT",2006,72.34671783
"HU",2012,99.38648224
"ID",2011,98.77799988
"IE",2013,
"IL",2011,99.54979706
"IN",2006,81.13085938
"IQ",2012,82.15785217
"IR",2012,98.03424835
"IS",2013,
"IT",2012,99.91783142
"JM",2012,95.87226868
"JO",2012,99.10572052
"JP",2013,
"KE",2007,82.39047241
"KG",2009,99.75185394
"KH",2009,87.13246155
"KI",2013,
"KM",2012,86.41432953
"KN",2013,
"KP",2008,99.99969482
"KR",2013,
"KW",2012,98.78226471
"KY",2007,98.9068222
"KZ",2009,99.8345108
"LA",2005,83.93106079
"LB",2007,98.71479034
"LC",2013,
"LI",2013,
"LK",2010,98.15792847
"LR",2007,49.07410812
"LS",2009,83.19441223
"LT",2011,99.85580444
"LU",2013,
"LV",2011,99.83543396
"LY",2012,99.91580963
"MA",2011,81.5100708
"MC",2013,
"MD",2012,100
"ME",2011,99.21182251
"MF",2013,
"MG",2009,64.94024658
"MH",2013,
"MK",2012,98.64627838
"ML",2011,47.13697815
"MM",2012,96.02812958
"MN",2010,98.46024323
"MO",2011,99.67290497
"MP",2013,
"MR",2007,56.12243652
"MT",2005,98.26502991
"MU",2011,98.13035583
"MV",2006,99.30101013
"MW",2010,72.13956451
"MX",2012,98.87541199
"MY",2010,98.41871643
"MZ",2009,67.14963531
"NA",2007,87.09541321
"NC",2012,99.64012146
"NE",2012,23.52377701
"NG",2008,66.38354492
"NI",2005,87.00924683
"NL",2013,
"NO",2013,
"NP",2011,82.35368347
"NZ",2013,
"OM",2010,97.74372864
"PA",2010,97.63853455
"PE",2012,98.69816589
"PF",2013,
"PG",2012,71.19374084
"PH",2008,97.75080109
"PK",2011,70.76932526
"PL",2012,99.99996185
"PR",2010,98.83417511
"PS",2012,99.287323
"PT",2011,99.43511963
"PW",2013,99.81147003
"PY",2010,98.61045074
"QA",2012,99.0645752
"RO",2011,98.99568939
"RS",2012,99.26009369
"RU",2010,99.70960236
"RW",2010,77.34462738
"SA",2013,99.22177124
"SB",2013,
"SC",2012,99.06477356
"SD",2000,78.15558624
"SE",2013,
"SG",2012,99.84585571
"SI",2012,99.85276031
"SK",2013,
"SL",2012,62.71660995
"SM",2013,
"SN",2011,66.03273773
"SO",2013,
"SR",2010,98.37664032
"SS",2013,
"ST",2008,80.20316315
"SV",2011,96.54508972
"SX",2013,
"SY",2012,95.56498718
"SZ",2010,93.50229645
"TC",2013,
"TD",2012,48.92033005
"TG",2011,79.88591003
"TH",2010,96.59757233
"TJ",2012,99.87010956
"TL",2010,79.52868652
"TM",2012,99.83274841
"TN",2011,97.30444336
"TO",2011,99.43703461
"TR",2012,99.01602173
"TT",2012,99.57904816
"TV",2013,
"TZ",2010,74.56052399
"UA",2012,99.77240753
"UG",2010,87.40882874
"US",2013,
"UY",2012,98.9552536
"UZ",2012,99.94197845
"VC",2013,
"VE",2009,98.53329468
"VI",2013,
"VN",2009,97.0916748
"VU",2012,94.88040924
"WS",2012,99.5269165
"XK",2013,
"YE",2012,87.41461945
"ZA",2012,98.88204193
"ZM",2007,64.04963684
"ZW",2011,90.93070221
